#                                                                                     --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                 accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#         ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NC_016856.1:3910577-3911008|- -            144 86762at91347         -            108   4.2e-37  124.8   2.2   1   1   2.7e-37   2.1e-34  116.1   2.2     1   108     1   143     1   143 0.89 NC_016856.1_3683 # 3910577 # 3911008 # -1 # ID=1_3683;partial=00;start_type=ATG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.502
NC_016856.1:2966585-2967112|+ -            176 86762at91347         -            108     1e-05   23.8   0.0   1   2   9.8e-05     0.076   11.3   0.0    32    65     6    38     1    42 0.80 NC_016856.1_2794 # 2966585 # 2967112 # 1 # ID=1_2794;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.564
NC_016856.1:2966585-2967112|+ -            176 86762at91347         -            108     1e-05   23.8   0.0   2   2   0.00019      0.14   10.5   0.0    85   107    84   106    76   107 0.88 NC_016856.1_2794 # 2966585 # 2967112 # 1 # ID=1_2794;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.564
NC_016856.1:3701904-3702230|- -            109 86762at91347         -            108   1.5e-05   23.3   0.0   1   2   7.6e-07   0.00059   18.1   0.0    28    70     3    45     1    64 0.88 NC_016856.1_3505 # 3701904 # 3702230 # -1 # ID=1_3505;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.544
NC_016856.1:3701904-3702230|- -            109 86762at91347         -            108   1.5e-05   23.3   0.0   2   2     0.029        22    3.4   0.0    79    99    78    98    69   102 0.89 NC_016856.1_3505 # 3701904 # 3702230 # -1 # ID=1_3505;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.544
NC_016856.1:1201918-1202970|+ -            351 86762at91347         -            108    0.0033   15.8   0.0   1   2   2.4e-05     0.019   13.3   0.0    35    69   139   173   131   206 0.84 NC_016856.1_1099 # 1201918 # 1202970 # 1 # ID=1_1099;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.511
NC_016856.1:1201918-1202970|+ -            351 86762at91347         -            108    0.0033   15.8   0.0   2   2      0.61   4.7e+02   -0.9   0.0    79    98   213   232   205   236 0.86 NC_016856.1_1099 # 1201918 # 1202970 # 1 # ID=1_1099;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.511
NC_016856.1:1791163-1791477|- -            105 86762at91347         -            108    0.0042   15.4   0.0   1   1   7.6e-06    0.0059   14.9   0.0    49    72    24    47    17    69 0.85 NC_016856.1_1692 # 1791163 # 1791477 # -1 # ID=1_1692;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.435
NC_016856.1:2724458-2725300|+ -            281 86762at91347         -            108     0.014   13.8   0.1   1   4       1.7   1.3e+03   -2.3   0.0    56    67    41    52    36    57 0.80 NC_016856.1_2572 # 2724458 # 2725300 # 1 # ID=1_2572;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.593
NC_016856.1:2724458-2725300|+ -            281 86762at91347         -            108     0.014   13.8   0.1   2   4   0.00031      0.24    9.7   0.0    79   102   108   131    99   137 0.88 NC_016856.1_2572 # 2724458 # 2725300 # 1 # ID=1_2572;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.593
NC_016856.1:2724458-2725300|+ -            281 86762at91347         -            108     0.014   13.8   0.1   3   4      0.42   3.3e+02   -0.3   0.0    44    58   167   181   151   206 0.62 NC_016856.1_2572 # 2724458 # 2725300 # 1 # ID=1_2572;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.593
NC_016856.1:2724458-2725300|+ -            281 86762at91347         -            108     0.014   13.8   0.1   4   4       2.3   1.7e+03   -2.7   0.0    72    98   244   270   234   277 0.68 NC_016856.1_2572 # 2724458 # 2725300 # 1 # ID=1_2572;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.593
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /Users/dizzler/Projects/School/BIOL4600-Capstone/busco_downloads/lineages/enterobacterales_odb10/hmms/86762at91347.hmm
# Target file:     reports/busco-results/GCF_000022165.1_ASM2216v1_genomic.fna/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout reports/busco-results/GCF_000022165.1_ASM2216v1_genomic.fna/run_enterobacterales_odb10/hmmer_output/86762at91347.out --cpu 1 /Users/dizzler/Projects/School/BIOL4600-Capstone/busco_downloads/lineages/enterobacterales_odb10/hmms/86762at91347.hmm reports/busco-results/GCF_000022165.1_ASM2216v1_genomic.fna/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /Users/dizzler/Projects/School/BIOL4600-Capstone
# Date:            Sat Feb 21 23:24:26 2026
# [ok]
