#                                                                                     --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                 accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#         ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NC_016856.1:2778325-2780124|- -            600 11342at91347         -            517  6.8e-278  920.5   0.0   1   1  1.7e-280  7.9e-278  920.3   0.0     1   517     1   594     1   594 0.93 NC_016856.1_2623 # 2778325 # 2780124 # -1 # ID=1_2623;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.529
NC_016856.1:4230968-4232791|+ -            608 11342at91347         -            517   4.5e-40  135.9   0.2   1   2   2.7e-41   1.2e-38  131.1   0.1     2   204     3   233     2   267 0.84 NC_016856.1_3973 # 4230968 # 4232791 # 1 # ID=1_3973;partial=00;start_type=GTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.537
NC_016856.1:4230968-4232791|+ -            608 11342at91347         -            517   4.5e-40  135.9   0.2   2   2     0.025        12    2.5   0.0   260   372   327   431   313   472 0.68 NC_016856.1_3973 # 4230968 # 4232791 # 1 # ID=1_3973;partial=00;start_type=GTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.537
NC_016856.1:3613416-3615530|- -            705 11342at91347         -            517   4.6e-27   92.9   0.0   1   4   4.3e-23     2e-20   71.0   0.0     3   144     9   164     7   192 0.78 NC_016856.1_3427 # 3613416 # 3615530 # -1 # ID=1_3427;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.517
NC_016856.1:3613416-3615530|- -            705 11342at91347         -            517   4.6e-27   92.9   0.0   2   4      0.39   1.8e+02   -1.4   0.0   145   174   259   289   243   299 0.74 NC_016856.1_3427 # 3613416 # 3615530 # -1 # ID=1_3427;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.517
NC_016856.1:3613416-3615530|- -            705 11342at91347         -            517   4.6e-27   92.9   0.0   3   4   6.8e-06    0.0032   14.3   0.0   267   327   434   491   380   502 0.82 NC_016856.1_3427 # 3613416 # 3615530 # -1 # ID=1_3427;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.517
NC_016856.1:3613416-3615530|- -            705 11342at91347         -            517   4.6e-27   92.9   0.0   4   4     0.023        11    2.6   0.0   351   410   626   685   604   699 0.81 NC_016856.1_3427 # 3613416 # 3615530 # -1 # ID=1_3427;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.517
NC_016856.1:4826721-4828310|+ -            530 11342at91347         -            517     3e-24   83.6   0.0   1   2     4e-24   1.9e-21   74.4   0.0     4   144    13   164    10   184 0.85 NC_016856.1_4497 # 4826721 # 4828310 # 1 # ID=1_4497;partial=00;start_type=ATG;rbs_motif=AGxAG;rbs_spacer=5-10bp;gc_cont=0.543
NC_016856.1:4826721-4828310|+ -            530 11342at91347         -            517     3e-24   83.6   0.0   2   2     0.001      0.48    7.1   0.0   292   325   436   469   365   491 0.70 NC_016856.1_4497 # 4826721 # 4828310 # 1 # ID=1_4497;partial=00;start_type=ATG;rbs_motif=AGxAG;rbs_spacer=5-10bp;gc_cont=0.543
NC_016856.1:3466794-3469472|- -            893 11342at91347         -            517     2e-18   64.4   0.1   1   1   3.1e-20   1.4e-17   61.6   0.1    51   208   425   599   394   611 0.79 NC_016856.1_3271 # 3466794 # 3469472 # -1 # ID=1_3271;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.555
NC_016856.1:3612160-3613344|- -            395 11342at91347         -            517   9.1e-13   45.8   0.0   1   1   2.7e-15   1.3e-12   45.3   0.0     6   131    14   144     9   164 0.79 NC_016856.1_3426 # 3612160 # 3613344 # -1 # ID=1_3426;partial=00;start_type=GTG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.540
NC_016856.1:4374184-4375368|+ -            395 11342at91347         -            517   9.1e-13   45.8   0.0   1   1   2.7e-15   1.3e-12   45.3   0.0     6   131    14   144     9   164 0.79 NC_016856.1_4101 # 4374184 # 4375368 # 1 # ID=1_4101;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.540
NC_016856.1:3093179-3094618|- -            480 11342at91347         -            517   4.1e-11   40.3   0.1   1   1   1.7e-13     8e-11   39.3   0.1    38   138    79   183    25   189 0.76 NC_016856.1_2926 # 3093179 # 3094618 # -1 # ID=1_2926;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.546
NC_016856.1:3884537-3886387|- -            617 11342at91347         -            517   1.8e-07   28.3   0.0   1   1   8.4e-10   3.9e-07   27.2   0.0    11   164     7   158     2   172 0.71 NC_016856.1_3662 # 3884537 # 3886387 # -1 # ID=1_3662;partial=00;start_type=ATG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.571
NC_016856.1:2703009-2704481|- -            491 11342at91347         -            517   0.00024   18.0   0.0   1   1   8.9e-07   0.00041   17.2   0.0    79   167   273   368   204   377 0.80 NC_016856.1_2558 # 2703009 # 2704481 # -1 # ID=1_2558;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.547
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /Users/dizzler/Projects/School/BIOL4600-Capstone/databases/lineages/enterobacterales_odb10/hmms/11342at91347.hmm
# Target file:     /Users/dizzler/Projects/School/BIOL4600-Capstone/reports/busco-results/GCF_000022165.1_ASM2216v1_genomic.fna/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /Users/dizzler/Projects/School/BIOL4600-Capstone/reports/busco-results/GCF_000022165.1_ASM2216v1_genomic.fna/run_enterobacterales_odb10/hmmer_output/11342at91347.out --cpu 1 /Users/dizzler/Projects/School/BIOL4600-Capstone/databases/lineages/enterobacterales_odb10/hmms/11342at91347.hmm /Users/dizzler/Projects/School/BIOL4600-Capstone/reports/busco-results/GCF_000022165.1_ASM2216v1_genomic.fna/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /Users/dizzler/Projects/School/BIOL4600-Capstone
# Date:            Wed Feb 25 22:55:27 2026
# [ok]
