# BUSCO version is: 6.0.0 
# The lineage dataset is: enterobacterales_odb10 (Creation date: 2024-01-08, number of genomes: 212, number of BUSCOs: 440)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
312at91347	Complete	NZ_ABEL01000038.1	4211	183	-	2313.8	1137	https://v10-1.orthodb.org/?query=312at91347	DNA-directed RNA polymerase, subunit 2, hybrid-binding domain
373at91347	Fragmented	NZ_ABEL01000027.1	1	3261	+	1748.4	888	https://v10-1.orthodb.org/?query=373at91347	DNA-directed RNA polymerase subunit beta'
854at91347	Complete	NZ_ABEL01000011.1	90342	93197	+	1433.5	814	https://v10-1.orthodb.org/?query=854at91347	Valine--tRNA ligase
1674at91347	Complete	NZ_ABEL01000001.1	456561	453979	-	1214.6	713	https://v10-1.orthodb.org/?query=1674at91347	Leucine--tRNA ligase
2121at91347	Complete	NZ_ABEL01000002.1	399243	396646	-	1324.4	705	https://v10-1.orthodb.org/?query=2121at91347	DNA topoisomerase I, type IA
2325at91347	Complete	NZ_ABEL01000005.1	176867	173322	-	1327.6	953	https://v10-1.orthodb.org/?query=2325at91347	UvrD-like DNA helicase, C-terminal
2605at91347	Complete	NZ_ABEL01000023.1	14739	18221	+	1683.0	957	https://v10-1.orthodb.org/?query=2605at91347	DNA-directed DNA polymerase
2659at91347	Complete	NZ_ABEL01000008.1	64050	61387	-	1521.5	776	https://v10-1.orthodb.org/?query=2659at91347	Pyruvate dehydrogenase E1 component
3039at91347	Complete	NZ_ABEL01000004.1	337463	334737	-	1336.6	763	https://v10-1.orthodb.org/?query=3039at91347	NADH-quinone oxidoreductase
3084at91347	Complete	NZ_ABEL01000008.1	163165	159938	-	1764.2	933	https://v10-1.orthodb.org/?query=3084at91347	Carbamoyl-phosphate synthase large chain
3734at91347	Complete	NZ_ABEL01000008.1	81601	78896	-	1441.5	766	https://v10-1.orthodb.org/?query=3734at91347	SecA, preprotein cross-linking domain
4210at91347	Complete	NZ_ABEL01000001.1	250301	252655	+	1323.4	683	https://v10-1.orthodb.org/?query=4210at91347	Lon protease
4269at91347	Complete	NZ_ABEL01000012.1	37722	39920	+	927.9	607	https://v10-1.orthodb.org/?query=4269at91347	Primosomal protein N'
4411at91347	Complete	NZ_ABEL01000004.1	281995	279359	-	1403.1	743	https://v10-1.orthodb.org/?query=4411at91347	DNA gyrase subunit A
4459at91347	Complete	NZ_ABEL01000008.1	131920	134280	+	927.2	634	https://v10-1.orthodb.org/?query=4459at91347	Organic solvent tolerance-like, N-terminal
4673at91347	Complete	NZ_ABEL01000004.1	155406	157439	+	1002.5	555	https://v10-1.orthodb.org/?query=4673at91347	Methionine--tRNA ligase
4867at91347	Complete	NZ_ABEL01000004.1	287048	289333	+	1324.8	662	https://v10-1.orthodb.org/?query=4867at91347	Ribonucleoside-diphosphate reductase
5022at91347	Complete	NZ_ABEL01000003.1	437669	435255	-	1231.1	610	https://v10-1.orthodb.org/?query=5022at91347	DNA gyrase subunit B
5062at91347	Complete	NZ_ABEL01000008.1	186178	183344	-	1254.0	783	https://v10-1.orthodb.org/?query=5062at91347	Isoleucine--tRNA ligase
5072at91347	Complete	NZ_ABEL01000001.1	546590	549391	+	1217.8	721	https://v10-1.orthodb.org/?query=5072at91347	2-oxoglutarate dehydrogenase E1 component
5392at91347	Complete	NZ_ABEL01000003.1	162490	160448	-	1055.4	608	https://v10-1.orthodb.org/?query=5392at91347	Oligopeptidase A
5537at91347	Complete	NZ_ABEL01000016.1	26788	29052	+	1080.1	614	https://v10-1.orthodb.org/?query=5537at91347	5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase
6335at91347	Complete	NZ_ABEL01000001.1	241948	239957	-	1078.4	552	https://v10-1.orthodb.org/?query=6335at91347	Cytochrome c oxidase subunit I
6493at91347	Complete	NZ_ABEL01000005.1	69460	72027	+	1273.1	687	https://v10-1.orthodb.org/?query=6493at91347	DNA mismatch repair protein MutS
6639at91347	Complete	NZ_ABEL01000006.1	176257	173579	-	1161.2	664	https://v10-1.orthodb.org/?query=6639at91347	Translation initiation factor IF-2
6839at91347	Complete	NZ_ABEL01000006.1	186602	184659	-	976.6	506	https://v10-1.orthodb.org/?query=6839at91347	Peptidase M41
6990at91347	Complete	NZ_ABEL01000008.1	6883	4361	-	1037.3	589	https://v10-1.orthodb.org/?query=6990at91347	Penicillin-binding protein 1B
7453at91347	Complete	NZ_ABEL01000034.1	7013	9643	+	1191.9	738	https://v10-1.orthodb.org/?query=7453at91347	Alanine--tRNA ligase
7906at91347	Complete	NZ_ABEL01000004.1	341133	339331	-	1067.9	503	https://v10-1.orthodb.org/?query=7906at91347	NADH-quinone oxidoreductase subunit C/D
8198at91347	Complete	NZ_ABEL01000012.1	133207	130421	-	1203.6	760	https://v10-1.orthodb.org/?query=8198at91347	DNA polymerase I
8345at91347	Complete	NZ_ABEL01000013.1	132708	134636	+	1024.1	563	https://v10-1.orthodb.org/?query=8345at91347	Threonine--tRNA ligase
8636at91347	Complete	NZ_ABEL01000001.1	492273	493940	+	829.5	470	https://v10-1.orthodb.org/?query=8636at91347	Glutamine--tRNA ligase
8822at91347	Complete	NZ_ABEL01000002.1	1848	4235	+	887.0	643	https://v10-1.orthodb.org/?query=8822at91347	Phenylalanine--tRNA ligase beta subunit
9070at91347	Complete	NZ_ABEL01000027.1	21760	20171	-	739.0	435	https://v10-1.orthodb.org/?query=9070at91347	Methylglyoxal synthase-like domain
