#                                                                                     --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                 accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#         ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NC_011205.1:4081219-4082622|+ -            468 52476at91347         -            371  4.4e-171  566.8   0.0   1   1  1.2e-170  5.5e-168  556.6   0.0     1   371    18   467    18   467 0.88 NC_011205.1_3907 # 4081219 # 4082622 # 1 # ID=1_3907;partial=00;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=3-4bp;gc_cont=0.591
NC_011205.1:2779135-2780607|- -            491 52476at91347         -            371   3.2e-36  123.0   0.2   1   2   3.5e-18   1.7e-15   54.9   0.0   187   273     5    92     2    98 0.94 NC_011205.1_2678 # 2779135 # 2780607 # -1 # ID=1_2678;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.546
NC_011205.1:2779135-2780607|- -            491 52476at91347         -            371   3.2e-36  123.0   0.2   2   2   1.7e-21   7.9e-19   65.8   0.2   185   273   203   295   199   300 0.94 NC_011205.1_2678 # 2779135 # 2780607 # -1 # ID=1_2678;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.546
NC_011205.1:2851466-2852371|- -            302 52476at91347         -            371   2.3e-12   44.5   0.1   1   1   7.5e-15   3.5e-12   43.9   0.1   187   308    11   139     8   174 0.81 NC_011205.1_2741 # 2851466 # 2852371 # -1 # ID=1_2741;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.518
NC_011205.1:4617471-4618751|+ -            427 52476at91347         -            371   8.8e-06   22.9   0.2   1   2   6.8e-08   3.2e-05   21.0   0.3   176   283   189   297   172   321 0.80 NC_011205.1_4363 # 4617471 # 4618751 # 1 # ID=1_4363;partial=00;start_type=TTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.540
NC_011205.1:4617471-4618751|+ -            427 52476at91347         -            371   8.8e-06   22.9   0.2   2   2     0.052        24    1.7   0.1   256   289   291   326   289   359 0.79 NC_011205.1_4363 # 4617471 # 4618751 # 1 # ID=1_4363;partial=00;start_type=TTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.540
NC_011205.1:4236203-4236835|- -            211 52476at91347         -            371   0.00015   18.8   0.0   1   2   8.2e-07   0.00039   17.5   0.0   184   219    26    62     3    75 0.77 NC_011205.1_4041 # 4236203 # 4236835 # -1 # ID=1_4041;partial=00;start_type=TTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.521
NC_011205.1:4236203-4236835|- -            211 52476at91347         -            371   0.00015   18.8   0.0   2   2      0.59   2.7e+02   -1.8   0.0   284   306   173   194   145   199 0.75 NC_011205.1_4041 # 4236203 # 4236835 # -1 # ID=1_4041;partial=00;start_type=TTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.521
NC_011205.1:4606151-4607203|- -            351 52476at91347         -            371    0.0065   13.4   0.1   1   1   3.1e-05     0.014   12.3   0.1   188   214   211   237   168   247 0.88 NC_011205.1_4353 # 4606151 # 4607203 # -1 # ID=1_4353;partial=00;start_type=TTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.535
NC_011205.1:1485664-1486755|- -            364 52476at91347         -            371    0.0067   13.4   0.2   1   1     3e-05     0.014   12.3   0.2   184   207     2    25     1   139 0.82 NC_011205.1_1431 # 1485664 # 1486755 # -1 # ID=1_1431;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.528
NC_011205.1:1013411-1015177|- -            589 52476at91347         -            371     0.029   11.3   0.0   1   1   0.00013     0.059   10.3   0.0   180   206   372   398   357   402 0.90 NC_011205.1_957 # 1013411 # 1015177 # -1 # ID=1_957;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.571
NC_011205.1:3704080-3706398|+ -            773 52476at91347         -            371     0.042   10.8   0.0   1   1   0.00013      0.06   10.3   0.0   186   241     5    59     1   101 0.75 NC_011205.1_3570 # 3704080 # 3706398 # 1 # ID=1_3570;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.563
NC_011205.1:3650631-3652538|+ -            636 52476at91347         -            371     0.046   10.6   0.3   1   2     0.003       1.4    5.8   0.0   175   207    18    50     7    63 0.85 NC_011205.1_3524 # 3650631 # 3652538 # 1 # ID=1_3524;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.574
NC_011205.1:3650631-3652538|+ -            636 52476at91347         -            371     0.046   10.6   0.3   2   2     0.034        16    2.3   0.0   178   207   332   361   316   370 0.82 NC_011205.1_3524 # 3650631 # 3652538 # 1 # ID=1_3524;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.574
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /Users/dizzler/Projects/School/BIOL4600-Capstone/busco_downloads/lineages/enterobacterales_odb10/hmms/52476at91347.hmm
# Target file:     reports/busco-results/GCF_000020925.1_ASM2092v1_genomic.fna/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout reports/busco-results/GCF_000020925.1_ASM2092v1_genomic.fna/run_enterobacterales_odb10/hmmer_output/52476at91347.out --cpu 1 /Users/dizzler/Projects/School/BIOL4600-Capstone/busco_downloads/lineages/enterobacterales_odb10/hmms/52476at91347.hmm reports/busco-results/GCF_000020925.1_ASM2092v1_genomic.fna/prodigal_output/predicted_genes/predicted.faa 
