#                                                                                     --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                 accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#         ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NC_011205.1:2854313-2856112|- -            600 11342at91347         -            517  6.8e-278  920.5   0.0   1   1  1.7e-280  7.9e-278  920.3   0.0     1   517     1   594     1   594 0.93 NC_011205.1_2744 # 2854313 # 2856112 # -1 # ID=1_2744;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.528
NC_011205.1:4244335-4246158|+ -            608 11342at91347         -            517   4.4e-40  135.9   0.1   1   2   2.7e-41   1.2e-38  131.1   0.1     2   204     3   233     2   259 0.84 NC_011205.1_4049 # 4244335 # 4246158 # 1 # ID=1_4049;partial=00;start_type=GTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.538
NC_011205.1:4244335-4246158|+ -            608 11342at91347         -            517   4.4e-40  135.9   0.1   2   2     0.025        12    2.5   0.0   260   372   327   431   314   472 0.68 NC_011205.1_4049 # 4244335 # 4246158 # 1 # ID=1_4049;partial=00;start_type=GTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.538
NC_011205.1:3640357-3642471|- -            705 11342at91347         -            517   4.6e-27   92.9   0.0   1   4   4.3e-23     2e-20   71.0   0.0     3   144     9   164     7   192 0.78 NC_011205.1_3511 # 3640357 # 3642471 # -1 # ID=1_3511;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.517
NC_011205.1:3640357-3642471|- -            705 11342at91347         -            517   4.6e-27   92.9   0.0   2   4      0.39   1.8e+02   -1.4   0.0   145   174   259   289   243   299 0.74 NC_011205.1_3511 # 3640357 # 3642471 # -1 # ID=1_3511;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.517
NC_011205.1:3640357-3642471|- -            705 11342at91347         -            517   4.6e-27   92.9   0.0   3   4   6.8e-06    0.0032   14.3   0.0   267   327   434   491   380   502 0.82 NC_011205.1_3511 # 3640357 # 3642471 # -1 # ID=1_3511;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.517
NC_011205.1:3640357-3642471|- -            705 11342at91347         -            517   4.6e-27   92.9   0.0   4   4     0.023        11    2.6   0.0   351   410   626   685   604   699 0.81 NC_011205.1_3511 # 3640357 # 3642471 # -1 # ID=1_3511;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.517
NC_011205.1:4803416-4805005|+ -            530 11342at91347         -            517   3.1e-24   83.6   0.0   1   2     4e-24   1.9e-21   74.4   0.0     4   144    13   164    10   184 0.85 NC_011205.1_4557 # 4803416 # 4805005 # 1 # ID=1_4557;partial=00;start_type=ATG;rbs_motif=AGxAG;rbs_spacer=5-10bp;gc_cont=0.544
NC_011205.1:4803416-4805005|+ -            530 11342at91347         -            517   3.1e-24   83.6   0.0   2   2     0.001      0.48    7.1   0.0   292   325   436   469   365   491 0.70 NC_011205.1_4557 # 4803416 # 4805005 # 1 # ID=1_4557;partial=00;start_type=ATG;rbs_motif=AGxAG;rbs_spacer=5-10bp;gc_cont=0.544
NC_011205.1:3494737-3497415|- -            893 11342at91347         -            517     2e-18   64.4   0.1   1   1   3.1e-20   1.4e-17   61.6   0.1    51   208   425   599   394   611 0.79 NC_011205.1_3354 # 3494737 # 3497415 # -1 # ID=1_3354;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.554
NC_011205.1:3639101-3640285|- -            395 11342at91347         -            517   9.1e-13   45.8   0.0   1   1   2.7e-15   1.3e-12   45.3   0.0     6   131    14   144     9   164 0.79 NC_011205.1_3510 # 3639101 # 3640285 # -1 # ID=1_3510;partial=00;start_type=GTG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.540
