#                                                                                           --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                       accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#               ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NZ_ABFH02000001.1:1059169-1060539|+ -            457 47034at91347         -            399  1.1e-197  654.9   0.6   1   1  3.1e-200  1.3e-197  654.6   0.6     1   394     7   443     7   454 0.92 NZ_ABFH02000001.1_943 # 1059169 # 1060539 # 1 # ID=5_943;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.532
NZ_ABFH02000001.1:23358-24383|-     -            342 47034at91347         -            399   1.1e-06   25.9  18.1   1   2   2.4e-08     1e-05   22.7  13.8   227   385   109   257   104   266 0.81 NZ_ABFH02000001.1_24 # 23358 # 24383 # -1 # ID=5_24;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=11-12bp;gc_cont=0.518
NZ_ABFH02000001.1:23358-24383|-     -            342 47034at91347         -            399   1.1e-06   25.9  18.1   2   2     0.034        14    2.5   0.2   224   260   255   292   252   296 0.80 NZ_ABFH02000001.1_24 # 23358 # 24383 # -1 # ID=5_24;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=11-12bp;gc_cont=0.518
NZ_ABFH02000001.1:1597896-1598450|- -            185 47034at91347         -            399   2.7e-06   24.7   4.9   1   2   0.00032      0.13    9.2   0.2   248   297    15    66    13    72 0.57 NZ_ABFH02000001.1_1445 # 1597896 # 1598450 # -1 # ID=5_1445;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.510
NZ_ABFH02000001.1:1597896-1598450|- -            185 47034at91347         -            399   2.7e-06   24.7   4.9   2   2   8.9e-07   0.00037   17.6   0.8   228   279    81   132    76   181 0.85 NZ_ABFH02000001.1_1445 # 1597896 # 1598450 # -1 # ID=5_1445;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.510
NZ_ABFH02000001.1:2928223-2928711|+ -            163 47034at91347         -            399   9.6e-06   22.8   3.8   1   2    0.0037       1.5    5.7   0.1   223   262    59   100    40   107 0.66 NZ_ABFH02000001.1_2669 # 2928223 # 2928711 # 1 # ID=5_2669;partial=00;start_type=ATG;rbs_motif=GGxGG;rbs_spacer=5-10bp;gc_cont=0.560
NZ_ABFH02000001.1:2928223-2928711|+ -            163 47034at91347         -            399   9.6e-06   22.8   3.8   2   2   5.2e-07   0.00022   18.4   0.7   230   265   111   146   103   158 0.89 NZ_ABFH02000001.1_2669 # 2928223 # 2928711 # 1 # ID=5_2669;partial=00;start_type=ATG;rbs_motif=GGxGG;rbs_spacer=5-10bp;gc_cont=0.560
NZ_ABFH02000001.1:39695-40519|+     -            275 47034at91347         -            399     5e-05   20.5   0.4   1   1   1.6e-07   6.8e-05   20.0   0.4   310   392   133   218   103   223 0.79 NZ_ABFH02000001.1_37 # 39695 # 40519 # 1 # ID=5_37;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.536
NZ_ABFH02000001.1:723482-723964|+   -            161 47034at91347         -            399   0.00071   16.7   3.1   1   1   2.1e-06   0.00086   16.4   3.1   325   386    71   134    51   148 0.67 NZ_ABFH02000001.1_652 # 723482 # 723964 # 1 # ID=5_652;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.337
NZ_ABFH02000002.1:245210-246118|+   -            303 47034at91347         -            399    0.0012   15.9   0.1   1   3   0.00018     0.076   10.0   0.0     3    38    12    50    10    74 0.75 NZ_ABFH02000002.1_248 # 245210 # 246118 # 1 # ID=4_248;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.497
NZ_ABFH02000002.1:245210-246118|+   -            303 47034at91347         -            399    0.0012   15.9   0.1   2   3     0.018       7.5    3.4   0.0    53    90   104   141    78   187 0.74 NZ_ABFH02000002.1_248 # 245210 # 246118 # 1 # ID=4_248;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.497
