#                                                                                     --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                 accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#         ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NC_011205.1:3584339-3585382|- -            348 29906at91347         -            311  2.6e-197  652.1   5.9   1   1  4.1e-200  3.2e-197  651.9   5.9     1   311     1   337     1   337 0.97 NC_011205.1_3442 # 3584339 # 3585382 # -1 # ID=1_3442;partial=00;start_type=ATG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.561
NC_011205.1:2805803-2807653|- -            617 29906at91347         -            311   4.7e-13   47.0   1.6   1   2   9.5e-13   7.4e-10   36.5   0.2   105   217   151   266    20   276 0.87 NC_011205.1_2701 # 2805803 # 2807653 # -1 # ID=1_2701;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.591
NC_011205.1:2805803-2807653|- -            617 29906at91347         -            311   4.7e-13   47.0   1.6   2   2   0.00079      0.62    7.2   0.1   198   270   498   570   489   577 0.85 NC_011205.1_2701 # 2805803 # 2807653 # -1 # ID=1_2701;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.591
NC_011205.1:759935-761614|-   -            560 29906at91347         -            311   1.2e-10   39.1   0.0   1   2     0.069        54    0.8   0.0    13    30     8    25     4    50 0.87 NC_011205.1_721 # 759935 # 761614 # -1 # ID=1_721;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.526
NC_011205.1:759935-761614|-   -            560 29906at91347         -            311   1.2e-10   39.1   0.0   2   2   1.9e-12   1.5e-09   35.5   0.0   101   177   112   188   104   222 0.83 NC_011205.1_721 # 759935 # 761614 # -1 # ID=1_721;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.526
NC_011205.1:11594-13510|+     -            639 29906at91347         -            311   1.1e-07   29.3   0.0   1   2      0.16   1.3e+02   -0.4   0.0   160   199     5    44     2    75 0.66 NC_011205.1_11 # 11594 # 13510 # 1 # ID=1_11;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.525
NC_011205.1:11594-13510|+     -            639 29906at91347         -            311   1.1e-07   29.3   0.0   2   2   9.8e-10   7.6e-07   26.6   0.0   102   201   134   243   102   252 0.79 NC_011205.1_11 # 11594 # 13510 # 1 # ID=1_11;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.525
NC_011205.1:2344127-2345041|+ -            305 29906at91347         -            311   2.2e-05   21.8   0.0   1   1   3.6e-08   2.8e-05   21.4   0.0   122   172   172   222   113   267 0.81 NC_011205.1_2289 # 2344127 # 2345041 # 1 # ID=1_2289;partial=00;start_type=TTG;rbs_motif=GGA/GAG/AGG;rbs_spacer=11-12bp;gc_cont=0.591
NC_011205.1:2698791-2699630|- -            280 29906at91347         -            311   0.00025   18.3   0.0   1   1     5e-07   0.00039   17.7   0.0   126   190   114   173    59   185 0.72 NC_011205.1_2619 # 2698791 # 2699630 # -1 # ID=1_2619;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.612
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /Users/dizzler/Projects/School/BIOL4600-Capstone/busco_downloads/lineages/enterobacterales_odb10/hmms/29906at91347.hmm
# Target file:     reports/busco-results/data/00-reads/GCF_000020925.1_ASM2092v1_genomic.fna/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout reports/busco-results/data/00-reads/GCF_000020925.1_ASM2092v1_genomic.fna/run_enterobacterales_odb10/hmmer_output/29906at91347.out --cpu 1 /Users/dizzler/Projects/School/BIOL4600-Capstone/busco_downloads/lineages/enterobacterales_odb10/hmms/29906at91347.hmm reports/busco-results/data/00-reads/GCF_000020925.1_ASM2092v1_genomic.fna/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /Users/dizzler/Projects/School/BIOL4600-Capstone
# Date:            Sat Feb 21 22:04:26 2026
# [ok]
