# BUSCO version is: 6.0.0 
# The lineage dataset is: enterobacterales_odb10 (Creation date: 2024-01-08, number of genomes: 212, number of BUSCOs: 440)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
312at91347	Complete	NZ_ABFG01000019.1	31030	27002	-	2313.8	1137	https://v10-1.orthodb.org/?query=312at91347	DNA-directed RNA polymerase, subunit 2, hybrid-binding domain
373at91347	Complete	NZ_ABFG01000019.1	26925	22702	-	2417.0	1187	https://v10-1.orthodb.org/?query=373at91347	DNA-directed RNA polymerase subunit beta'
854at91347	Complete	NZ_ABFG01000006.1	280123	282978	+	1435.3	814	https://v10-1.orthodb.org/?query=854at91347	Valine--tRNA ligase
1674at91347	Complete	NZ_ABFG01000016.1	43537	46119	+	1214.8	713	https://v10-1.orthodb.org/?query=1674at91347	Leucine--tRNA ligase
2121at91347	Complete	NZ_ABFG01000001.1	520517	523114	+	1324.4	705	https://v10-1.orthodb.org/?query=2121at91347	DNA topoisomerase I, type IA
2325at91347	Complete	NZ_ABFG01000005.1	67457	71002	+	1327.7	953	https://v10-1.orthodb.org/?query=2325at91347	UvrD-like DNA helicase, C-terminal
2605at91347	Complete	NZ_ABFG01000021.1	3426	6908	+	1683.0	957	https://v10-1.orthodb.org/?query=2605at91347	DNA-directed DNA polymerase
2659at91347	Complete	NZ_ABFG01000012.1	97120	94457	-	1521.5	776	https://v10-1.orthodb.org/?query=2659at91347	Pyruvate dehydrogenase E1 component
3039at91347	Complete	NZ_ABFG01000004.1	300673	303399	+	1336.6	763	https://v10-1.orthodb.org/?query=3039at91347	NADH-quinone oxidoreductase
3084at91347	Complete	NZ_ABFG01000006.1	78781	75554	-	1764.3	933	https://v10-1.orthodb.org/?query=3084at91347	Carbamoyl-phosphate synthase large chain
3734at91347	Complete	NZ_ABFG01000012.1	114469	111971	-	1361.8	707	https://v10-1.orthodb.org/?query=3734at91347	SecA, preprotein cross-linking domain
4210at91347	Complete	NZ_ABFG01000003.1	227312	224958	-	1323.4	683	https://v10-1.orthodb.org/?query=4210at91347	Lon protease
4269at91347	Complete	NZ_ABFG01000008.1	54665	56863	+	927.9	607	https://v10-1.orthodb.org/?query=4269at91347	Primosomal protein N'
4411at91347	Complete	NZ_ABFG01000004.1	356143	358779	+	1403.1	743	https://v10-1.orthodb.org/?query=4411at91347	DNA gyrase subunit A
4459at91347	Complete	NZ_ABFG01000006.1	47499	49859	+	927.2	634	https://v10-1.orthodb.org/?query=4459at91347	Organic solvent tolerance-like, N-terminal
4673at91347	Complete	NZ_ABFG01000001.1	53638	51605	-	1001.1	554	https://v10-1.orthodb.org/?query=4673at91347	Methionine--tRNA ligase
4867at91347	Complete	NZ_ABFG01000004.1	351090	348805	-	1326.1	662	https://v10-1.orthodb.org/?query=4867at91347	Ribonucleoside-diphosphate reductase
5022at91347	Complete	NZ_ABFG01000002.1	17897	20311	+	1231.1	610	https://v10-1.orthodb.org/?query=5022at91347	DNA gyrase subunit B
5062at91347	Complete	NZ_ABFG01000006.1	101958	99124	-	1252.7	783	https://v10-1.orthodb.org/?query=5062at91347	Isoleucine--tRNA ligase
5072at91347	Complete	NZ_ABFG01000015.1	33132	35933	+	1217.8	721	https://v10-1.orthodb.org/?query=5072at91347	2-oxoglutarate dehydrogenase E1 component
5392at91347	Complete	NZ_ABFG01000002.1	290162	292204	+	1055.0	608	https://v10-1.orthodb.org/?query=5392at91347	Oligopeptidase A
5537at91347	Complete	NZ_ABFG01000008.1	186042	183778	-	1077.0	614	https://v10-1.orthodb.org/?query=5537at91347	5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase
6335at91347	Complete	NZ_ABFG01000003.1	235674	237665	+	1078.4	552	https://v10-1.orthodb.org/?query=6335at91347	Cytochrome c oxidase subunit I
6493at91347	Complete	NZ_ABFG01000005.1	173668	171101	-	1273.8	687	https://v10-1.orthodb.org/?query=6493at91347	DNA mismatch repair protein MutS
6639at91347	Complete	NZ_ABFG01000007.1	115700	118378	+	1161.2	664	https://v10-1.orthodb.org/?query=6639at91347	Translation initiation factor IF-2
6839at91347	Complete	NZ_ABFG01000007.1	105360	107303	+	976.6	506	https://v10-1.orthodb.org/?query=6839at91347	Peptidase M41
6990at91347	Complete	NZ_ABFG01000012.1	44806	42284	-	1037.1	589	https://v10-1.orthodb.org/?query=6990at91347	Penicillin-binding protein 1B
7453at91347	Complete	NZ_ABFG01000005.1	251767	254397	+	1192.2	738	https://v10-1.orthodb.org/?query=7453at91347	Alanine--tRNA ligase
7906at91347	Complete	NZ_ABFG01000004.1	297003	298805	+	1067.9	503	https://v10-1.orthodb.org/?query=7906at91347	NADH-quinone oxidoreductase subunit C/D
8198at91347	Complete	NZ_ABFG01000008.1	149833	147047	-	1203.6	760	https://v10-1.orthodb.org/?query=8198at91347	DNA polymerase I
8345at91347	Complete	NZ_ABFG01000011.1	94811	92883	-	1024.0	563	https://v10-1.orthodb.org/?query=8345at91347	Threonine--tRNA ligase
8636at91347	Complete	NZ_ABFG01000016.1	8587	6920	-	829.5	470	https://v10-1.orthodb.org/?query=8636at91347	Glutamine--tRNA ligase
8822at91347	Complete	NZ_ABFG01000011.1	90336	87949	-	887.2	643	https://v10-1.orthodb.org/?query=8822at91347	Phenylalanine--tRNA ligase beta subunit
9070at91347	Complete	NZ_ABFG01000019.1	3326	4915	+	736.8	435	https://v10-1.orthodb.org/?query=9070at91347	Methylglyoxal synthase-like domain
9079at91347	Complete	NZ_ABFG01000021.1	19374	17656	-	792.5	487	https://v10-1.orthodb.org/?query=9079at91347	Proline--tRNA ligase
9375at91347	Complete	NZ_ABFG01000004.1	109760	111337	+	782.6	437	https://v10-1.orthodb.org/?query=9375at91347	GMP synthase
9490at91347	Complete	NZ_ABFG01000005.1	122998	124635	+	844.5	448	https://v10-1.orthodb.org/?query=9490at91347	CTP synthase
9913at91347	Complete	NZ_ABFG01000008.1	138580	136757	-	968.4	518	https://v10-1.orthodb.org/?query=9913at91347	Transcription factor, GTP-binding domain
10523at91347	Complete	NZ_ABFG01000010.1	10061	8313	-	978.6	509	https://v10-1.orthodb.org/?query=10523at91347	ABC transporter type 1, transmembrane domain
10905at91347	Complete	NZ_ABFG01000001.1	343110	344585	+	710.3	419	https://v10-1.orthodb.org/?query=10905at91347	glucose-6-phosphate dehydrogenase
11158at91347	Complete	NZ_ABFG01000007.1	224052	222070	-	1110.6	546	https://v10-1.orthodb.org/?query=11158at91347	RNA polymerase sigma-70
11276at91347	Complete	NZ_ABFG01000007.1	120576	122741	+	1120.1	588	https://v10-1.orthodb.org/?query=11276at91347	Polyribonucleotide nucleotidyltransferase
11342at91347	Complete	NZ_ABFG01000004.1	11267	13066	+	920.5	517	https://v10-1.orthodb.org/?query=11342at91347	Elongation factor 4
11564at91347	Complete	NZ_ABFG01000001.1	538555	536621	-	880.8	534	https://v10-1.orthodb.org/?query=11564at91347	Exoribonuclease 2
12067at91347	Complete	NZ_ABFG01000010.1	14705	13032	-	910.5	439	https://v10-1.orthodb.org/?query=12067at91347	S1 domain
