# Annotated with Bakta
# Software: v1.12.0
# Database: v6.0, full
# DOI: 10.1099/mgen.0.000685
# URL: github.com/oschwengers/bakta
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Score	Evalue	Query Cov	Subject Cov	Id	Accession
contig_3	cds	147	611	-	IKCLMC_00001	-	-	-	-	-	-
contig_4	ncRNA	119	263	-	IKCLMC_00002	179.2	1.9e-27	-	-	-	RFAM:RF00101
contig_4	ncRNA	160	259	+	IKCLMC_00003	116.2	9.9e-19	-	-	-	RFAM:RF00111
contig_5	cds	43	588	+	IKCLMC_00004	343.0	6.6e-119	1.0	0.892	0.994	UniRef:UniRef90_UPI00217D8B47
contig_7	cds	51	305	+	IKCLMC_00005	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A2Y0QZH5
contig_7	tRNA	493	568	+	IKCLMC_00006	66.6	-	-	-	-	-
contig_8	cds	139	525	-	IKCLMC_00007	263.0	3.7e-89	1.0	0.948	0.977	UniRef:UniRef90_A0A447N4M7
contig_9	cds	141	494	+	IKCLMC_00008	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A4Z0N745
contig_11	ncRNA-region	207	634	-	-	436.2	3.0e-47	-	-	-	RFAM:RF01766
contig_11	cds	258	470	-	IKCLMC_00009	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_P0A9X9
contig_12	cds	49	204	+	IKCLMC_00010	92.4	6.8e-24	1.0	1.0	0.824	UniRef:UniRef90_A0A839BWK6
contig_13	cds	403	645	+	IKCLMC_00011	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A3V2EBZ2
contig_14	ncRNA-region	376	745	-	-	363.4	1.4e-39	-	-	-	RFAM:RF01766
contig_14	cds	427	639	-	IKCLMC_00012	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_P0A9X9
contig_16	cds	282	437	+	IKCLMC_00013	92.4	6.8e-24	1.0	1.0	0.824	UniRef:UniRef90_A0A839BWK6
contig_17	cds	64	747	+	IKCLMC_00014	-	-	-	-	-	-
contig_20	cds	76	339	-	IKCLMC_00015	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A5V8FPP4
contig_20	ncRNA	232	296	+	IKCLMC_00016	70.1	8.0e-14	-	-	-	RFAM:RF01813
contig_20	cds	621	776	-	IKCLMC_00017	102.0	1.3e-27	0.980	0.847	0.960	UniRef:UniRef90_A0A376TL80
contig_22	cds	130	558	-	IKCLMC_00018	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A617YRV1
contig_22	cds	563	880	-	IKCLMC_00019	-	-	-	-	-	-
contig_23	ncRNA	62	262	-	IKCLMC_00020	238.5	1.1e-38	-	-	-	RFAM:RF01397
contig_23	cds	309	803	+	IKCLMC_00021	270.0	3.2e-90	1.006	0.846	0.921	UniRef:UniRef90_A0A379UVQ7
contig_25	cds	17	514	+	IKCLMC_00022	296.0	5.5e-101	1.0	0.882	0.994	UniRef:UniRef90_Q8ZLN3
contig_25	cds	490	747	-	IKCLMC_00023	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A603C004
contig_26	cds	201	767	-	IKCLMC_00024	363.0	5.9e-127	1.0	0.954	0.963	UniRef:UniRef90_A0A447U4F4
contig_27	tRNA	442	517	+	IKCLMC_00025	75.0	-	-	-	-	-
contig_29	cds	78	239	+	IKCLMC_00026	-	-	-	-	-	-
contig_29	cds	215	769	-	IKCLMC_00027	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A4Z0LIC3
contig_32	cds	227	721	+	IKCLMC_00028	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A609LX62
contig_33	ncRNA	89	185	+	IKCLMC_00029	112.4	1.9e-18	-	-	-	RFAM:RF01392
contig_33	cds	335	553	+	IKCLMC_00030	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A5U3I4D7
contig_33	cds	565	1104	-	IKCLMC_00031	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A619ILC4
contig_35	cds	11	328	+	IKCLMC_00032	154.0	4.9e-47	1.0	1.040	0.800	UniRef:UniRef90_C5BGH0
contig_35	cds	499	1182	+	IKCLMC_00033	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A5W7BDN3
contig_38	cds	179	1666	+	IKCLMC_00034	912.0	0.0	1.018	0.937	0.952	UniRef:UniRef90_Q8ZNR7
contig_39	cds	128	1156	+	IKCLMC_00035	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A617QZH1
contig_39	cds	1153	2115	+	IKCLMC_00036	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A3V9X468
contig_39	cds	2150	3076	-	IKCLMC_00037	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_B5F0V8
contig_39	tRNA	3502	3577	+	IKCLMC_00038	81.3	-	-	-	-	-
contig_39	tRNA	3586	3670	+	IKCLMC_00039	73.0	-	-	-	-	-
contig_39	tRNA	3787	3861	+	IKCLMC_00040	70.6	-	-	-	-	-
contig_40	cds	152	676	+	IKCLMC_00041	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A718UNX5
contig_40	ncRNA	961	1089	+	IKCLMC_00042	111.4	3.0e-16	-	-	-	RFAM:RF02957
contig_40	cds	1151	1849	+	IKCLMC_00043	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A0T9XC94
contig_40	cds	2192	4360	+	IKCLMC_00044	1019.0	0.0	1.0	1.0	0.997	UniRef:UniRef90_A0A655EK14
contig_40	cds	4417	6147	+	IKCLMC_00045	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A8E9RV00
contig_40	cds	6357	6530	+	IKCLMC_00046	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A455RS33
contig_40	cds	7052	8506	-	IKCLMC_00047	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_Q8ZNS0
contig_41	cds	280	795	+	IKCLMC_00048	249.0	1.6e-82	1.006	1.0	0.750	UniRef:UniRef90_A0A564NW79
contig_41	cds	745	990	-	IKCLMC_00049	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A600YWT7
contig_41	cds	1040	2308	-	IKCLMC_00050	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A3W0FBE5
contig_41	cds	2588	3514	+	IKCLMC_00051	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_Q8ZQS8
contig_41	cds	3515	4405	-	IKCLMC_00052	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A3W0FBG9
contig_41	cds	4535	5380	+	IKCLMC_00053	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A6C8GRI6
contig_41	cds	5395	5940	+	IKCLMC_00054	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_Q8ZQT1
contig_41	cds	6034	7086	-	IKCLMC_00055	671.0	8.7e-247	1.0	1.0	0.949	BlastRules:WP_001109196
contig_41	cds	7406	7792	+	IKCLMC_00056	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_P64437
contig_41	cds	7903	8841	+	IKCLMC_00057	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A617BC33
contig_41	cds	8838	9557	-	IKCLMC_00058	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A4Z0LS99
contig_41	cds	9582	10625	-	IKCLMC_00059	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_C0PWG4
contig_41	ncRNA-region	10920	11045	-	-	52.7	5.1e-07	-	-	-	RFAM:RF00391
contig_41	ncRNA-region	11075	11200	-	-	48.5	2.6e-06	-	-	-	RFAM:RF00391
contig_41	ncRNA-region	11230	11355	-	-	45.0	1.0e-05	-	-	-	RFAM:RF00391
contig_41	tRNA	11385	11460	-	IKCLMC_00060	94.9	-	-	-	-	-
contig_41	tRNA	11595	11670	-	IKCLMC_00061	94.9	-	-	-	-	-
contig_41	tRNA	11810	11885	-	IKCLMC_00062	94.9	-	-	-	-	-
contig_41	tRNA	11889	11948	-	IKCLMC_00063	30.0	-	-	-	-	-
contig_42	cds	152	697	+	IKCLMC_00064	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_Q8ZMZ2
contig_42	cds	669	2600	+	IKCLMC_00065	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A619IM40
contig_42	cds	2584	2787	+	IKCLMC_00066	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_Q8ZMZ4
contig_42	cds	2745	4364	+	IKCLMC_00067	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A455RQK4
contig_42	cds	4354	5850	+	IKCLMC_00068	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_Q8ZMZ6
contig_42	cds	5863	6210	+	IKCLMC_00069	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_Q8ZMZ7
contig_42	cds	6265	7293	+	IKCLMC_00070	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_Q8ZMZ8
contig_42	cds	7351	7710	+	IKCLMC_00071	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_Q8ZMZ9
