# Annotated with Bakta
# Software: v1.12.0
# Database: v6.0, full
# DOI: 10.1099/mgen.0.000685
# URL: github.com/oschwengers/bakta
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Score	Evalue	Query Cov	Subject Cov	Id	Accession
contig_1	sorf	169	255	+	AJBGEP_00001	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_Q7CRA3
contig_1	ncRNA-region	191	311	+	-	126.4	1.6e-22	-	-	-	RFAM:RF00506
contig_1	cds	337	2799	+	AJBGEP_00002	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_Q8ZS19
contig_1	cds	2801	3730	+	AJBGEP_00003	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_P65226
contig_1	cds	3734	5020	+	AJBGEP_00004	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_Q8ZS18
contig_1	cds	5114	5887	-	AJBGEP_00005	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_Q8ZS17
contig_1	cds	5966	7396	-	AJBGEP_00006	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_Q8ZS16
contig_1	cds	7665	8618	+	AJBGEP_00007	619.0	2.5e-227	1.0	1.0	1.0	BlastRules:WP_000130175
contig_1	cds	8729	9319	+	AJBGEP_00008	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_Q8ZS15
contig_1	cds	9376	9942	-	AJBGEP_00009	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_Q7CRA2
contig_1	cds	10092	10805	-	AJBGEP_00010	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_Q7CRA1
contig_1	cds	10841	11245	-	AJBGEP_00011	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_Q8ZS14
contig_1	cds	11593	13509	+	AJBGEP_00012	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_Q56073
contig_1	ncRNA	13520	13594	+	AJBGEP_00013	84.0	1.9e-16	-	-	-	RFAM:RF02031
contig_1	cds	13595	14734	+	AJBGEP_00014	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_P0A1G7
contig_1	cds	15014	15961	+	AJBGEP_00015	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A5W9F6Y9
contig_1	cds	16088	16432	+	AJBGEP_00016	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_Q8ZS12
contig_1	cds	16493	17026	-	AJBGEP_00017	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_Q8ZS11
contig_1	cds	17043	17486	-	AJBGEP_00018	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A3Y6PHM9
