#Annotated with Bakta v1.12.0, https://github.com/oschwengers/bakta
#Database v6.0, https://doi.org/10.5281/zenodo.4247252
#Sequence Id	Start	Stop	Strand	Locus Tag	Mol Weight [kDa]	Iso El. Point	Pfam hits	Dbxrefs
contig_1	14682	14822	-	HFCAGB_00015	5.3	10.7		RefSeq:WP_186791146.1, SO:0001217, UniParc:UPI0003E4F726, UniRef:UniRef100_A0A2X5CBS9, UniRef:UniRef50_A0A2X5CBS9, UniRef:UniRef90_A0A2X5CBS9
contig_1	112360	112539	-	HFCAGB_00100	6.8	7.8		SO:0001217, UniParc:UPI00016A127D, UniRef:UniRef100_M7S7D2, UniRef:UniRef50_M7S7D2, UniRef:UniRef90_M7S7D2
contig_1	335909	336346	+	HFCAGB_00305	16.8	6.7		RefSeq:WP_000870136.1, SO:0001217, UniParc:UPI00016A0C3B, UniRef:UniRef100_A0A3Z2MYE8, UniRef:UniRef50_A0A0U1QYI0, UniRef:UniRef90_A0A3U4ENL1
contig_1	336750	336878	+	HFCAGB_00306	5.0	7.9		SO:0001217, UniParc:UPI0002C48E42, UniRef:UniRef100_M7RBC9, UniRef:UniRef50_M7RBC9, UniRef:UniRef90_M7RBC9
contig_1	336930	337022	+	HFCAGB_00307	3.5	4.1		
contig_1	337145	337483	+	HFCAGB_00308	12.9	4.5	PF24832.1|DUF7716	PFAM:PF24832.1, RefSeq:WP_000201550.1, SO:0001217, UniParc:UPI00016A1773, UniRef:UniRef100_M7S6P6, UniRef:UniRef50_M7S6P6, UniRef:UniRef90_M7S6P6
contig_1	342519	342767	+	HFCAGB_00313	9.8	6.9		SO:0001217, UniParc:UPI00016A1779, UniRef:UniRef100_A0A723VLS1, UniRef:UniRef50_A0A379WFF6, UniRef:UniRef90_A0A379WFF6
contig_1	459508	459666	+	HFCAGB_00423	6.0	8.2		SO:0001217, UniRef:UniRef50_UPI001E41ADCC, UniRef:UniRef90_UPI001E41ADCC
contig_1	572966	573070	+	HFCAGB_00536	3.8	6.7		SO:0001217, UniParc:UPI0001604710, UniRef:UniRef100_A0A455S8Y3, UniRef:UniRef50_V1H4Y4, UniRef:UniRef90_A0A379SBK8
contig_1	624906	625205	-	HFCAGB_00600	10.9	5.0		RefSeq:WP_001751411.1, SO:0001217, UniParc:UPI00016A10B7, UniRef:UniRef100_A0A3Z0XW13, UniRef:UniRef50_A0A3F3IQR7, UniRef:UniRef90_A0A3F3IQR7
contig_1	633971	634063	+	HFCAGB_00616	3.2	11.0		
contig_1	652107	652436	-	HFCAGB_00638	12.4	7.7		RefSeq:WP_000889769.1, SO:0001217, UniParc:UPI00016A1040, UniRef:UniRef100_A0A3R0EGQ1, UniRef:UniRef50_A0A3Y9SJX7, UniRef:UniRef90_A0A3V2FZG7
contig_1	659581	659739	+	HFCAGB_00649	5.6	6.7		SO:0001217, UniParc:UPI0001604591, UniRef:UniRef100_A0A455RWW1, UniRef:UniRef50_A0A455RWW1, UniRef:UniRef90_A0A455RWW1
contig_1	832908	833033	+	HFCAGB_00821	4.6	9.0		SO:0001217, UniParc:UPI0001603F11, UniRef:UniRef100_A0A659JTK8, UniRef:UniRef50_A0A659JTK8, UniRef:UniRef90_A0A659JTK8
contig_1	1107998	1108585	+	HFCAGB_01089	21.5	4.8		RefSeq:WP_000268742.1, SO:0001217, UniParc:UPI00016A0814, UniRef:UniRef100_A0A3Z2MPW9, UniRef:UniRef50_A0A2Z3XC21, UniRef:UniRef90_A0A5Y2QRB5
contig_1	1110763	1111260	+	HFCAGB_01091	17.4	6.0		RefSeq:WP_000011140.1, SO:0001217, UniParc:UPI00017F77C4, UniRef:UniRef100_A0A3Y2QSN2, UniRef:UniRef50_A0A6L5EH95, UniRef:UniRef90_A0A751BEW9
contig_1	1203024	1203242	+	HFCAGB_01185	8.1	6.6		RefSeq:WP_000880617.1, SO:0001217, UniParc:UPI00016A14F4, UniRef:UniRef100_A0A724SZY6, UniRef:UniRef50_A0A6C8G5K2, UniRef:UniRef90_A0A3Y4IKC8
contig_1	1204294	1204383	-	HFCAGB_01187	3.5	5.0		SO:0001217, UniParc:UPI0003BB238A, UniRef:UniRef100_M7RK72, UniRef:UniRef50_M7RK72, UniRef:UniRef90_M7RK72
contig_1	1226284	1226394	-	HFCAGB_01207	4.4	9.9		
contig_1	1233806	1234138	+	HFCAGB_01211	12.9	9.4		RefSeq:WP_001675826.1, SO:0001217, UniParc:UPI00016A1729, UniRef:UniRef100_A0A5T8KRP5, UniRef:UniRef50_D4BIL5, UniRef:UniRef90_A0A5Y7AFX5, UniRef:UniRef90_A0A628EB27
contig_1	1238731	1239108	+	HFCAGB_01217	14.5	5.4		RefSeq:WP_001574179.1, SO:0001217, UniParc:UPI0001811A16, UniRef:UniRef100_A0A3R0WD96, UniRef:UniRef50_A0A5Y7AG89, UniRef:UniRef90_A0A3Y5P5X8
contig_1	1358507	1358773	-	HFCAGB_01354	9.6	4.6		RefSeq:WP_000687579.1, SO:0001217, UniParc:UPI00016A07D9, UniRef:UniRef100_A0A3T2YK51, UniRef:UniRef50_A0A3T2YK51, UniRef:UniRef90_A0A3T2YK51
contig_1	1358770	1358877	-	HFCAGB_01355	4.0	4.1		
contig_1	1397433	1397714	-	HFCAGB_01402	11.1	4.6		SO:0001217, UniParc:UPI0002EA79AB, UniRef:UniRef100_A0A1X8WCV5, UniRef:UniRef50_A0A379S3M9, UniRef:UniRef90_A0A379S3M9
contig_1	1402706	1402831	-	HFCAGB_01408	4.8	10.3		
contig_1	1405821	1405943	+	HFCAGB_01411	4.6	6.7		RefSeq:WP_001713164.1, SO:0001217, UniParc:UPI00016C138F, UniRef:UniRef100_A0A5U7IQZ6, UniRef:UniRef50_A0A5U7IQZ6, UniRef:UniRef90_A0A5U7IQZ6
contig_1	1429130	1429237	+	HFCAGB_01435	4.2	9.6		SO:0001217, UniParc:UPI0001604483, UniRef:UniRef100_A0A455RYX3, UniRef:UniRef50_A0A455RYX3, UniRef:UniRef90_A0A455RYX3
contig_1	1558771	1558923	-	HFCAGB_01564	5.7	9.4		SO:0001217, UniParc:UPI0003E4CDB7, UniRef:UniRef100_A0A1X8WF07, UniRef:UniRef50_A0A5Z7IP03, UniRef:UniRef90_A0A1X8WF07, UniRef:UniRef90_A0A5Z7IP03
contig_1	1640085	1640180	+	HFCAGB_01645	3.4	5.9		SO:0001217, UniParc:UPI000169FA75, UniRef:UniRef100_A0A379UR63, UniRef:UniRef50_A0A3S4GLI1, UniRef:UniRef90_A0A379W8A9
contig_1	1736626	1736907	+	HFCAGB_01731	10.3	7.7		RefSeq:WP_000742002.1, SO:0001217, UniParc:UPI00016A21DC, UniRef:UniRef100_A0A724T2C1, UniRef:UniRef50_A0A5Z3HZ35, UniRef:UniRef90_A0A3Z3G603
contig_1	1804174	1804377	+	HFCAGB_01803	7.1	10.4		
contig_1	1969154	1969369	-	HFCAGB_01978	8.5	8.5		SO:0001217, UniParc:UPI00016A151D, UniRef:UniRef100_A0A3Z2MU78, UniRef:UniRef50_A0A4Z0P2U0, UniRef:UniRef90_A0A4Z0P2U0
contig_1	2039112	2039318	+	HFCAGB_02057	8.1	9.5		RefSeq:WP_000787625.1, SO:0001217, UniParc:UPI00016A2425, UniRef:UniRef100_A0A5T7T904, UniRef:UniRef50_V7IU88, UniRef:UniRef90_A0A3Y9SFP6
contig_1	2092580	2092804	-	HFCAGB_02111	8.4	4.5		RefSeq:WP_000528430.1, SO:0001217, UniParc:UPI00016A06C1, UniRef:UniRef100_A0A724S397, UniRef:UniRef50_G5NAS5, UniRef:UniRef90_A0A603BX06
contig_1	2093007	2093267	-	HFCAGB_02112	10.0	5.5		
contig_1	2148536	2148685	-	HFCAGB_02173	5.5	6.0		SO:0001217, UniParc:UPI00016A0398, UniRef:UniRef100_A0A707T441, UniRef:UniRef50_A0A707T441, UniRef:UniRef90_A0A707T441
contig_1	2170751	2170993	-	HFCAGB_02204	9.0	6.3		RefSeq:WP_024132393.1, SO:0001217, UniParc:UPI0003EB2845, UniRef:UniRef100_A0A3U1TKD4, UniRef:UniRef50_A0A0K3UK22, UniRef:UniRef90_A0A0K3UK22
contig_1	2179938	2180222	-	HFCAGB_02220	10.7	8.8		
contig_1	2190964	2191293	-	HFCAGB_02236	12.9	7.8		SO:0001217, UniParc:UPI00016A10A2, UniRef:UniRef100_A0A724NCY9, UniRef:UniRef50_A0A6X7FPC4, UniRef:UniRef90_A0A6X7FPC4
contig_1	2191315	2191923	-	HFCAGB_02237	24.0	5.9		SO:0001217, UniRef:UniRef50_A0A6D0KBU5, UniRef:UniRef90_A0A6D0KBU5
