#Annotated with Bakta v1.12.0, https://github.com/oschwengers/bakta
#Database v6.0, https://doi.org/10.5281/zenodo.4247252
#Sequence Id	Start	Stop	Strand	Locus Tag	Mol Weight [kDa]	Iso El. Point	Pfam hits	Dbxrefs
contig_1	1877	2011	-	ONMMKP_00004	5.0	8.2		
contig_4	79361	79555	-	ONMMKP_00113	6.8	8.1		SO:0001217, UniParc:UPI0003482B49, UniRef:UniRef100_A0A379US83, UniRef:UniRef50_A0A3S4FJE3, UniRef:UniRef90_A0A3S4FJE3
contig_4	131898	132020	+	ONMMKP_00172	4.6	6.7		RefSeq:WP_001713164.1, SO:0001217, UniParc:UPI00016C138F, UniRef:UniRef100_A0A5U7IQZ6, UniRef:UniRef50_A0A5U7IQZ6, UniRef:UniRef90_A0A5U7IQZ6
contig_4	155228	155335	+	ONMMKP_00195	4.2	9.6		SO:0001217, UniParc:UPI0001604483, UniRef:UniRef100_A0A455RYX3, UniRef:UniRef50_A0A455RYX3, UniRef:UniRef90_A0A455RYX3
contig_4	284123	284275	-	ONMMKP_00323	5.7	9.4		SO:0001217, UniRef:UniRef50_A0A447U2B1, UniRef:UniRef50_A0A5Z7IP03, UniRef:UniRef90_A0A5Z7IP03
contig_4	365418	365513	+	ONMMKP_00404	3.4	5.9		SO:0001217, UniParc:UPI000169FA75, UniRef:UniRef100_A0A379UR63, UniRef:UniRef50_A0A3S4GLI1, UniRef:UniRef90_A0A379W8A9
contig_4	699192	699404	+	ONMMKP_00731	7.8	4.9		SO:0001217, UniRef:UniRef50_A0A5V1RHK4, UniRef:UniRef90_A0A5V1RHK4
contig_4	699370	699546	-	ONMMKP_00732	6.8	4.9		SO:0001217, UniParc:UPI0001811830, UniRef:UniRef100_A0A6C8ESK2, UniRef:UniRef50_A0A6C8ESK2, UniRef:UniRef90_A0A6C8ESK2
contig_4	705998	706411	+	ONMMKP_00742	15.1	6.4		RefSeq:WP_033905026.1, SO:0001217, UniParc:UPI00053B805B, UniRef:UniRef100_A0A5V1RHL3, UniRef:UniRef50_A0A7B6SYW8, UniRef:UniRef90_G0ZNE8
contig_4	719353	719448	-	ONMMKP_00761	3.4	4.1		SO:0001217, UniParc:UPI00016C1B1B, UniRef:UniRef100_I6S1P5, UniRef:UniRef50_I6S1P5, UniRef:UniRef90_I6S1P5
contig_4	730079	730285	+	ONMMKP_00784	7.8	8.8		RefSeq:WP_149021858.1, SO:0001217, UniParc:UPI000AF952C1, UniRef:UniRef100_A0A749UTV7, UniRef:UniRef50_A0A747CKK0, UniRef:UniRef90_A0A5V1RHL8
contig_4	759265	759480	-	ONMMKP_00825	8.5	8.5		RefSeq:WP_012218869.1, SO:0001217, UniParc:UPI00016040FD, UniRef:UniRef100_A0A3T3EM71, UniRef:UniRef50_A0A4Z0P2U0, UniRef:UniRef90_A0A4Z0P2U0
contig_4	819840	820046	+	ONMMKP_00896	8.1	9.5		RefSeq:WP_000787625.1, SO:0001217, UniParc:UPI00016A2425, UniRef:UniRef100_A0A5T7T904, UniRef:UniRef50_V7IU88, UniRef:UniRef90_A0A3Y9SFP6
contig_4	873308	873532	-	ONMMKP_00950	8.4	4.5		RefSeq:WP_000528428.1, SO:0001217, UniParc:UPI00004F7B09, UniRef:UniRef100_A0A730PM53, UniRef:UniRef50_G5NAS5, UniRef:UniRef90_G5NAS5
contig_4	984320	984460	+	ONMMKP_01069	5.3	6.0		SO:0001217, UniParc:UPI00016BE0B3, UniRef:UniRef100_A0A745HMG8, UniRef:UniRef50_A0A379XT47, UniRef:UniRef90_A0A749FB01
contig_4	1003731	1004156	+	ONMMKP_01084	15.5	6.6		RefSeq:WP_024133401.1, SO:0001217, UniParc:UPI0003EB21EA, UniRef:UniRef100_A0A5I6QCV4, UniRef:UniRef50_A0A4U1USJ6, UniRef:UniRef90_A0A4U1USJ6
contig_4	1196003	1196116	-	ONMMKP_01271	4.3	9.8		SO:0001217, UniParc:UPI000169EBF3, UniRef:UniRef100_A0A6C8EXL2, UniRef:UniRef50_A0A0N1QS56, UniRef:UniRef90_A0A0N1QS56
contig_4	1259677	1260246	-	ONMMKP_01333	21.6	10.2		RefSeq:WP_001107525.1, SO:0001217, UniParc:UPI00016C137B, UniRef:UniRef100_A0A5T4AIV0, UniRef:UniRef50_A0A447UU64, UniRef:UniRef90_A0A5T4AIV0
contig_4	1269468	1269836	-	ONMMKP_01344	14.0	6.6		RefSeq:WP_000902679.1, SO:0001217, UniParc:UPI00016C1371, UniRef:UniRef100_A0A626M3B9, UniRef:UniRef50_A0AAD2PL92, UniRef:UniRef90_A0A5V6M8Q8
contig_4	1273692	1274015	-	ONMMKP_01349	12.0	4.2		RefSeq:WP_001201093.1, SO:0001217, UniParc:UPI00016C1251, UniRef:UniRef100_A0A626M498, UniRef:UniRef50_A0A626M498, UniRef:UniRef90_A0A626M498
contig_4	1280637	1281029	-	ONMMKP_01355	15.2	6.2		SO:0001217, UniParc:UPI00016C124B, UniRef:UniRef100_A0A5V0IFZ0, UniRef:UniRef50_A0A379VVH6, UniRef:UniRef90_A0A379VVH6
contig_4	1282794	1283486	-	ONMMKP_01359	26.1	8.5		RefSeq:WP_000849683.1, SO:0001217, UniParc:UPI00016C1247, UniRef:UniRef100_A0A5T4AIR9, UniRef:UniRef50_A0A5T4AIR9, UniRef:UniRef90_A0A5T4AIR9
contig_4	1283538	1283786	-	ONMMKP_01360	9.4	4.7		RefSeq:WP_000490547.1, SO:0001217, UniParc:UPI00016C1246, UniRef:UniRef100_A0A626M446, UniRef:UniRef50_A0A626M446, UniRef:UniRef90_A0A626M446
contig_4	1283776	1283979	-	ONMMKP_01361	7.7	9.6		SO:0001217, UniParc:UPI00016C1245, UniRef:UniRef100_A0A5T4AIQ4, UniRef:UniRef50_A0A3U4W920, UniRef:UniRef90_A0A5T4AIQ4
contig_4	1283976	1284554	-	ONMMKP_01362	21.7	5.4		RefSeq:WP_000643709.1, SO:0001217, UniParc:UPI00016C1244, UniRef:UniRef100_A0A5T4AK47, UniRef:UniRef50_A0A5T4AK47, UniRef:UniRef90_A0A5T4AK47
contig_4	1285068	1285379	-	ONMMKP_01364	12.3	5.1		RefSeq:WP_000768095.1, SO:0001217, UniParc:UPI00016C1242, UniRef:UniRef100_A0A626M4Y2, UniRef:UniRef50_A0A606EWB9, UniRef:UniRef90_A0A606EWB9
contig_4	1285369	1285632	-	ONMMKP_01365	10.2	9.4		SO:0001217, UniParc:UPI00016C1241, UniRef:UniRef100_A0A626M2J2, UniRef:UniRef50_A0A626M2J2, UniRef:UniRef90_A0A626M2J2
contig_4	1285644	1286147	-	ONMMKP_01366	19.0	5.2		RefSeq:WP_001064751.1, SO:0001217, UniParc:UPI00016C1240, UniRef:UniRef100_A0A626M2J0, UniRef:UniRef50_A0A608CS98, UniRef:UniRef90_A0A608CS98
contig_4	1286399	1286518	-	ONMMKP_01367	4.5	6.0		SO:0001217, UniParc:UPI00018117BA, UniRef:UniRef100_A0A6C8EV46, UniRef:UniRef50_A0A6C8EV46, UniRef:UniRef90_A0A6C8EV46
contig_4	1287343	1287519	-	ONMMKP_01370	7.0	9.7		
contig_4	1330044	1330169	-	ONMMKP_01417	4.6	9.0		SO:0001217, UniParc:UPI0001603F11, UniRef:UniRef100_A0A659JTK8, UniRef:UniRef50_A0A659JTK8, UniRef:UniRef90_A0A659JTK8
contig_4	1515428	1515766	-	ONMMKP_01597	12.9	5.8		SO:0001217, UniRef:UniRef50_A0A3S4IUK9, UniRef:UniRef90_A0A3S4IUK9
contig_4	1564617	1564721	-	ONMMKP_01646	3.8	8.5		SO:0001217, UniParc:UPI000169F61A, UniRef:UniRef100_A0A1X8WAK3, UniRef:UniRef50_V1H4Y4, UniRef:UniRef90_A0A379SBK8
contig_4	1689330	1689464	+	ONMMKP_01765	4.7	9.8		
contig_4	1764375	1764872	-	ONMMKP_01836	18.7	5.9		
contig_4	1809162	1810571	-	ONMMKP_01875	54.1	5.8		RefSeq:WP_223201871.1, SO:0001217, UniParc:UPI000DFFD252, UniRef:UniRef100_UPI000DFFD252, UniRef:UniRef50_A0A1H1KLN4, UniRef:UniRef90_B5R5N7
contig_4	1812852	1813040	+	ONMMKP_01878	6.9	6.4		RefSeq:WP_001537056.1, SO:0001217, UniParc:UPI0001811739, UniRef:UniRef100_A0A3V7PE99, UniRef:UniRef50_A0A403QLZ3, UniRef:UniRef90_A0A3Z9BVE6
contig_4	1814844	1815296	+	ONMMKP_01882	16.8	8.9		RefSeq:WP_000734134.1, SO:0001217, UniParc:UPI00016C1AF9, UniRef:UniRef100_A0A3R0MEA0, UniRef:UniRef50_A0A506V8K2, UniRef:UniRef90_A0A506V8K2
contig_4	1818260	1818643	+	ONMMKP_01887	15.0	4.6		RefSeq:WP_000522007.1, SO:0001217, UniParc:UPI00016C1AFD, UniRef:UniRef100_A0A7H9NIU9, UniRef:UniRef50_A0A7H9NIU9, UniRef:UniRef90_A0A7H9NIU9
contig_5	307027	307134	-	ONMMKP_02194	4.2	5.4		SO:0001217, UniParc:UPI0003E45E31, UniRef:UniRef100_A0A8D4XY29, UniRef:UniRef50_A0A2X4TXI3, UniRef:UniRef90_A0A2X5BPJ9
contig_5	389533	389640	+	ONMMKP_02275	4.1	9.7		SO:0001217, UniParc:UPI0005D84673, UniRef:UniRef100_A0A455RY24, UniRef:UniRef50_A0A0J1LPK6, UniRef:UniRef90_A0A3S4G6C7
contig_5	399599	399994	+	ONMMKP_02287	15.3	4.9		SO:0001217, UniParc:UPI0002B9E06D, UniRef:UniRef100_A0A5U7IBA0, UniRef:UniRef50_A0A379GBZ0, UniRef:UniRef90_A0A744EIY5
contig_5	403249	403794	-	ONMMKP_02292	20.3	6.7		RefSeq:WP_000718702.1, SO:0001217, UniParc:UPI00016C10FF, UniRef:UniRef100_A0A5W3DXV7, UniRef:UniRef50_A0A0Q3AS34, UniRef:UniRef90_A0A3V0GS95
