# Annotated with Bakta
# Software: v1.12.0
# Database: v6.0, full
# DOI: 10.1099/mgen.0.000685
# URL: github.com/oschwengers/bakta
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Score	Evalue	Query Cov	Subject Cov	Id	Accession
contig_3	cds	465	650	+	OEKLIE_00001	108.0	1.2e-33	1.0	1.0	0.951	BlastRules:WP_002209449
contig_4	cds	112	738	-	OEKLIE_00002	399.0	1.2e-140	0.990	1.0	0.990	UniRef:UniRef90_A0A655C2X0
contig_6	cds	1	696	+	OEKLIE_00003	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A8E6NC71
contig_7	cds	430	741	-	OEKLIE_00004	216.0	2.7e-71	1.0	1.0	0.961	UniRef:UniRef90_A0A379WRW5
contig_8	cds	490	768	-	OEKLIE_00005	102.0	1.0e-26	1.0	0.920	0.554	UniRef:UniRef90_A0A377X2C2
contig_9	cds	444	716	+	OEKLIE_00006	160.0	6.7e-50	0.856	1.0	0.987	UniRef:UniRef90_A0A624TTY6
contig_10	cds	143	736	-	OEKLIE_00007	363.0	8.2e-127	0.944	1.0	0.973	UniRef:UniRef90_G5R981
contig_11	tRNA	7	85	-	OEKLIE_00008	49.9	-	-	-	-	-
contig_11	cds	308	826	-	OEKLIE_00009	330.0	2.4e-114	0.948	1.0	0.963	UniRef:UniRef90_A0A378FLX3
contig_12	cds	317	535	+	OEKLIE_00010	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_Q93GR6
contig_12	cds	537	842	+	OEKLIE_00011	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_Q93GR5
contig_13	cds	287	895	-	OEKLIE_00012	367.0	4.2e-128	0.990	0.976	0.925	UniRef:UniRef90_A0A2X1LKZ9
contig_15	cds	23	496	+	OEKLIE_00013	259.0	4.1e-87	0.822	0.956	1.0	UniRef:UniRef90_UPI0019D0416F
contig_15	cds	469	894	-	OEKLIE_00014	259.0	2.0e-87	1.0	0.986	0.936	UniRef:UniRef90_A0A379WIE4
contig_19	cds	306	509	+	OEKLIE_00015	-	-	-	-	-	-
contig_20	cds	263	739	+	OEKLIE_00016	291.0	3.4e-99	1.0	0.975	0.987	UniRef:UniRef90_A0A8D5BZT7
contig_20	cds	782	1021	+	OEKLIE_00017	146.0	2.0e-44	1.0	1.0	0.937	UniRef:UniRef90_A0A6C8H5C5
contig_21	cds	9	344	+	OEKLIE_00018	221.0	4.2e-73	1.0	0.874	0.964	UniRef:UniRef90_A0A447JFJ5
contig_21	cds	341	898	+	OEKLIE_00019	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_Q8XFK6
contig_21	cds	895	1107	+	OEKLIE_00020	-	-	-	-	-	-
contig_22	cds	9	809	+	OEKLIE_00021	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A8D5E7D7
contig_23	cds	82	639	+	OEKLIE_00022	-	-	-	-	-	-
contig_24	cds	106	1215	+	OEKLIE_00023	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A5Z5WHQ5
contig_25	cds	180	647	+	OEKLIE_00024	327.0	1.8e-117	1.0	1.0	1.0	BlastRules:WP_000495848
contig_25	cds	644	1120	-	OEKLIE_00025	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_O68926
contig_25	cds	1193	1387	-	OEKLIE_00026	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_P0A1Z6
contig_26	cds	17	1060	-	OEKLIE_00027	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A5Z0HB70
contig_26	cds	1057	1614	-	OEKLIE_00028	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_Q8XFK6
contig_27	cds	261	755	+	OEKLIE_00029	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A4U8K5W0
contig_27	cds	771	1481	+	OEKLIE_00030	473.0	1.4e-168	1.0	0.983	1.0	UniRef:UniRef90_E8XHT2
contig_27	ncRNA	1573	1641	+	OEKLIE_00031	67.9	6.2e-10	-	-	-	RFAM:RF00170
contig_28	cds	246	1658	+	OEKLIE_00032	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_P77983
contig_29	cds	89	907	-	OEKLIE_00033	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI00016A218B
contig_29	cds	904	1128	-	OEKLIE_00034	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A4Z0MAK9
contig_29	cds	1125	2282	-	OEKLIE_00035	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A0H3NCU8
contig_29	ncRNA	1740	1827	-	OEKLIE_00036	79.8	4.4e-13	-	-	-	RFAM:RF01695
contig_29	ncRNA	1852	1928	-	OEKLIE_00037	64.4	1.1e-09	-	-	-	RFAM:RF01394
contig_30	cds	196	1842	+	OEKLIE_00038	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A3V4UFM8
contig_31	cds	345	1205	-	OEKLIE_00039	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A0H3NI66
contig_31	cds	1222	1611	-	OEKLIE_00040	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_Q8HA93
contig_31	cds	1608	2501	-	OEKLIE_00041	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_Q8HA94
contig_32	cds	773	1477	-	OEKLIE_00042	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_P0A2A3
contig_32	cds	1481	1909	-	OEKLIE_00043	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_P0A7J7
contig_32	cds	2067	2612	-	OEKLIE_00044	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_P0AA02
contig_32	cds	2614	2997	-	OEKLIE_00045	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_P0A2D3
contig_33	cds	80	556	+	OEKLIE_00046	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_Q57RK3
contig_33	cds	591	1115	+	OEKLIE_00047	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_Q7CQW9
contig_33	ncRNA-region	1016	1154	+	-	139.9	5.0e-24	-	-	-	RFAM:RF02782
contig_33	cds	1125	1913	+	OEKLIE_00048	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_Q8ZQT4
contig_33	tRNA	2078	2153	+	OEKLIE_00049	94.9	-	-	-	-	-
contig_33	tRNA	2288	2363	+	OEKLIE_00050	94.9	-	-	-	-	-
contig_33	ncRNA-region	2393	2518	+	-	54.2	2.8e-07	-	-	-	RFAM:RF00391
contig_33	ncRNA-region	2548	2672	+	-	47.9	3.2e-06	-	-	-	RFAM:RF00391
contig_34	cds	649	2208	+	OEKLIE_00051	969.0	0.0	1.0	1.0	1.0	BlastRules:WP_000421815
contig_34	cds	2230	3228	-	OEKLIE_00052	564.0	1.7e-202	0.852	1.0	0.993	UniRef:UniRef90_A0A447U1U2
contig_35	cds	386	1312	+	OEKLIE_00053	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_Q9L9K3
contig_35	cds	1347	2309	-	OEKLIE_00054	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_P37416
