# Annotated with Bakta
# Software: v1.12.0
# Database: v6.0, full
# DOI: 10.1099/mgen.0.000685
# URL: github.com/oschwengers/bakta
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Score	Evalue	Query Cov	Subject Cov	Id	Accession
contig_1	sorf	169	255	+	HFCAGB_00001	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_Q7CRA3
contig_1	ncRNA-region	191	311	+	-	126.4	1.6e-22	-	-	-	RFAM:RF00506
contig_1	cds	337	2799	+	HFCAGB_00002	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A3Y2QR81
contig_1	cds	2801	3730	+	HFCAGB_00003	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_B5FH97
contig_1	cds	3734	5020	+	HFCAGB_00004	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A3U2N0J1
contig_1	cds	5114	5887	-	HFCAGB_00005	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_Q8ZS17
contig_1	cds	5966	7396	-	HFCAGB_00006	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_B5F6Y1
contig_1	cds	7665	8618	+	HFCAGB_00007	619.0	2.5e-227	1.0	1.0	1.0	BlastRules:WP_000130175
contig_1	cds	8729	9319	+	HFCAGB_00008	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A617SND3
contig_1	cds	9376	9942	-	HFCAGB_00009	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A5X1Z3X5
contig_1	cds	10092	10805	-	HFCAGB_00010	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_Q7CRA1
contig_1	cds	10841	11245	-	HFCAGB_00011	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_B5F6Y6
contig_1	cds	11594	13510	+	HFCAGB_00012	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_Q56073
contig_1	ncRNA	13521	13595	+	HFCAGB_00013	84.0	1.9e-16	-	-	-	RFAM:RF02031
contig_1	cds	13596	14735	+	HFCAGB_00014	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_P0A1G7
contig_1	cds	14682	14822	-	HFCAGB_00015	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A2X5CBS9
contig_1	cds	15016	15963	+	HFCAGB_00016	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_G5LIG3
contig_1	cds	16090	16434	+	HFCAGB_00017	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_Q8ZS12
