#Annotated with Bakta v1.12.0, https://github.com/oschwengers/bakta
#Database v6.0, https://doi.org/10.5281/zenodo.4247252
#Sequence Id	Start	Stop	Strand	Locus Tag	Mol Weight [kDa]	Iso El. Point	Pfam hits	Dbxrefs
contig_19	306	509	+	OEKLIE_00015	7.7	11.8		
contig_21	895	1107	+	OEKLIE_00020	7.5	5.1		
contig_23	82	639	+	OEKLIE_00022	22.0	11.5		
contig_40	2009	2110	-	OEKLIE_00073	3.7	6.5		SO:0001217, UniParc:UPI000169FC40, UniRef:UniRef100_A0A6C8GI00, UniRef:UniRef50_G5R666, UniRef:UniRef90_G5R666
contig_44	8174	8488	-	OEKLIE_00114	12.0	6.5		
contig_49	1129	1230	+	OEKLIE_00168	3.7	5.5		SO:0001217, UniParc:UPI0005D92894, UniRef:UniRef100_A0A455S9T1, UniRef:UniRef50_A0A3S4G6C1, UniRef:UniRef90_A0A3S4G6C1
contig_51	107	292	+	OEKLIE_00195	6.8	4.1		SO:0001217, UniParc:UPI0002300E19, UniRef:UniRef100_G5R962, UniRef:UniRef50_G5R962, UniRef:UniRef90_G5R962
contig_52	405	506	+	OEKLIE_00208	3.9	6.5		
contig_52	5904	6044	+	OEKLIE_00215	5.0	6.5		SO:0001217, UniParc:UPI0003E56209, UniRef:UniRef100_A0A0B7J200, UniRef:UniRef50_A0A0B7J200, UniRef:UniRef90_A0A0B7J200
contig_53	361	750	+	OEKLIE_00226	14.5	11.2		SO:0001217, UniRef:UniRef50_A0A655DP53, UniRef:UniRef90_A0A655DP53
contig_56	4392	4679	-	OEKLIE_00285	10.6	11.6		RefSeq:WP_071530243.1, SO:0001217, UniParc:UPI0004F62411, UniRef:UniRef100_A0A724WRM7, UniRef:UniRef50_A0A736X0J9, UniRef:UniRef90_A0A736X0J9
contig_56	12736	12867	+	OEKLIE_00296	4.9	7.9		RefSeq:WP_001526971.1, SO:0001217, UniParc:UPI0001812A30, UniRef:UniRef100_E8XLJ5, UniRef:UniRef50_E8XLJ5, UniRef:UniRef90_E8XLJ5
contig_60	3790	3927	-	OEKLIE_00372	5.5	5.0		SO:0001217, UniParc:UPI00016A2184, UniRef:UniRef100_A0A455RZQ3, UniRef:UniRef50_A0A5Y2LYL8, UniRef:UniRef90_A0A455RZQ3
contig_62	278	637	+	OEKLIE_00410	12.8	6.0		
contig_62	16562	18835	-	OEKLIE_00431	85.0	5.1		EC:3.1.11.-, KEGG:K10906, RefSeq:WP_001526881.1, SO:0001217, UniParc:UPI00016A1F51, UniRef:UniRef100_A0A3Z7B4T9, UniRef:UniRef50_R8X0A7, UniRef:UniRef90_A0A728XXJ6
contig_62	19721	20002	+	OEKLIE_00434	10.2	9.8		
contig_62	20858	21433	+	OEKLIE_00436	22.3	11.0		
contig_65	6599	6757	+	OEKLIE_00499	5.7	6.5		RefSeq:WP_001704449.1, SO:0001217, UniParc:UPI00024BBDB0, UniRef:UniRef100_H3JT76, UniRef:UniRef50_H3JT76, UniRef:UniRef90_H3JT76
contig_65	26246	26596	-	OEKLIE_00531	12.5	8.7		SO:0001217, UniRef:UniRef50_A0A655ET56, UniRef:UniRef90_A0A655ET56
contig_65	26603	27235	-	OEKLIE_00532	23.0	9.5		SO:0001217, UniRef:UniRef50_A0A655ER49, UniRef:UniRef90_A0A655ER49
contig_67	15858	16031	+	OEKLIE_00575	6.0	11.8		SO:0001217, UniParc:UPI0005991846, UniRef:UniRef100_A0A0B7J1Q6, UniRef:UniRef50_A0A0B7J1Q6, UniRef:UniRef90_A0A0B7J1Q6
contig_67	21724	21909	-	OEKLIE_00585	6.7	8.0		SO:0001217, UniParc:UPI0003167489, UniRef:UniRef100_A0A738QVW9, UniRef:UniRef50_A0A5V0WBE4, UniRef:UniRef90_A0A738QVW9
