#Annotated with Bakta v1.12.0, https://github.com/oschwengers/bakta
#Database v6.0, https://doi.org/10.5281/zenodo.4247252
#Sequence Id	Start	Stop	Strand	Locus Tag	Mol Weight [kDa]	Iso El. Point	Pfam hits	Dbxrefs
contig_6	899	1534	-	BENMGJ_00005	25.0	10.0		
contig_8	190	1218	+	BENMGJ_00009	38.7	6.7		
contig_16	31	504	+	BENMGJ_00053	17.5	5.1	PF00006.31|ATP-synt_ab, PF22919.1|ATP-synt_VA_C	PFAM:PF00006.31, PFAM:PF22919.1
contig_16	9820	9921	-	BENMGJ_00062	3.7	5.5		SO:0001217, UniParc:UPI0005D92894, UniRef:UniRef100_A0A455S9T1, UniRef:UniRef50_A0A3S4G6C1, UniRef:UniRef90_A0A3S4G6C1
contig_19	503	781	+	BENMGJ_00097	10.9	10.0		
contig_21	13556	13738	+	BENMGJ_00153	6.8	7.8		SO:0001217, UniParc:UPI000169E65E, UniRef:UniRef100_A0A3U8MR52, UniRef:UniRef50_A0A3U8MR52, UniRef:UniRef90_A0A3U8MR52
contig_22	3929	4066	-	BENMGJ_00163	5.4	8.0		SO:0001217, UniRef:UniRef50_G5R6E9, UniRef:UniRef90_A0A7D8ES71
contig_24	58	357	+	BENMGJ_00207	11.4	6.1		
contig_28	663	863	-	BENMGJ_00329	7.5	6.0		
contig_28	950	1105	-	BENMGJ_00330	6.3	10.4		
contig_28	29506	29613	+	BENMGJ_00366	4.1	4.6		SO:0001217, UniParc:UPI00016BED5E, UniRef:UniRef100_A0AAQ1Q9W2, UniRef:UniRef50_A0AAQ1Q9W2, UniRef:UniRef90_A0AAQ1Q9W2
contig_28	30042	30353	+	BENMGJ_00367	11.5	10.4		RefSeq:WP_000588663.1, SO:0001217, UniParc:UPI0001633573, UniRef:UniRef100_B0EYP7, UniRef:UniRef50_B0EYP7, UniRef:UniRef90_B0EYP7
contig_28	33848	33967	-	BENMGJ_00370	4.4	8.8		
contig_29	327	512	+	BENMGJ_00374	6.8	4.1		SO:0001217, UniParc:UPI0002300E19, UniRef:UniRef100_G5R962, UniRef:UniRef50_G5R962, UniRef:UniRef90_G5R962
contig_30	46075	46389	-	BENMGJ_00469	12.1	6.0		
contig_31	48963	49187	+	BENMGJ_00524	8.4	4.5		RefSeq:WP_000528430.1, SO:0001217, UniParc:UPI00016A06C1, UniRef:UniRef100_A0A724S397, UniRef:UniRef50_G5NAS5, UniRef:UniRef90_A0A603BX06
contig_35	31329	31469	+	BENMGJ_00712	5.3	10.7		RefSeq:WP_186791146.1, SO:0001217, UniParc:UPI0003E4F726, UniRef:UniRef100_A0A2X5CBS9, UniRef:UniRef50_A0A2X5CBS9, UniRef:UniRef90_A0A2X5CBS9
contig_35	59840	59947	-	BENMGJ_00741	4.2	4.5		SO:0001217, UniParc:UPI00065C284A, UniRef:UniRef100_A0A2X5BPJ9, UniRef:UniRef50_A0A2X4TXI3, UniRef:UniRef90_A0A2X5BPJ9
contig_36	48169	48375	-	BENMGJ_00821	8.1	9.5		RefSeq:WP_000787625.1, SO:0001217, UniParc:UPI00016A2425, UniRef:UniRef100_A0A5T7T904, UniRef:UniRef50_V7IU88, UniRef:UniRef90_A0A3Y9SFP6
contig_36	108766	108981	+	BENMGJ_00891	8.5	8.5		SO:0001217, UniParc:UPI000169EDA3, UniRef:UniRef100_A0A3U8IRP6, UniRef:UniRef50_A0A4Z0P2U0, UniRef:UniRef90_A0A4Z0P2U0
contig_36	131997	132125	-	BENMGJ_00916	5.0	6.7		SO:0001217, UniRef:UniRef50_M7S6C2, UniRef:UniRef90_A0A8D5DVH7
contig_37	18653	18775	-	BENMGJ_00933	4.6	8.8		SO:0001217, UniRef:UniRef50_A0A3S4GRD1, UniRef:UniRef90_A0A3S4GRD1
