#Annotated with Bakta v1.12.0, https://github.com/oschwengers/bakta
#Database v6.0, https://doi.org/10.5281/zenodo.4247252
#Sequence Id	Start	Stop	Strand	Locus Tag	Mol Weight [kDa]	Iso El. Point	Pfam hits	Dbxrefs
contig_1	276619	276711	+	LNHIMF_00243	2.9	8.5		
contig_1	315841	315939	+	LNHIMF_00285	3.5	6.7		SO:0001217, UniParc:UPI000005A2BA, UniRef:UniRef100_A0A1S0ZHP2, UniRef:UniRef50_A0A447P035, UniRef:UniRef90_A0A447P035
contig_1	330837	331676	+	LNHIMF_00302	30.7	5.0		RefSeq:WP_000654209.1, SO:0001217, UniParc:UPI000169F8D1, UniRef:UniRef100_A0A4Z0KIB2, UniRef:UniRef50_A0A4Z0KIB2, UniRef:UniRef90_A0A4Z0KIB2
contig_1	338475	338777	-	LNHIMF_00307	11.5	9.4		
contig_1	339579	339716	-	LNHIMF_00309	5.9	9.4		SO:0001217, UniRef:UniRef50_A0A8D5IF77, UniRef:UniRef90_A0A8D5IF77
contig_1	350425	350793	-	LNHIMF_00322	14.3	10.0		
contig_1	351604	351834	+	LNHIMF_00324	8.7	6.0		RefSeq:WP_000564356.1, SO:0001217, UniParc:UPI000169F709, UniRef:UniRef100_A0A754KSA4, UniRef:UniRef50_G5RR15, UniRef:UniRef90_A0A754KSA4
contig_1	380428	381252	+	LNHIMF_00351	32.1	5.4		RefSeq:WP_001101694.1, SO:0001217, UniParc:UPI000169F535, UniRef:UniRef100_A0A3T2ZPR3, UniRef:UniRef50_A0A1X1EPC2, UniRef:UniRef90_A0A0F1B5M8
contig_1	382569	382853	+	LNHIMF_00356	9.9	5.4		RefSeq:WP_001027163.1, SO:0001217, UniParc:UPI000169F399, UniRef:UniRef100_A0A3T2ZPT9, UniRef:UniRef50_A0A3T2ZPT9, UniRef:UniRef90_A0A3T2ZPT9
contig_1	391584	391751	-	LNHIMF_00363	6.2	9.6		SO:0001217, UniParc:UPI00076B94E1, UniRef:UniRef100_A0A447PKK5, UniRef:UniRef50_A0A447PKK5, UniRef:UniRef90_A0A447PKK5
contig_1	577771	577875	+	LNHIMF_00536	3.8	6.7		SO:0001217, UniParc:UPI0001604710, UniRef:UniRef100_A0A455S8Y3, UniRef:UniRef50_V1H4Y4, UniRef:UniRef90_A0A379SBK8
contig_1	618737	618832	+	LNHIMF_00598	3.5	4.1		SO:0001217, UniParc:UPI000169E77B, UniRef:UniRef100_A0A977TG61, UniRef:UniRef50_I6S1P5, UniRef:UniRef90_I6S1P5
contig_1	632130	632354	-	LNHIMF_00618	8.4	6.1		SO:0001217, UniRef:UniRef50_G5Q5J3, UniRef:UniRef90_UPI001F29A452
