#Annotated with Bakta v1.12.0, https://github.com/oschwengers/bakta
#Database v6.0, https://doi.org/10.5281/zenodo.4247252
#Sequence Id	Start	Stop	Strand	Locus Tag	Mol Weight [kDa]	Iso El. Point	Pfam hits	Dbxrefs
contig_7	37	1149	-	PAPNPA_00006	42.7	10.3		SO:0001217, UniRef:UniRef50_A0A564II54, UniRef:UniRef90_UPI001F0940C5
contig_16	5650	5874	-	PAPNPA_00041	8.4	4.5		RefSeq:WP_000528425.1, SO:0001217, UniParc:UPI000169F840, UniRef:UniRef100_A0A1U7FPF3, UniRef:UniRef50_G5NAS5, UniRef:UniRef90_A0A603BX06
contig_21	18792	18929	+	PAPNPA_00107	5.4	6.1		SO:0001217, UniRef:UniRef50_G5R6E9, UniRef:UniRef90_A0A379WGZ6
contig_22	75	428	+	PAPNPA_00111	13.7	6.7		
contig_25	6404	6511	+	PAPNPA_00203	4.2	9.6		SO:0001217, UniParc:UPI0001604483, UniRef:UniRef100_A0A455RYX3, UniRef:UniRef50_A0A455RYX3, UniRef:UniRef90_A0A455RYX3
contig_27	14973	15692	-	PAPNPA_00283	27.8	5.5		RefSeq:WP_001518348.1, SO:0001217, UniParc:UPI000169FD78, UniRef:UniRef100_A0A613AEX6, UniRef:UniRef50_A0A613AEX6, UniRef:UniRef90_A0A613AEX6
contig_29	47776	48003	-	PAPNPA_00409	8.6	11.6		
contig_30	49897	50238	-	PAPNPA_00463	13.2	11.4		
contig_34	32642	32773	+	PAPNPA_00649	5.0	9.1		SO:0001217, UniParc:UPI00017A8D71, UniRef:UniRef100_A0A734AMG9, UniRef:UniRef50_A0A731V457, UniRef:UniRef90_A0A731V457
contig_35	30825	31259	-	PAPNPA_00713	16.3	9.3		SO:0001217, UniRef:UniRef50_A0A756LA17, UniRef:UniRef90_UPI001CE44073
contig_35	31557	31769	-	PAPNPA_00714	8.1	9.7		SO:0001217, UniParc:UPI00017A9E99, UniRef:UniRef100_A0A620GDL0, UniRef:UniRef50_A0A5H5B5G8, UniRef:UniRef90_A0A5H5B5G8
contig_35	47625	47843	-	PAPNPA_00735	7.8	8.0		RefSeq:WP_000690098.1, SO:0001217, UniParc:UPI000169F9E5, UniRef:UniRef100_A0A5U3I4D7, UniRef:UniRef50_A0A5U3I4D7, UniRef:UniRef90_A0A5U3I4D7
