# Annotated with Bakta
# Software: v1.12.0
# Database: v6.0, full
# DOI: 10.1099/mgen.0.000685
# URL: github.com/oschwengers/bakta
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Score	Evalue	Query Cov	Subject Cov	Id	Accession
contig_1	sorf	169	255	+	BEJGEH_00001	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_Q7CRA3
contig_1	ncRNA-region	191	311	+	-	126.4	1.6e-22	-	-	-	RFAM:RF00506
contig_1	cds	337	2799	+	BEJGEH_00002	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A3R0QVB4
contig_1	cds	2801	3730	+	BEJGEH_00003	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_P65226
contig_1	cds	3734	5020	+	BEJGEH_00004	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A603BV04
contig_1	cds	5113	5886	-	BEJGEH_00005	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_B5F6C4
contig_1	cds	5965	7395	-	BEJGEH_00006	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_B5F6Y1
contig_1	cds	7664	8617	+	BEJGEH_00007	619.0	2.5e-227	1.0	1.0	1.0	BlastRules:WP_000130175
contig_1	cds	8728	9318	+	BEJGEH_00008	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A617SND3
contig_1	cds	9375	9941	-	BEJGEH_00009	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A5X1Z3X5
contig_1	cds	10091	10804	-	BEJGEH_00010	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_Q7CRA1
contig_1	cds	10840	11244	-	BEJGEH_00011	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_B5F6Y6
contig_1	cds	11593	13509	+	BEJGEH_00012	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_B5F6Y8
contig_1	ncRNA	13520	13594	+	BEJGEH_00013	84.0	1.9e-16	-	-	-	RFAM:RF02031
contig_1	cds	13595	14734	+	BEJGEH_00014	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_P0A1G7
contig_1	cds	14681	14821	-	BEJGEH_00015	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A2X5CBS9
contig_1	cds	15015	15962	+	BEJGEH_00016	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_G5LIG3
contig_1	cds	16089	16433	+	BEJGEH_00017	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_Q8ZS12
contig_1	cds	16494	17027	-	BEJGEH_00018	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_Q8ZS11
contig_1	cds	17044	17487	-	BEJGEH_00019	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A4Z0L5G7
contig_1	cds	17868	19967	+	BEJGEH_00020	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A3V1EYM3
