#Annotated with Bakta v1.12.0, https://github.com/oschwengers/bakta
#Database v6.0, https://doi.org/10.5281/zenodo.4247252
#Sequence Id	Start	Stop	Strand	Locus Tag	Mol Weight [kDa]	Iso El. Point	Pfam hits	Dbxrefs
contig_3	147	611	-	IKCLMC_00001	15.8	10.0		
contig_7	51	305	+	IKCLMC_00005	9.3	10.3		SO:0001217, UniParc:UPI00005FFA54, UniRef:UniRef100_A0A2Y0QZH5, UniRef:UniRef90_A0A0H2Z2G2
contig_12	49	204	+	IKCLMC_00010	6.0	4.3		SO:0001217, UniRef:UniRef50_A0A839BWK6
contig_16	282	437	+	IKCLMC_00013	6.0	4.3		SO:0001217, UniRef:UniRef50_A0A839BWK6
contig_17	64	747	+	IKCLMC_00014	25.6	11.4		
contig_22	563	880	-	IKCLMC_00019	11.6	5.3		
contig_33	335	553	+	IKCLMC_00030	7.8	8.0		RefSeq:WP_000690098.1, SO:0001217, UniParc:UPI000169F9E5, UniRef:UniRef100_A0A5U3I4D7, UniRef:UniRef50_A0A5U3I4D7, UniRef:UniRef90_A0A5U3I4D7
contig_41	280	795	+	IKCLMC_00048	18.3	10.0		SO:0001217, UniRef:UniRef50_A0A1X8WEJ7, UniRef:UniRef50_A0A447TMR4, UniRef:UniRef90_A0A1X8WEJ7
contig_42	16033	16638	-	IKCLMC_00082	22.8	11.8		SO:0001217, UniRef:UniRef50_A0A455S1S3, UniRef:UniRef90_A0A455S1S3
contig_42	17344	17679	-	IKCLMC_00084	12.5	11.1		
contig_45	8179	8472	+	IKCLMC_00164	10.4	4.1		RefSeq:WP_000447770.1, SO:0001217, UniParc:UPI00016BFFD8, UniRef:UniRef100_A0A5Y3Q3P3, UniRef:UniRef50_A0A5Y3Q3P3, UniRef:UniRef90_A0A5Y3Q3P3
contig_45	22051	22203	+	IKCLMC_00175	6.0	10.0		
contig_45	22291	22452	+	IKCLMC_00176	6.4	10.8		RefSeq:WP_001533593.1, SO:0001217, UniParc:UPI00016C015A, UniRef:UniRef100_UPI00016C015A, UniRef:UniRef50_A0A7M2QP59, UniRef:UniRef90_UPI00016C015A
contig_45	27754	27894	+	IKCLMC_00186	5.1	6.5		SO:0001217, UniRef:UniRef50_A0A757YDA3, UniRef:UniRef90_A0A757YDA3
contig_45	27899	28171	+	IKCLMC_00187	10.0	9.7		SO:0001217, UniRef:UniRef50_A0A7M2QP49, UniRef:UniRef90_A0A5Y3Q0M2
contig_46	9545	9763	+	IKCLMC_00200	7.8	8.0		RefSeq:WP_000690098.1, SO:0001217, UniParc:UPI000169F9E5, UniRef:UniRef100_A0A5U3I4D7, UniRef:UniRef50_A0A5U3I4D7, UniRef:UniRef90_A0A5U3I4D7
contig_46	21300	22067	+	IKCLMC_00216	28.4	11.0		SO:0001217, UniRef:UniRef50_G5NB30, UniRef:UniRef90_G5NB30
contig_46	28416	29021	-	IKCLMC_00224	22.8	11.8		SO:0001217, UniRef:UniRef50_A0A455S1S3, UniRef:UniRef90_A0A455S1S3
contig_46	29727	30062	-	IKCLMC_00226	12.5	11.1		
contig_47	18004	18141	+	IKCLMC_00245	5.4	6.1		RefSeq:WP_001654077.1, SO:0001217, UniParc:UPI00016A1850, UniRef:UniRef100_A0A6C8GV10, UniRef:UniRef50_A0A0T9RRV5, UniRef:UniRef90_A0A6C8GV10
contig_48	1258	1560	+	IKCLMC_00257	11.5	7.9		SO:0001217, UniParc:UPI0005E15930, UniRef:UniRef100_A0A655CIA8, UniRef:UniRef50_A0A655CIA8, UniRef:UniRef90_A0A655CIA8
contig_48	1615	1833	+	IKCLMC_00258	7.9	9.2		SO:0001217, UniParc:UPI000317DDA2, UniRef:UniRef100_A0A655BWI9, UniRef:UniRef50_A0A655BWI9, UniRef:UniRef90_A0A655BWI9
contig_48	33218	33823	-	IKCLMC_00311	22.8	11.8		SO:0001217, UniRef:UniRef50_A0A455S1S3, UniRef:UniRef90_A0A455S1S3
contig_48	34529	34864	-	IKCLMC_00313	12.5	11.1		
contig_49	15	266	+	IKCLMC_00314	9.2	8.6		
contig_49	259	588	+	IKCLMC_00315	12.8	4.6		RefSeq:WP_001281794.1, SO:0001217, UniParc:UPI00016C0AC8, UniRef:UniRef100_A0A637BJM9, UniRef:UniRef50_A0A637BJM9, UniRef:UniRef90_A0A637BJM9
contig_49	6053	6352	+	IKCLMC_00321	11.4	10.3		
contig_49	7053	7259	+	IKCLMC_00323	7.6	9.3		RefSeq:WP_000968892.1, SO:0001217, UniParc:UPI00017E180C, UniRef:UniRef100_A0A637BI02, UniRef:UniRef50_A0A5Y3PZV3, UniRef:UniRef90_A0A5Y3PZV3
contig_49	7283	8353	+	IKCLMC_00324	42.5	9.2		RefSeq:WP_001533532.1, SO:0001217, UniParc:UPI00017E180D, UniRef:UniRef100_A0A5Y3Q0J4, UniRef:UniRef50_A0A5Y3Q0J4, UniRef:UniRef90_A0A5Y3Q0J4
contig_49	9995	10153	+	IKCLMC_00328	5.8	9.4		RefSeq:WP_001252573.1, SO:0001217, UniParc:UPI00016C0BFB, UniRef:UniRef100_A0A8F6SD58, UniRef:UniRef50_A0A7M2QNJ6, UniRef:UniRef90_A0A8F6SD58
contig_49	11321	11632	+	IKCLMC_00331	12.3	9.6		RefSeq:WP_000934524.1, SO:0001217, UniParc:UPI00016C0BFE, UniRef:UniRef100_A0A627LV28, UniRef:UniRef50_A0A5Y3PYH4, UniRef:UniRef90_A0A5Y3PYH4
contig_49	29689	30471	+	IKCLMC_00350	26.9	4.4		RefSeq:WP_000890192.1, SO:0001217, UniParc:UPI00016C0D37, UniRef:UniRef100_A0A617ZYE8, UniRef:UniRef50_A0A6L7C9H5, UniRef:UniRef90_A0A5Y3Q865
contig_49	40978	41208	-	IKCLMC_00362	8.8	4.6		RefSeq:WP_000653832.1, SO:0001217, UniParc:UPI00016C0D43, UniRef:UniRef100_A0A616RQJ5, UniRef:UniRef50_A0A5Y3PZR9, UniRef:UniRef90_A0A616RQJ5
contig_50	10490	10615	-	IKCLMC_00392	4.6	9.0		SO:0001217, UniParc:UPI0001603F11, UniRef:UniRef100_A0A659JTK8, UniRef:UniRef50_A0A659JTK8, UniRef:UniRef90_A0A659JTK8
contig_54	49359	49583	+	IKCLMC_00833	8.3	4.5		RefSeq:WP_000528422.1, SO:0001217, UniParc:UPI00016A1F05, UniRef:UniRef100_A0A603BX06, UniRef:UniRef50_G5NAS5, UniRef:UniRef90_A0A603BX06
contig_54	108290	108469	+	IKCLMC_00894	6.7	5.4		RefSeq:WP_024133274.1, SO:0001217, UniParc:UPI0003EB27D4, UniRef:UniRef100_A0A617K4Y2, UniRef:UniRef50_A0A5Y3Q0T3, UniRef:UniRef90_A0A5Y3Q0T3
contig_54	108414	108602	-	IKCLMC_00895	7.1	8.1		RefSeq:WP_000783772.1, SO:0001217, UniParc:UPI00016BFFBC, UniRef:UniRef100_A0A5V8ULM6, UniRef:UniRef50_A0A379S432, UniRef:UniRef90_A0A379S432
contig_54	116868	117086	+	IKCLMC_00917	7.9	6.9		RefSeq:WP_000690097.1, SO:0001217, UniParc:UPI00016C013A, UniRef:UniRef100_A0A3Y1DC41, UniRef:UniRef50_A0A5U3I4D7, UniRef:UniRef90_A0A5U3I4D7
contig_54	118843	118941	+	IKCLMC_00921	3.9	8.3		
contig_54	142485	142643	-	IKCLMC_00950	5.8	10.0		SO:0001217, UniParc:UPI00016A06A8, UniRef:UniRef100_A0A8E6I4I8, UniRef:UniRef50_A0A447JJD1, UniRef:UniRef90_A0A447JJD1
contig_54	149805	150011	-	IKCLMC_00959	8.1	9.5		RefSeq:WP_000787625.1, SO:0001217, UniParc:UPI00016A2425, UniRef:UniRef100_A0A5T7T904, UniRef:UniRef50_V7IU88, UniRef:UniRef90_A0A3Y9SFP6
contig_55	25388	25510	+	IKCLMC_01010	4.2	9.2		SO:0001217, UniParc:UPI000169ECF5, UniRef:UniRef100_A0A455RZ21, UniRef:UniRef50_B5F1L8, UniRef:UniRef90_B5F1L8
contig_56	16028	16633	-	IKCLMC_01180	22.8	11.8		SO:0001217, UniParc:UPI0001BD0EB3, UniRef:UniRef100_A0A455S1S3, UniRef:UniRef50_A0A455S1S3, UniRef:UniRef90_A0A455S1S3
contig_56	81710	81886	-	IKCLMC_01242	6.5	10.9		SO:0001217, UniParc:UPI00076BA522, UniRef:UniRef100_A0A7D8IRU1, UniRef:UniRef50_A0A4Z0LFH4, UniRef:UniRef90_A0A4Z0LFH4
contig_56	208529	208891	-	IKCLMC_01342	13.2	8.6		
contig_57	158943	159410	-	IKCLMC_01514	17.0	10.8		SO:0001217, UniParc:UPI00016C0131, UniRef:UniRef100_A0A3V9X356, UniRef:UniRef50_A0A379R0I2, UniRef:UniRef90_A0A265B913
