#Annotated with Bakta v1.12.0, https://github.com/oschwengers/bakta
#Database v6.0, https://doi.org/10.5281/zenodo.4247252
#Sequence Id	Start	Stop	Strand	Locus Tag	Mol Weight [kDa]	Iso El. Point	Pfam hits	Dbxrefs
contig_1	249	617	+	PKJKAM_00001	13.7	11.1		
contig_2	256	774	+	PKJKAM_00002	19.6	9.1		RefSeq:WP_000116157.1, SO:0001217, UniParc:UPI00016C1835, UniRef:UniRef100_UPI003467A2B0, UniRef:UniRef50_A0A376JUL7, UniRef:UniRef90_A0A8T3UQF6
contig_4	496	720	-	PKJKAM_00005	8.4	4.5		RefSeq:WP_000528431.1, SO:0001217, UniParc:UPI00016C1834, UniRef:UniRef100_A0A5Z2TPJ8, UniRef:UniRef50_G5NAS5, UniRef:UniRef90_G5NAS5
contig_7	460	855	-	PKJKAM_00009	15.2	8.6		SO:0001217, UniParc:UPI000230A96B, UniRef:UniRef100_A0A5X0QX06, UniRef:UniRef50_A0A5X0QX06, UniRef:UniRef90_A0A5X0QX06
contig_11	526	879	+	PKJKAM_00015	13.1	9.2		SO:0001217, UniParc:UPI0003FDCBCC, UniRef:UniRef100_A0A447JQS0, UniRef:UniRef50_G5QXK3, UniRef:UniRef90_G5QXK3
contig_25	924	1199	+	PKJKAM_00054	10.6	11.6		RefSeq:WP_258232230.1, SO:0001217, UniParc:UPI000438201A, UniRef:UniRef100_A0A655E879, UniRef:UniRef50_A0A8B4CGH8, UniRef:UniRef90_A0A655E879
contig_25	3328	3435	-	PKJKAM_00057	4.2	9.3		SO:0001217, UniRef:UniRef50_A0A447TZS5, UniRef:UniRef50_V1GYW1, UniRef:UniRef90_A0A447TZS5, UniRef:UniRef90_A0A7D8IJY8
contig_26	205	411	+	PKJKAM_00061	7.8	6.0		SO:0001217, UniRef:UniRef50_A0A379UMT4, UniRef:UniRef90_A0A379UMT4
contig_28	7610	7990	-	PKJKAM_00107	14.0	7.6		SO:0001217, UniParc:UPI0001603CD5, UniRef:UniRef100_A0A8D4YQT8, UniRef:UniRef50_A0A0H2VCZ3, UniRef:UniRef90_A0A0H2VCZ3
contig_33	4686	4967	+	PKJKAM_00230	11.1	4.6		SO:0001217, UniParc:UPI0002EA79AB, UniRef:UniRef100_A0A1X8WCV5, UniRef:UniRef50_A0A379S3M9, UniRef:UniRef90_A0A379S3M9
contig_33	40251	40484	-	PKJKAM_00276	8.7	5.0		RefSeq:WP_065304563.1, SO:0001217, UniParc:UPI000806497D, UniRef:UniRef100_A0A5W3W8E4, UniRef:UniRef50_A0A6D2GB82, UniRef:UniRef90_A0A6D2GB82
contig_34	61	387	+	PKJKAM_00277	12.0	9.3		
contig_36	39362	39487	+	PKJKAM_00426	4.6	9.0		SO:0001217, UniParc:UPI0001603F11, UniRef:UniRef100_A0A659JTK8, UniRef:UniRef50_A0A659JTK8, UniRef:UniRef90_A0A659JTK8
contig_36	63444	64082	-	PKJKAM_00455	22.3	10.8		SO:0001217, UniRef:UniRef50_A0A515HKK3
contig_37	41694	41900	+	PKJKAM_00508	8.1	9.5		RefSeq:WP_000787626.1, SO:0001217, UniParc:UPI00016C2269, UniRef:UniRef100_A0A3V2VXR8, UniRef:UniRef50_V7IU88, UniRef:UniRef90_A0A4Z8YTD0
contig_38	55104	55292	+	PKJKAM_00617	7.1	5.8		SO:0001217, UniRef:UniRef50_A0A5V8FPE5, UniRef:UniRef90_A0A379VSB1
contig_38	110314	110472	+	PKJKAM_00677	5.8	6.1		SO:0001217, UniParc:UPI00016C1FDE, UniRef:UniRef100_A0A731UNF3, UniRef:UniRef50_A0A379XT47, UniRef:UniRef90_A0A749FB01
contig_38	111575	111934	-	PKJKAM_00679	12.8	6.0		
contig_39	84323	84424	+	PKJKAM_00757	3.8	4.7		
contig_39	116531	117394	-	PKJKAM_00787	30.4	4.7	PF00091.31|Tubulin, PF12327.13|FtsZ_C	PFAM:PF00091.31, PFAM:PF12327.13
contig_40	115984	116199	-	PKJKAM_00911	8.6	8.5		SO:0001217, UniParc:UPI00016C2394, UniRef:UniRef100_A0A3V2VXZ0, UniRef:UniRef50_A0A4Z0P2U0, UniRef:UniRef90_A0A4Z0P2U0
contig_44	103432	103533	+	PKJKAM_01729	3.7	6.5		SO:0001217, UniParc:UPI000169FC40, UniRef:UniRef100_A0A6C8GI00, UniRef:UniRef50_G5R666, UniRef:UniRef90_G5R666
