#Annotated with Bakta v1.12.0, https://github.com/oschwengers/bakta
#Database v6.0, https://doi.org/10.5281/zenodo.4247252
#Sequence Id	Start	Stop	Strand	Locus Tag	Mol Weight [kDa]	Iso El. Point	Pfam hits	Dbxrefs
contig_1	115765	115860	-	GEGEGB_00106	3.4	8.0		
contig_1	364426	364605	-	GEGEGB_00347	6.5	10.9		SO:0001217, UniParc:UPI0005E72E8F, UniRef:UniRef100_A0A2T8LZ05, UniRef:UniRef50_A0A4Z0LFH4, UniRef:UniRef90_A0A4Z0LFH4
contig_1	447615	447746	+	GEGEGB_00412	4.9	4.5		
contig_1	537647	537742	-	GEGEGB_00504	3.7	6.0		SO:0001217, UniParc:UPI00024F1C1E, UniRef:UniRef100_A0A455S3T8, UniRef:UniRef50_A0A3S4H9S7, UniRef:UniRef90_A0A3S4H9S7
contig_1	539929	540084	+	GEGEGB_00507	5.7	9.7		
contig_1	739503	739616	+	GEGEGB_00700	4.2	4.1		SO:0001217, UniParc:UPI0005E6C374, UniRef:UniRef100_A0A2X5B4D3, UniRef:UniRef50_A0A2X5B4D3, UniRef:UniRef90_A0A2X5B4D3
contig_1	810444	810746	+	GEGEGB_00772	11.9	7.8		RefSeq:WP_000873936.1, SO:0001217, UniParc:UPI0000059C0D, UniRef:UniRef100_A0A725VJ44, UniRef:UniRef50_A0A6C8GAN9, UniRef:UniRef90_A0A6C8GAN9
contig_1	811451	812143	+	GEGEGB_00774	26.8	8.9		RefSeq:WP_000913131.1, SO:0001217, UniParc:UPI000190C1E8, UniRef:UniRef100_Q8Z5E1, UniRef:UniRef50_Q8Z5E1, UniRef:UniRef90_Q8Z5E1
contig_1	958089	958400	+	GEGEGB_00923	12.4	7.8		RefSeq:WP_000837630.1, SO:0001217, UniParc:UPI0001910BE3, UniRef:UniRef100_A0A3Y2BAW1, UniRef:UniRef50_A0A485X3Q0, UniRef:UniRef90_A0A485X3Q0
contig_1	958415	958801	+	GEGEGB_00924	15.1	4.8		RefSeq:WP_015606140.1, SO:0001217, UniParc:UPI0002D43198, UniRef:UniRef100_A0A3Y3XMA5, UniRef:UniRef50_A0A0J1NE76, UniRef:UniRef90_A0A7B6SY88
contig_1	958818	959105	+	GEGEGB_00925	11.3	7.8		RefSeq:WP_001291071.1, SO:0001217, UniParc:UPI000190CA1F, UniRef:UniRef100_A0A3U2R996, UniRef:UniRef50_A0A2X3D831, UniRef:UniRef90_A0A8K0V6D1
contig_1	959597	959992	+	GEGEGB_00927	15.4	5.1		RefSeq:WP_001000809.1, SO:0001217, UniParc:UPI000191032D, UniRef:UniRef100_A0A6N8MCK5, UniRef:UniRef50_A0A6N8MCK5, UniRef:UniRef90_A0A6N8MCK5
contig_1	960089	960382	-	GEGEGB_00928	11.7	7.8		RefSeq:WP_000129503.1, SO:0001217, UniParc:UPI00024C08FC, UniRef:UniRef100_A0AAE9RIF4, UniRef:UniRef50_A0A2V4GMB8, UniRef:UniRef90_A0AAE9RIF4
contig_1	965065	965574	+	GEGEGB_00931	20.3	9.9		RefSeq:WP_000444413.1, SO:0001217, UniParc:UPI00018872CD, UniRef:UniRef100_A0A9Q5XLN2, UniRef:UniRef50_A0A1X3JFI1, UniRef:UniRef90_A0A1X3JFI1
contig_1	968796	969110	+	GEGEGB_00935	12.3	7.7		RefSeq:WP_001019842.1, SO:0001217, UniParc:UPI0001910CEB, UniRef:UniRef100_A0A3Y0J0L8, UniRef:UniRef50_A0A3Y0J0L8, UniRef:UniRef90_A0A3Y0J0L8
contig_1	1097911	1098138	+	GEGEGB_01079	8.8	6.9		SO:0001217, UniRef:UniRef50_A0AAE9C7H0, UniRef:UniRef90_UPI001C632AD9
contig_1	1103075	1103188	+	GEGEGB_01085	4.4	11.4		
contig_1	1198892	1199020	+	GEGEGB_01190	4.6	4.2		SO:0001217, UniParc:UPI0000059D71, UniRef:UniRef100_Q8Z6B1, UniRef:UniRef50_Q8Z6B1, UniRef:UniRef90_Q8Z6B1
contig_1	1256135	1256350	+	GEGEGB_01259	8.5	8.5		RefSeq:WP_012218869.1, SO:0001217, UniParc:UPI00016040FD, UniRef:UniRef100_A0A3T3EM71, UniRef:UniRef50_A0A4Z0P2U0, UniRef:UniRef90_A0A4Z0P2U0
contig_1	1279934	1280062	-	GEGEGB_01286	5.1	8.0		SO:0001217, UniRef:UniRef50_M7S6C2, UniRef:UniRef90_A0A8D5DVH7
contig_1	1413722	1413988	+	GEGEGB_01430	9.4	4.5		SO:0001217, UniRef:UniRef50_A0A376FN64, UniRef:UniRef90_A0A376FN64
