#Annotated with Bakta v1.12.0, https://github.com/oschwengers/bakta
#Database v6.0, https://doi.org/10.5281/zenodo.4247252
#Sequence Id	Start	Stop	Strand	Locus Tag	Mol Weight [kDa]	Iso El. Point	Pfam hits	Dbxrefs
contig_2	863	1243	-	ALJMDI_00004	14.6	7.8		SO:0001217, UniRef:UniRef50_A0AAX3J1X7
contig_5	250	564	+	ALJMDI_00028	12.0	6.2		
contig_7	18671	18808	+	ALJMDI_00083	5.4	9.1		
contig_8	103454	103555	+	ALJMDI_00191	3.7	6.5		SO:0001217, UniParc:UPI000169FC40, UniRef:UniRef100_A0A6C8GI00, UniRef:UniRef50_G5R666, UniRef:UniRef90_G5R666
contig_9	24970	25092	-	ALJMDI_00220	4.6	6.7		RefSeq:WP_001713164.1, SO:0001217, UniParc:UPI00016C138F, UniRef:UniRef100_A0A5U7IQZ6, UniRef:UniRef50_A0A5U7IQZ6, UniRef:UniRef90_A0A5U7IQZ6
contig_9	25693	25851	+	ALJMDI_00221	5.7	9.7		SO:0001217, UniParc:UPI000169F558, UniRef:UniRef100_A0A447JJD1, UniRef:UniRef50_A0A447JJD1, UniRef:UniRef90_A0A447JJD1
contig_9	76744	76938	+	ALJMDI_00277	6.9	8.1		SO:0001217, UniParc:UPI000DA3E774, UniRef:UniRef100_A0A3S4FJE3, UniRef:UniRef50_A0A3S4FJE3, UniRef:UniRef90_A0A3S4FJE3
contig_10	112391	112615	+	ALJMDI_00465	8.4	4.5		RefSeq:WP_000528428.1, SO:0001217, UniParc:UPI00004F7B09, UniRef:UniRef100_A0A730PM53, UniRef:UniRef50_G5NAS5, UniRef:UniRef90_G5NAS5
contig_11	68031	68135	+	ALJMDI_00635	3.8	8.5		SO:0001217, UniParc:UPI000169F61A, UniRef:UniRef100_A0A1X8WAK3, UniRef:UniRef50_V1H4Y4, UniRef:UniRef90_A0A379SBK8
contig_11	91878	92036	+	ALJMDI_00663	5.6	6.7		SO:0001217, UniParc:UPI0001604591, UniRef:UniRef100_A0A455RWW1, UniRef:UniRef50_A0A455RWW1, UniRef:UniRef90_A0A455RWW1
contig_11	157470	157568	+	ALJMDI_00727	3.8	5.3		SO:0001217, UniParc:UPI00065C2C17, UniRef:UniRef100_A0A379VU92, UniRef:UniRef50_A0A379VU92, UniRef:UniRef90_A0A379VU92
contig_11	217575	217724	+	ALJMDI_00791	5.7	8.7		SO:0001217, UniRef:UniRef50_A0A0F6AYJ1, UniRef:UniRef90_A0A0F6AYJ1
contig_12	14964	15338	-	ALJMDI_00810	14.3	6.1		RefSeq:WP_000937045.1, SO:0001217, UniParc:UPI00016A2376, UniRef:UniRef100_A0A603NC97, UniRef:UniRef50_A0A5Y6ERN7, UniRef:UniRef90_A0A5Y6ERN7
contig_13	49624	49749	+	ALJMDI_01085	4.6	9.0		SO:0001217, UniParc:UPI0001603F11, UniRef:UniRef100_A0A659JTK8, UniRef:UniRef50_A0A659JTK8, UniRef:UniRef90_A0A659JTK8
contig_13	80202	80570	-	ALJMDI_01122	14.6	8.9		SO:0001217, UniRef:UniRef50_UPI0024A83911, UniRef:UniRef90_UPI001BAEF111
contig_13	81560	81724	-	ALJMDI_01125	6.4	9.7		RefSeq:WP_023139965.1, SO:0001217, UniParc:UPI00016BE1CF, UniRef:UniRef100_A0A734G1V3, UniRef:UniRef50_A0A759SLP6, UniRef:UniRef90_A0A759SLP6
contig_13	302091	302282	-	ALJMDI_01333	7.6	5.2		RefSeq:WP_000744510.1, SO:0001217, UniParc:UPI00016A1E93, UniRef:UniRef100_A0A603N887, UniRef:UniRef50_A9ML91, UniRef:UniRef90_A9ML91
contig_14	64066	64476	+	ALJMDI_01434	16.1	5.2		RefSeq:WP_023140015.1, SO:0001217, UniParc:UPI00016BE6C4, UniRef:UniRef100_A0A5Z0IMR0, UniRef:UniRef50_A0A1C4EF45, UniRef:UniRef90_A0A5Z0IMR0
contig_14	64711	65175	+	ALJMDI_01436	18.9	9.3		RefSeq:WP_001528534.1, SO:0001217, UniParc:UPI00016BE6C2, UniRef:UniRef100_A0A620AHX2, UniRef:UniRef50_A0A1C4EF54, UniRef:UniRef90_A0A620AHX2
contig_14	239411	239590	-	ALJMDI_01616	6.5	10.6		SO:0001217, UniParc:UPI000408BED3, UniRef:UniRef100_A0A4Z0LFH4, UniRef:UniRef50_A0A4Z0LFH4, UniRef:UniRef90_A0A4Z0LFH4
contig_15	13398	14261	-	ALJMDI_01757	32.3	6.8	PF01276.26|OKR_DC_1	PFAM:PF01276.26
contig_15	15005	15106	+	ALJMDI_01758	4.0	6.0		
contig_15	411851	411946	+	ALJMDI_02134	3.7	6.0		SO:0001217, UniParc:UPI0003D399C3, UniRef:UniRef100_A0A3S4F0K8, UniRef:UniRef50_A0A3S4H9S7, UniRef:UniRef90_A0A3S4H9S7
contig_16	116555	116716	+	ALJMDI_02273	6.0	6.7		RefSeq:WP_000343619.1, SO:0001217, UniParc:UPI000169F532, UniRef:UniRef100_A0A736GZV6, UniRef:UniRef50_Q57I57, UniRef:UniRef90_Q57I57
contig_16	132643	132798	-	ALJMDI_02291	6.0	6.5		
contig_16	146771	146869	+	ALJMDI_02306	3.7	9.5		
contig_16	255257	255625	-	ALJMDI_02409	14.5	6.4		SO:0001217, UniParc:UPI00016BE709, UniRef:UniRef100_A0A3V7PFY0, UniRef:UniRef50_A0A3V7PFY0, UniRef:UniRef90_A0A3V7PFY0
contig_17	153619	153741	-	ALJMDI_02749	4.7	10.6		SO:0001217, UniParc:UPI0002F95355, UniRef:UniRef100_A0A379WN91, UniRef:UniRef50_A0A379Q4Z4, UniRef:UniRef90_A0A379Q4Z4
contig_18	38825	39040	+	ALJMDI_03115	8.5	8.5		SO:0001217, UniParc:UPI000169EDA3, UniRef:UniRef100_A0A3U8IRP6, UniRef:UniRef50_A0A4Z0P2U0, UniRef:UniRef90_A0A4Z0P2U0
contig_18	349455	349559	-	ALJMDI_03423	3.9	4.7		SO:0001217, UniRef:UniRef50_A0A0F6B1M4
contig_18	386210	386305	-	ALJMDI_03459	3.4	5.9		SO:0001217, UniParc:UPI000169FA75, UniRef:UniRef100_A0A379UR63, UniRef:UniRef50_A0A3S4GLI1, UniRef:UniRef90_A0A379W8A9
contig_18	444447	444611	+	ALJMDI_03518	6.3	7.9		
contig_19	154977	155123	+	ALJMDI_03768	5.3	5.9		RefSeq:WP_001112365.1, SO:0001217, UniParc:UPI000169FE2C, UniRef:UniRef100_A0A734G3Q6, UniRef:UniRef50_A0A763VRZ2, UniRef:UniRef90_A0A753QBR2
contig_19	206117	206353	+	ALJMDI_03819	8.9	7.8		SO:0001217, UniParc:UPI00016BE4F6, UniRef:UniRef100_A0A760WU58, UniRef:UniRef50_A0A763MNK1, UniRef:UniRef90_A0A763MNK1
contig_19	309607	309756	-	ALJMDI_03932	5.4	9.9		SO:0001217, UniParc:UPI00076BA4EA, UniRef:UniRef100_A0A3S4G019, UniRef:UniRef50_A0A3S4G019, UniRef:UniRef90_A0A3S4G019
contig_19	309909	310016	-	ALJMDI_03933	4.1	9.7		SO:0001217, UniParc:UPI0005D84673, UniRef:UniRef100_A0A455RY24, UniRef:UniRef50_A0A0J1LPK6, UniRef:UniRef90_A0A3S4G6C7
contig_19	347226	347369	+	ALJMDI_03970	5.6	9.3		RefSeq:WP_001527374.1, SO:0001217, UniParc:UPI0001812B8E, UniRef:UniRef100_A0A761P9R8, UniRef:UniRef50_A0A731UYA7, UniRef:UniRef90_A0A731UYA7
contig_19	385262	385369	+	ALJMDI_04011	4.2	4.5		SO:0001217, UniParc:UPI00065C284A, UniRef:UniRef100_A0A2X5BPJ9, UniRef:UniRef50_A0A2X4TXI3, UniRef:UniRef90_A0A2X5BPJ9
