#Annotated with Bakta v1.12.0, https://github.com/oschwengers/bakta
#Database v6.0, https://doi.org/10.5281/zenodo.4247252
#Sequence Id	Start	Stop	Strand	Locus Tag	Mol Weight [kDa]	Iso El. Point	Pfam hits	Dbxrefs
contig_1	14681	14821	-	BEJGEH_00015	5.3	10.7		RefSeq:WP_186791146.1, SO:0001217, UniParc:UPI0003E4F726, UniRef:UniRef100_A0A2X5CBS9, UniRef:UniRef50_A0A2X5CBS9, UniRef:UniRef90_A0A2X5CBS9
contig_1	74949	75083	-	BEJGEH_00068	5.1	9.4		SO:0001217, UniRef:UniRef50_M7RZ83, UniRef:UniRef90_M7RZ83
contig_1	115435	115731	-	BEJGEH_00102	11.6	10.9		
contig_1	238293	238637	+	BEJGEH_00215	13.3	10.0		RefSeq:WP_137915687.1, SO:0001217, UniParc:UPI0003A05BA4, UniRef:UniRef100_A0A5Z2WAD9, UniRef:UniRef50_A0A379WZM7, UniRef:UniRef90_A0A379WZM7
contig_1	318429	318860	+	BEJGEH_00298	17.0	8.5		RefSeq:WP_000778606.1, SO:0001217, UniParc:UPI00016BE9B1, UniRef:UniRef100_A0A5X8JWW3, UniRef:UniRef50_A0A348DFM6, UniRef:UniRef90_A0A5X8JWW3
contig_1	320210	320509	+	BEJGEH_00301	11.9	8.5		SO:0001217, UniParc:UPI00016BE9B4, UniRef:UniRef100_A0A3R0S9T3, UniRef:UniRef50_A0A3R0S9T3, UniRef:UniRef90_A0A3R0S9T3
contig_1	321714	321872	+	BEJGEH_00304	6.0	9.2		SO:0001217, UniParc:UPI00017A8B92, UniRef:UniRef100_A0A8D4YI65, UniRef:UniRef50_A0A379NPS0, UniRef:UniRef90_A0A379VW97
contig_1	522619	522939	+	BEJGEH_00493	11.0	4.6		
contig_1	552406	552510	+	BEJGEH_00522	3.8	8.5		SO:0001217, UniParc:UPI000169F61A, UniRef:UniRef100_A0A1X8WAK3, UniRef:UniRef50_V1H4Y4, UniRef:UniRef90_A0A379SBK8
contig_1	597435	597593	+	BEJGEH_00569	5.6	6.7		SO:0001217, UniParc:UPI0001604591, UniRef:UniRef100_A0A455RWW1, UniRef:UniRef50_A0A455RWW1, UniRef:UniRef90_A0A455RWW1
contig_1	663041	663139	+	BEJGEH_00634	3.8	5.3		SO:0001217, UniParc:UPI00065C2C17, UniRef:UniRef100_A0A379VU92, UniRef:UniRef50_A0A379VU92, UniRef:UniRef90_A0A379VU92
contig_1	772086	772211	+	BEJGEH_00740	4.6	9.0		SO:0001217, UniParc:UPI0001603F11, UniRef:UniRef100_A0A659JTK8, UniRef:UniRef50_A0A659JTK8, UniRef:UniRef90_A0A659JTK8
contig_1	939052	939408	-	BEJGEH_00903	14.1	11.1		
contig_1	1088207	1088296	-	BEJGEH_01034	3.5	5.0		SO:0001217, UniParc:UPI0003BB238A, UniRef:UniRef100_M7RK72, UniRef:UniRef50_M7RK72, UniRef:UniRef90_M7RK72
contig_1	1090219	1090458	+	BEJGEH_01039	8.8	9.2		RefSeq:WP_153274191.1, SO:0001217, UniParc:UPI001293694E, UniRef:UniRef100_A0A756TGX3, UniRef:UniRef50_A0A756TGX3, UniRef:UniRef90_A0A756TGX3
contig_1	1124917	1125294	+	BEJGEH_01068	14.5	5.4		RefSeq:WP_001747705.1, SO:0001217, UniParc:UPI00016BF3A9, UniRef:UniRef100_A0A3T3XUF6, UniRef:UniRef50_A0A5Y7AG89, UniRef:UniRef90_A0A3Y5P5X8
contig_1	1242795	1242896	-	BEJGEH_01201	3.7	4.3		SO:0001217, UniParc:UPI00024F1CDE, UniRef:UniRef100_A0A379VRP1, UniRef:UniRef50_A0A379VRP1, UniRef:UniRef90_A0A379VRP1
contig_1	1262059	1262166	+	BEJGEH_01223	4.2	9.6		SO:0001217, UniParc:UPI0001604483, UniRef:UniRef100_A0A455RYX3, UniRef:UniRef50_A0A455RYX3, UniRef:UniRef90_A0A455RYX3
contig_1	1393173	1393325	-	BEJGEH_01352	5.7	9.4		SO:0001217, UniRef:UniRef50_A0A447U2B1, UniRef:UniRef50_A0A5Z7IP03, UniRef:UniRef90_A0A5Z7IP03
contig_1	1478630	1478725	+	BEJGEH_01434	3.5	5.9		SO:0001217, UniParc:UPI00016040E5, UniRef:UniRef100_A0A455RUE4, UniRef:UniRef50_A0A3S4GLI1, UniRef:UniRef90_A0A379W8A9
contig_1	1587190	1587579	+	BEJGEH_01530	14.5	5.5		RefSeq:WP_001044696.1, SO:0001217, UniParc:UPI000169F2C7, UniRef:UniRef100_A0A3V2ZPM1, UniRef:UniRef50_A0A0M2K5G5, UniRef:UniRef90_A0A0M2K5G5
contig_1	1588066	1588170	+	BEJGEH_01532	3.7	10.4		SO:0001217, UniParc:UPI00065C2319, UniRef:UniRef100_A0A7D8EKG8, UniRef:UniRef50_A0A379WUP6, UniRef:UniRef50_A0A7D8EKG8, UniRef:UniRef90_A0A379WUP6, UniRef:UniRef90_A0A7D8EKG8
contig_1	1824807	1825022	-	BEJGEH_01780	8.5	8.5		SO:0001217, UniParc:UPI00016BEB4E, UniRef:UniRef100_A0A3V7WFX0, UniRef:UniRef50_A0A4Z0P2U0, UniRef:UniRef90_A0A4Z0P2U0
contig_1	1882501	1882758	+	BEJGEH_01847	9.7	7.7		SO:0001217, UniRef:UniRef50_A9MG64
contig_1	1885596	1885802	+	BEJGEH_01852	8.1	9.7		RefSeq:WP_000787631.1, SO:0001217, UniParc:UPI00016BE86C, UniRef:UniRef100_A0A5Y4V9J2, UniRef:UniRef50_V7IU88, UniRef:UniRef90_A0A4Z8YTD0
contig_1	1989810	1990163	-	BEJGEH_01963	13.0	8.9		SO:0001217, UniRef:UniRef50_G5QXK3, UniRef:UniRef90_G5QXK3
contig_1	2016437	2016532	+	BEJGEH_01994	3.4	4.4		
contig_1	2053206	2053307	+	BEJGEH_02031	4.0	4.9		
contig_1	2193202	2193504	-	BEJGEH_02167	11.9	7.8		RefSeq:WP_000873939.1, SO:0001217, UniParc:UPI000048EB3D, UniRef:UniRef100_A0A5H9IBS5, UniRef:UniRef50_A0A6C8GAN9, UniRef:UniRef90_A0A6C8GAN9
contig_1	2264332	2264445	-	BEJGEH_02236	4.2	4.1		SO:0001217, UniParc:UPI0005E6C374, UniRef:UniRef100_A0A2X5B4D3, UniRef:UniRef50_A0A2X5B4D3, UniRef:UniRef90_A0A2X5B4D3
contig_1	2273013	2273120	-	BEJGEH_02244	4.2	9.3		SO:0001217, UniParc:UPI0001603F93, UniRef:UniRef100_A0A5Y0MR90, UniRef:UniRef50_A0A447TZS5, UniRef:UniRef50_A0A5Y0MR90, UniRef:UniRef90_A0A447TZS5, UniRef:UniRef90_A0A5Y0MR90
contig_1	2447630	2448004	-	BEJGEH_02398	14.5	7.8		RefSeq:WP_001051265.1, SO:0001217, UniParc:UPI00016BF0DD, UniRef:UniRef100_A0A5Y4V733, UniRef:UniRef90_A0A3R0AXF6
contig_1	2468320	2468415	+	BEJGEH_02420	3.7	4.9		SO:0001217, UniParc:UPI000B1D1CF2, UniRef:UniRef100_A0A379Q3Z2, UniRef:UniRef50_A0A3S4H9S7, UniRef:UniRef90_A0A3S4H9S7
contig_1	2636441	2636620	+	BEJGEH_02570	6.5	10.6		SO:0001217, UniParc:UPI000408BED3, UniRef:UniRef100_A0A4Z0LFH4, UniRef:UniRef50_A0A4Z0LFH4, UniRef:UniRef90_A0A4Z0LFH4
