"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","GCF_000007545.1_ASM754v1_genomic","GCF_000020745.1_ASM2074v1_genomic","GCF_000020885.1_ASM2088v1_genomic","GCF_000020925.1_ASM2092v1_genomic","GCF_000022165.1_ASM2216v1_genomic","GCF_000170215.1_ASM17021v1_genomic","GCF_000170255.1_ASM17025v1_genomic","GCF_000171255.1_ASM17125v1_genomic","GCF_000171275.1_ASM17127v1_genomic","GCF_000171315.1_ASM17131v1_genomic","GCF_000171415.1_ASM17141v1_genomic","GCF_000171515.1_ASM17151v1_genomic","GCF_000171535.2_ASM17153v2_genomic"
"DUF1996 domain-containing protein","","DUF1996 domain-containing protein","13","13","1","52","6922","","","","1247","1400","1388","GEGEGB_04455","LNHIMF_04397","BEJGEH_04377","HFCAGB_04549","AJBGEP_04522","ODDLKH_00170","OEKLIE_03464","ALJMDI_03757","PAPNPA_02831","BENMGJ_01487","IKCLMC_01118","PKJKAM_01208","ONMMKP_02477"
"hflK","","FtsH protease activity modulator HflK","13","13","1","52","203","","","","707","1259","1216","GEGEGB_04658","LNHIMF_04459","BEJGEH_04439","HFCAGB_04598","AJBGEP_04574","ODDLKH_00234","OEKLIE_00199","ALJMDI_03810","PAPNPA_02893","BENMGJ_00377","IKCLMC_03448","PKJKAM_01157","ONMMKP_02426"
"DUF2170 domain-containing protein","","DUF2170 domain-containing protein","13","13","1","52","193","","","","404","404","404","GEGEGB_04665","LNHIMF_04466","BEJGEH_04446","HFCAGB_04605","AJBGEP_04581","ODDLKH_00241","OEKLIE_00350","ALJMDI_03817","PAPNPA_02901","BENMGJ_00119","IKCLMC_03441","PKJKAM_01150","ONMMKP_02419"
"PspA/IM30 family protein","","PspA/IM30 family protein","13","13","1","52","192","","","","551","698","685","GEGEGB_04666","LNHIMF_04467","BEJGEH_04447","HFCAGB_04606","AJBGEP_04582","ODDLKH_00242","OEKLIE_00351","ALJMDI_03818","PAPNPA_02902","BENMGJ_00120","IKCLMC_03440","PKJKAM_01149","ONMMKP_02418"
"ulaE","","L-ribulose-5-phosphate 3-epimerase UlaE","13","13","1","52","176","","","","854","854","854","GEGEGB_04682","LNHIMF_04483","BEJGEH_04463","HFCAGB_04622","AJBGEP_04598","ODDLKH_00258","OEKLIE_00367","ALJMDI_03834","PAPNPA_02918","BENMGJ_00136","IKCLMC_03424","PKJKAM_01133","ONMMKP_02402"
"argF","","ornithine carbamoyltransferase","13","13","1","52","104","","","","803","1004","988","GEGEGB_04746","LNHIMF_04542","BEJGEH_04540","HFCAGB_04682","AJBGEP_04677","ODDLKH_00334","OEKLIE_03547","ALJMDI_03893","PAPNPA_01432","BENMGJ_01146","IKCLMC_03365","PKJKAM_02239","ONMMKP_02326"
"group_1019","hypothetical protein","hypothetical protein","13","13","1","52","812","","","Hypothetical protein with no hits to refseq/uniprot/clusters/cdd/tigrfams/pfam overlapping another protein with hits","107","107","107","GEGEGB_04803","LNHIMF_04570","BEJGEH_04611","HFCAGB_04729","AJBGEP_04712","ODDLKH_00372","OEKLIE_03583","ALJMDI_03933","PAPNPA_01471","BENMGJ_01111","IKCLMC_03315","PKJKAM_02209","ONMMKP_02275"
"DUF302 domain-containing protein","","DUF302 domain-containing protein","13","13","1","52","714","","","","368","461","425","GEGEGB_04809","LNHIMF_04577","BEJGEH_04618","HFCAGB_04735","AJBGEP_04721","ODDLKH_00380","OEKLIE_03592","ALJMDI_03940","PAPNPA_01478","BENMGJ_01102","IKCLMC_03309","PKJKAM_02201","ONMMKP_02269"
"group_1021","adhE","Aldehyde dehydrogenase","13","13","1","52","700","","","","1223","1370","1358","GEGEGB_04824","LNHIMF_04592","BEJGEH_04633","HFCAGB_04751","AJBGEP_04736","ODDLKH_00395","OEKLIE_03607","ALJMDI_03955","PAPNPA_01493","BENMGJ_01087","IKCLMC_03294","PKJKAM_02186","ONMMKP_02254"
"DUF1127 domain-containing protein","","DUF1127 domain-containing protein","13","13","1","52","699","","","","164","164","164","GEGEGB_04826","LNHIMF_04593","BEJGEH_04634","HFCAGB_04752","AJBGEP_04737","ODDLKH_00396","OEKLIE_03608","ALJMDI_03956","PAPNPA_01494","BENMGJ_01086","IKCLMC_03293","PKJKAM_02185","ONMMKP_02253"
"Pyruvate formate lyase-activating enzyme","","Pyruvate formate lyase-activating enzyme","13","13","1","52","647","","","","587","863","714","GEGEGB_04866","LNHIMF_04632","BEJGEH_04667","HFCAGB_04804","AJBGEP_04782","ODDLKH_00441","OEKLIE_04551","ALJMDI_03989","PAPNPA_03456","BENMGJ_00763","IKCLMC_03244","PKJKAM_02141","ONMMKP_02216"
"group_1029","Major facilitator superfamily (MFS) profile domain-containing protein","Major facilitator superfamily (MFS) profile domain-containing protein","13","13","1","52","2183","","","","899","1211","1186","GEGEGB_02619","LNHIMF_00409","BEJGEH_00391","HFCAGB_00403","AJBGEP_00401","ODDLKH_00869","OEKLIE_02734","ALJMDI_04382","PAPNPA_01955","BENMGJ_04041","IKCLMC_02143","PKJKAM_03361","ONMMKP_01777"
"mobB","","molybdopterin-guanine dinucleotide biosynthesis protein MobB","13","13","1","52","7936","","","","530","539","530","GEGEGB_03829","LNHIMF_04042","BEJGEH_04048","HFCAGB_04241","AJBGEP_04200","ODDLKH_04448","OEKLIE_00082","ALJMDI_00901","PAPNPA_01238","BENMGJ_01054","IKCLMC_00633","PKJKAM_01491","ONMMKP_02793"
"Secreted chitinase","","Secreted chitinase","13","13","1","52","4782","","","","92","1763","1441","GEGEGB_00251","LNHIMF_00243","BEJGEH_00257","HFCAGB_00247","AJBGEP_00247","ODDLKH_00720","OEKLIE_04833","ALJMDI_04269","PAPNPA_03747","BENMGJ_00279","IKCLMC_02963","PKJKAM_00150","ONMMKP_01929"
"ftsK","","DNA translocase FtsK","13","13","1","52","5197","","","","3953","4115","4059","GEGEGB_02085","LNHIMF_01049","BEJGEH_00918","HFCAGB_01005","AJBGEP_00952","ODDLKH_01417","OEKLIE_00600","ALJMDI_01260","PAPNPA_03426","BENMGJ_04592","IKCLMC_01525","PKJKAM_00971","ONMMKP_01187"
