#                                                                                     --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                 accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#         ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NC_011149.1:4649729-4652584|- -            952 854at91347           -            818         0 1433.5   0.0   1   1         0         0 1432.8   0.0     1   814     1   932     1   935 0.91 NC_011149.1_4311 # 4649729 # 4652584 # -1 # ID=1_4311;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=3-4bp;gc_cont=0.571
NC_011149.1:684405-686987|-   -            861 854at91347           -            818     3e-39  132.7   1.0   1   5   4.6e-24   5.2e-21   72.4   0.1     1   179     1   169     1   178 0.82 NC_011149.1_626 # 684405 # 686987 # -1 # ID=1_626;partial=00;start_type=ATG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.557
NC_011149.1:684405-686987|-   -            861 854at91347           -            818     3e-39  132.7   1.0   2   5   0.00072      0.81    5.6   0.1   152   224   196   266   179   303 0.74 NC_011149.1_626 # 684405 # 686987 # -1 # ID=1_626;partial=00;start_type=ATG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.557
NC_011149.1:684405-686987|-   -            861 854at91347           -            818     3e-39  132.7   1.0   3   5   1.9e-08   2.1e-05   20.8   0.0   231   284   306   359   299   374 0.88 NC_011149.1_626 # 684405 # 686987 # -1 # ID=1_626;partial=00;start_type=ATG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.557
NC_011149.1:684405-686987|-   -            861 854at91347           -            818     3e-39  132.7   1.0   4   5   0.00035      0.39    6.7   0.0   384   402   416   434   412   450 0.84 NC_011149.1_626 # 684405 # 686987 # -1 # ID=1_626;partial=00;start_type=ATG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.557
NC_011149.1:684405-686987|-   -            861 854at91347           -            818     3e-39  132.7   1.0   5   5   1.7e-07    0.0002   17.6   0.0   483   700   548   776   479   808 0.63 NC_011149.1_626 # 684405 # 686987 # -1 # ID=1_626;partial=00;start_type=ATG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.557
NC_011149.1:53852-56686|+     -            945 854at91347           -            818   1.8e-38  130.2   0.0   1   4     4e-15   4.5e-12   42.8   0.0    25   187    45   206    32   284 0.90 NC_011149.1_46 # 53852 # 56686 # 1 # ID=1_46;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.549
NC_011149.1:53852-56686|+     -            945 854at91347           -            818   1.8e-38  130.2   0.0   2   4   7.7e-15   8.7e-12   41.9   0.0   236   434   308   510   304   514 0.77 NC_011149.1_46 # 53852 # 56686 # 1 # ID=1_46;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.549
NC_011149.1:53852-56686|+     -            945 854at91347           -            818   1.8e-38  130.2   0.0   3   4   3.6e-10     4e-07   26.5   0.1   419   529   521   623   507   661 0.79 NC_011149.1_46 # 53852 # 56686 # 1 # ID=1_46;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.549
NC_011149.1:53852-56686|+     -            945 854at91347           -            818   1.8e-38  130.2   0.0   4   4   2.5e-06    0.0028   13.7   0.1   610   698   679   778   623   782 0.83 NC_011149.1_46 # 53852 # 56686 # 1 # ID=1_46;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.549
NC_011149.1:2215328-2217361|+ -            678 854at91347           -            818   0.00043   16.4   0.2   1   3   3.8e-07   0.00043   16.4   0.2    36    79    13    56     2    82 0.84 NC_011149.1_2087 # 2215328 # 2217361 # 1 # ID=1_2087;partial=00;start_type=ATG;rbs_motif=AGxAG;rbs_spacer=11-12bp;gc_cont=0.549
NC_011149.1:2215328-2217361|+ -            678 854at91347           -            818   0.00043   16.4   0.2   2   3     0.094   1.1e+02   -1.4   0.2   373   415   214   267   210   329 0.55 NC_011149.1_2087 # 2215328 # 2217361 # 1 # ID=1_2087;partial=00;start_type=ATG;rbs_motif=AGxAG;rbs_spacer=11-12bp;gc_cont=0.549
NC_011149.1:2215328-2217361|+ -            678 854at91347           -            818   0.00043   16.4   0.2   3   3       0.1   1.2e+02   -1.6   0.0   498   520   322   343   317   366 0.78 NC_011149.1_2087 # 2215328 # 2217361 # 1 # ID=1_2087;partial=00;start_type=ATG;rbs_motif=AGxAG;rbs_spacer=11-12bp;gc_cont=0.549
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /Users/dizzler/Projects/School/BIOL4600-Capstone/databases/lineages/enterobacterales_odb10/hmms/854at91347.hmm
# Target file:     /Users/dizzler/Projects/School/BIOL4600-Capstone/reports/busco-results/GCF_000020885.1_ASM2088v1_genomic.fna/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /Users/dizzler/Projects/School/BIOL4600-Capstone/reports/busco-results/GCF_000020885.1_ASM2088v1_genomic.fna/run_enterobacterales_odb10/hmmer_output/854at91347.out --cpu 1 /Users/dizzler/Projects/School/BIOL4600-Capstone/databases/lineages/enterobacterales_odb10/hmms/854at91347.hmm /Users/dizzler/Projects/School/BIOL4600-Capstone/reports/busco-results/GCF_000020885.1_ASM2088v1_genomic.fna/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /Users/dizzler/Projects/School/BIOL4600-Capstone
# Date:            Wed Feb 25 22:54:28 2026
# [ok]
