#                                                                                     --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                 accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#         ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NC_004631.1:3630613-3631944|+ -            444 22118at91347         -            397  7.8e-234  773.9   8.2   1   1  5.6e-235  3.3e-232  768.6   8.2     1   397     1   443     1   443 0.96 NC_004631.1_3507 # 3630613 # 3631944 # 1 # ID=1_3507;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.528
NC_004631.1:2483597-2484868|- -            424 22118at91347         -            397   4.3e-48  162.3   0.4   1   3     7e-23     4e-20   70.2   0.0     5    99    66   167    63   175 0.87 NC_004631.1_2414 # 2483597 # 2484868 # -1 # ID=1_2414;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.531
NC_004631.1:2483597-2484868|- -            424 22118at91347         -            397   4.3e-48  162.3   0.4   2   3     4e-13   2.3e-10   38.0   0.0   217   280   176   255   171   262 0.76 NC_004631.1_2414 # 2483597 # 2484868 # -1 # ID=1_2414;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.531
NC_004631.1:2483597-2484868|- -            424 22118at91347         -            397   4.3e-48  162.3   0.4   3   3   5.4e-17   3.1e-14   50.8   0.0   280   372   299   386   271   411 0.81 NC_004631.1_2414 # 2483597 # 2484868 # -1 # ID=1_2414;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.531
NC_004631.1:3304708-3306651|- -            648 22118at91347         -            397   5.2e-08   30.3   0.3   1   3   1.9e-09   1.1e-06   25.9   0.0    15   103   158   245   145   248 0.79 NC_004631.1_3205 # 3304708 # 3306651 # -1 # ID=1_3205;partial=00;start_type=TTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.559
NC_004631.1:3304708-3306651|- -            648 22118at91347         -            397   5.2e-08   30.3   0.3   2   3     0.042        24    1.8   0.0   220   237   249   266   243   284 0.86 NC_004631.1_3205 # 3304708 # 3306651 # -1 # ID=1_3205;partial=00;start_type=TTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.559
NC_004631.1:3304708-3306651|- -            648 22118at91347         -            397   5.2e-08   30.3   0.3   3   3       1.6   9.2e+02   -3.4   0.0   293   328   550   588   546   597 0.75 NC_004631.1_3205 # 3304708 # 3306651 # -1 # ID=1_3205;partial=00;start_type=TTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.559
NC_004631.1:2693220-2695793|- -            858 22118at91347         -            397   5.6e-07   26.9   0.1   1   2    0.0059       3.4    4.6   0.1    33    66   189   221   172   227 0.80 NC_004631.1_2616 # 2693220 # 2695793 # -1 # ID=1_2616;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=3-4bp;gc_cont=0.535
NC_004631.1:2693220-2695793|- -            858 22118at91347         -            397   5.6e-07   26.9   0.1   2   2   2.3e-07   0.00013   19.1   0.0    12    86   568   643   561   649 0.77 NC_004631.1_2616 # 2693220 # 2695793 # -1 # ID=1_2616;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=3-4bp;gc_cont=0.535
NC_004631.1:2044404-2046680|- -            759 22118at91347         -            397   3.3e-06   24.4   0.1   1   3     0.006       3.5    4.5   0.0    44    65   207   228   193   246 0.81 NC_004631.1_1990 # 2044404 # 2046680 # -1 # ID=1_1990;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.541
NC_004631.1:2044404-2046680|- -            759 22118at91347         -            397   3.3e-06   24.4   0.1   2   3      0.18   1.1e+02   -0.3   0.0   215   232   273   292   263   318 0.72 NC_004631.1_1990 # 2044404 # 2046680 # -1 # ID=1_1990;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.541
