gene	contig	start	stop	strand	family	nb_copy_in_genome	partition	persistent_neighbors	shell_neighbors	cloud_neighbors
BENMGJ_00002	contig_4	265	1023	-	GEGEGB_03159	2	persistent	2	0	0
BENMGJ_00003	contig_5	58	300	+	BENMGJ_00003	1	cloud	1	0	0
BENMGJ_00004	contig_5	306	1169	-	LNHIMF_03917	1	persistent	2	0	2
BENMGJ_00005	contig_6	899	1534	-	BENMGJ_00005	1	cloud	0	0	0
BENMGJ_00006	contig_7	159	635	+	LNHIMF_03496	1	persistent	2	0	0
BENMGJ_00007	contig_7	632	1099	-	GEGEGB_04296	1	persistent	1	1	0
BENMGJ_00008	contig_7	1479	1790	+	GEGEGB_04297	1	shell	1	1	0
BENMGJ_00009	contig_8	190	1218	+	BENMGJ_00009	1	cloud	1	0	0
BENMGJ_00010	contig_8	1084	1617	-	GEGEGB_03856	1	persistent	2	0	1
BENMGJ_00011	contig_8	1632	2015	-	GEGEGB_03855	1	persistent	2	0	0
BENMGJ_00012	contig_9	153	536	+	GEGEGB_03669	1	shell	1	1	0
BENMGJ_00013	contig_9	538	1083	+	GEGEGB_03668	1	persistent	1	1	0
BENMGJ_00014	contig_9	1241	1669	+	GEGEGB_03667	1	persistent	2	0	0
BENMGJ_00015	contig_9	1673	2377	+	GEGEGB_03666	1	persistent	2	0	0
BENMGJ_00016	contig_10	218	1246	+	LNHIMF_04186	1	persistent	2	0	0
BENMGJ_00017	contig_10	1243	2205	+	GEGEGB_03676	1	persistent	2	0	0
BENMGJ_00018	contig_10	2240	3166	-	GEGEGB_03675	1	persistent	1	1	0
BENMGJ_00020	contig_11	183	4211	-	GEGEGB_03662	1	persistent	2	0	0
BENMGJ_00021	contig_12	180	914	-	GEGEGB_01826	1	persistent	2	0	0
BENMGJ_00022	contig_12	927	1856	-	GEGEGB_01827	1	persistent	2	0	0
BENMGJ_00023	contig_12	1872	2825	-	LNHIMF_01229	1	persistent	2	0	0
BENMGJ_00024	contig_12	2905	3954	-	GEGEGB_01829	1	persistent	2	0	0
BENMGJ_00025	contig_12	4118	4291	-	GEGEGB_01830	1	persistent	2	0	0
BENMGJ_00026	contig_12	4343	4864	-	GEGEGB_01831	1	persistent	2	0	0
BENMGJ_00027	contig_13	62	592	+	GEGEGB_03907	3	persistent	3	0	0
BENMGJ_00028	contig_13	592	1248	+	GEGEGB_00658	3	persistent	2	0	0
BENMGJ_00029	contig_13	1291	2037	+	GEGEGB_00659	3	persistent	2	0	0
BENMGJ_00030	contig_13	2073	2246	+	AJBGEP_02420	3	persistent	2	0	0
BENMGJ_00031	contig_13	2243	2722	+	HFCAGB_02510	3	persistent	2	0	0
BENMGJ_00032	contig_13	2719	4650	+	GEGEGB_00662	3	persistent	2	0	0
BENMGJ_00033	contig_13	4647	5204	+	GEGEGB_00663	3	persistent	2	0	1
BENMGJ_00034	contig_14	757	1083	+	LNHIMF_02081	1	persistent	2	0	1
BENMGJ_00035	contig_14	1279	2733	+	GEGEGB_00920	1	persistent	2	3	1
BENMGJ_00036	contig_14	3254	3427	-	BEJGEH_02009	1	shell	1	2	0
BENMGJ_00037	contig_14	3637	5367	-	HFCAGB_02267	1	shell	0	2	0
BENMGJ_00038	contig_14	5424	7592	-	HFCAGB_02266	1	shell	0	2	2
BENMGJ_00039	contig_14	7802	7957	-	BENMGJ_00039	1	cloud	0	2	0
BENMGJ_00040	contig_14	8104	8631	-	AJBGEP_02166	1	shell	0	2	2
BENMGJ_00042	contig_15	10	789	-	LNHIMF_02874	1	persistent	2	0	0
BENMGJ_00043	contig_15	801	1163	-	LNHIMF_02873	1	persistent	2	0	0
BENMGJ_00044	contig_15	1175	2146	-	LNHIMF_02872	1	persistent	2	0	0
BENMGJ_00045	contig_15	2143	2706	-	GEGEGB_02880	1	persistent	2	0	0
BENMGJ_00046	contig_15	2960	4039	+	GEGEGB_02879	1	persistent	2	0	0
BENMGJ_00047	contig_15	4076	4321	-	LNHIMF_02869	1	persistent	2	0	0
BENMGJ_00048	contig_15	4517	5014	+	LNHIMF_02868	1	persistent	2	0	0
BENMGJ_00049	contig_15	5099	6160	+	GEGEGB_02876	1	persistent	2	0	0
BENMGJ_00050	contig_15	6238	6777	+	LNHIMF_02866	1	persistent	2	0	1
BENMGJ_00051	contig_15	7013	9643	+	GEGEGB_02874	1	persistent	2	0	0
BENMGJ_00052	contig_15	9878	10063	+	GEGEGB_02873	1	persistent	2	0	0
BENMGJ_00053	contig_16	31	504	+	GEGEGB_03859	1	persistent	2	0	0
BENMGJ_00054	contig_16	525	944	+	GEGEGB_03860	1	persistent	2	0	0
BENMGJ_00055	contig_16	1174	1872	+	LNHIMF_03914	1	persistent	2	0	0
BENMGJ_00057	contig_16	2192	3562	+	GEGEGB_03863	1	persistent	2	0	0
BENMGJ_00058	contig_16	3751	5580	+	LNHIMF_03911	1	persistent	2	0	1
BENMGJ_00059	contig_16	5731	7521	-	GEGEGB_03870	1	persistent	2	0	1
BENMGJ_00060	contig_16	7583	8401	+	GEGEGB_03871	1	persistent	2	0	0
BENMGJ_00061	contig_16	8450	9823	+	LNHIMF_03908	1	persistent	2	0	1
BENMGJ_00062	contig_16	9820	9921	-	BEJGEH_03909	1	cloud	2	0	0
BENMGJ_00063	contig_16	9990	11030	+	LNHIMF_03907	1	persistent	2	0	1
BENMGJ_00064	contig_17	466	1020	+	GEGEGB_04339	1	persistent	3	0	0
BENMGJ_00065	contig_17	996	1253	-	LNHIMF_03453	1	persistent	2	0	0
BENMGJ_00066	contig_17	1250	2071	-	LNHIMF_03454	1	persistent	2	0	0
BENMGJ_00067	contig_17	2073	2645	-	LNHIMF_03455	1	persistent	2	0	0
BENMGJ_00068	contig_17	2650	3192	-	LNHIMF_03456	1	persistent	2	0	0
BENMGJ_00069	contig_17	3219	3692	-	GEGEGB_04334	1	persistent	2	0	0
BENMGJ_00070	contig_17	3664	4788	-	LNHIMF_03458	1	persistent	2	0	0
BENMGJ_00071	contig_17	4920	5429	+	GEGEGB_04332	1	persistent	2	0	0
BENMGJ_00072	contig_17	5445	6392	+	GEGEGB_04331	1	persistent	2	0	0
BENMGJ_00073	contig_17	6444	7733	+	LNHIMF_03461	1	persistent	2	0	0
BENMGJ_00074	contig_17	7755	9131	+	GEGEGB_04329	1	persistent	2	0	0
BENMGJ_00075	contig_17	9273	9686	+	GEGEGB_04328	1	persistent	2	0	0
BENMGJ_00076	contig_17	9622	9891	-	GEGEGB_04327	1	persistent	2	0	0
BENMGJ_00077	contig_17	9949	10374	-	LNHIMF_03465	1	persistent	2	0	0
BENMGJ_00078	contig_17	10385	10753	-	LNHIMF_03466	1	persistent	2	0	0
BENMGJ_00079	contig_17	10861	11244	-	GEGEGB_04324	1	persistent	2	0	0
BENMGJ_00080	contig_18	845	1066	-	GEGEGB_03485	1	persistent	3	0	0
