gene	contig	start	stop	strand	family	nb_copy_in_genome	partition	persistent_neighbors	shell_neighbors	cloud_neighbors
ALJMDI_00002	contig_2	192	503	+	GEGEGB_04313	1	shell	0	2	0
ALJMDI_00003	contig_2	513	866	+	GEGEGB_04314	1	shell	0	2	1
ALJMDI_00004	contig_2	863	1243	-	ALJMDI_00004	1	cloud	0	1	0
ALJMDI_00005	contig_3	247	1275	+	LNHIMF_04186	1	persistent	2	0	0
ALJMDI_00006	contig_3	1272	2234	+	GEGEGB_03676	1	persistent	2	0	0
ALJMDI_00007	contig_4	274	513	+	LNHIMF_03471	2	shell	0	3	0
ALJMDI_00008	contig_4	513	629	+	LNHIMF_03471	2	shell	0	3	0
ALJMDI_00009	contig_4	646	1035	+	BEJGEH_03447	1	shell	0	2	0
ALJMDI_00010	contig_4	1069	1689	+	LNHIMF_03469	1	shell	1	2	0
ALJMDI_00011	contig_4	1715	2704	+	GEGEGB_04323	1	persistent	1	1	0
ALJMDI_00012	contig_4	2745	3128	+	GEGEGB_04324	1	persistent	2	0	0
ALJMDI_00013	contig_4	3236	3604	+	LNHIMF_03466	1	persistent	2	0	0
ALJMDI_00014	contig_4	3615	4040	+	LNHIMF_03465	1	persistent	2	0	0
ALJMDI_00015	contig_4	4098	4367	+	GEGEGB_04327	1	persistent	2	0	0
ALJMDI_00016	contig_4	4303	4716	-	GEGEGB_04328	1	persistent	2	0	0
ALJMDI_00017	contig_4	4858	6234	-	GEGEGB_04329	1	persistent	2	0	0
ALJMDI_00018	contig_4	6256	7545	-	LNHIMF_03461	1	persistent	2	0	0
ALJMDI_00019	contig_4	7597	8544	-	GEGEGB_04331	1	persistent	2	0	0
ALJMDI_00020	contig_4	8560	9069	-	GEGEGB_04332	1	persistent	2	0	0
ALJMDI_00021	contig_4	9201	10325	+	LNHIMF_03458	1	persistent	2	0	0
ALJMDI_00022	contig_4	10297	10770	+	GEGEGB_04334	1	persistent	2	0	0
ALJMDI_00023	contig_4	10797	11339	+	LNHIMF_03456	1	persistent	2	0	0
ALJMDI_00024	contig_4	11344	11916	+	LNHIMF_03455	1	persistent	2	0	0
ALJMDI_00025	contig_4	11918	12739	+	LNHIMF_03454	1	persistent	2	0	0
ALJMDI_00026	contig_4	12736	12993	+	LNHIMF_03453	1	persistent	2	0	0
ALJMDI_00027	contig_4	12969	13244	-	GEGEGB_04339	1	persistent	3	0	0
ALJMDI_00028	contig_5	250	564	+	OEKLIE_00114	1	cloud	1	0	1
ALJMDI_00030	contig_5	1540	1959	+	GEGEGB_00945	1	persistent	1	1	4
ALJMDI_00031	contig_5	1962	3230	+	LNHIMF_02074	1	persistent	3	1	1
ALJMDI_00032	contig_5	3685	3897	+	LNHIMF_02073	1	persistent	2	0	1
ALJMDI_00034	contig_5	4356	5534	-	LNHIMF_02071	1	persistent	2	0	0
ALJMDI_00036	contig_5	6184	6495	+	GEGEGB_00951	1	persistent	2	0	0
ALJMDI_00037	contig_5	6575	7270	+	LNHIMF_02068	1	persistent	2	0	0
ALJMDI_00038	contig_5	7344	8774	+	LNHIMF_02067	1	persistent	2	0	0
ALJMDI_00039	contig_5	8755	9225	+	GEGEGB_00954	1	persistent	2	0	0
ALJMDI_00040	contig_5	9214	10134	-	GEGEGB_00955	1	persistent	2	0	0
ALJMDI_00041	contig_5	10310	11221	+	BEJGEH_01078	1	persistent	2	0	0
ALJMDI_00042	contig_5	11298	11483	+	GEGEGB_00958	1	persistent	2	0	0
ALJMDI_00043	contig_5	11648	13360	+	GEGEGB_00959	1	persistent	2	0	0
ALJMDI_00044	contig_5	13339	14154	-	GEGEGB_00960	1	persistent	2	0	0
ALJMDI_00045	contig_6	80	289	+	GEGEGB_01108	2	persistent	4	0	0
ALJMDI_00046	contig_6	509	2254	+	GEGEGB_01109	1	persistent	2	0	0
ALJMDI_00047	contig_6	2320	3129	+	LNHIMF_01906	1	persistent	2	0	0
ALJMDI_00048	contig_6	3126	3692	-	GEGEGB_01111	1	persistent	2	0	0
ALJMDI_00049	contig_6	4102	4560	-	GEGEGB_01112	1	persistent	2	0	0
ALJMDI_00050	contig_6	4619	5470	-	GEGEGB_01113	1	persistent	2	0	0
ALJMDI_00051	contig_6	5483	6283	-	GEGEGB_01114	1	persistent	2	0	0
ALJMDI_00052	contig_6	6336	7304	-	GEGEGB_01115	1	persistent	2	0	0
ALJMDI_00053	contig_6	7777	9336	+	LNHIMF_01900	1	persistent	2	0	0
ALJMDI_00054	contig_6	9358	10959	-	LNHIMF_01899	1	persistent	2	0	0
ALJMDI_00055	contig_6	11097	12461	-	GEGEGB_01118	1	persistent	2	0	0
ALJMDI_00056	contig_6	12725	13303	-	LNHIMF_01897	1	persistent	2	0	0
ALJMDI_00057	contig_6	13307	14671	-	GEGEGB_01120	1	persistent	2	0	0
ALJMDI_00058	contig_6	14752	14931	+	GEGEGB_01121	1	persistent	2	0	0
ALJMDI_00059	contig_6	14937	15281	-	LNHIMF_01894	1	persistent	2	0	0
ALJMDI_00060	contig_6	15412	17322	+	GEGEGB_01123	1	persistent	2	0	0
ALJMDI_00061	contig_6	17380	18075	+	GEGEGB_01124	1	persistent	2	0	0
ALJMDI_00062	contig_6	18147	18728	+	GEGEGB_01125	1	persistent	2	0	0
ALJMDI_00063	contig_6	18867	20618	+	GEGEGB_01126	1	persistent	2	1	0
ALJMDI_00065	contig_7	979	2568	+	BEJGEH_04235	1	persistent	3	0	0
ALJMDI_00066	contig_7	2584	3873	+	GEGEGB_03642	1	persistent	2	0	0
ALJMDI_00067	contig_7	3870	5195	-	LNHIMF_04220	1	persistent	2	0	0
ALJMDI_00068	contig_7	5201	6787	-	BEJGEH_04232	1	persistent	2	0	0
ALJMDI_00069	contig_7	6852	7307	+	GEGEGB_03645	1	persistent	2	0	0
ALJMDI_00070	contig_7	7349	8041	-	GEGEGB_03646	1	persistent	2	0	0
ALJMDI_00071	contig_7	8053	8325	-	GEGEGB_03647	1	persistent	2	0	0
ALJMDI_00072	contig_7	8512	9102	-	GEGEGB_03648	1	persistent	2	0	0
ALJMDI_00073	contig_7	9144	9815	-	GEGEGB_03649	1	persistent	2	0	0
ALJMDI_00074	contig_7	9825	10889	-	GEGEGB_03650	1	persistent	2	0	0
ALJMDI_00075	contig_7	10930	11703	-	LNHIMF_04212	1	persistent	2	0	0
