gene	contig	start	stop	strand	family	nb_copy_in_genome	partition	persistent_neighbors	shell_neighbors	cloud_neighbors
AJBGEP_00001	contig_1	169	255	+	GEGEGB_00001	1	persistent	2	0	0
AJBGEP_00002	contig_1	337	2799	+	GEGEGB_00002	1	persistent	2	0	0
AJBGEP_00003	contig_1	2801	3730	+	GEGEGB_00003	1	persistent	2	0	0
AJBGEP_00004	contig_1	3734	5020	+	GEGEGB_00004	1	persistent	2	0	0
AJBGEP_00005	contig_1	5114	5887	-	GEGEGB_00005	1	persistent	2	0	0
AJBGEP_00006	contig_1	5966	7396	-	GEGEGB_00006	1	persistent	2	0	0
AJBGEP_00007	contig_1	7665	8618	+	GEGEGB_00007	1	persistent	2	0	0
AJBGEP_00008	contig_1	8729	9319	+	GEGEGB_00008	1	persistent	2	0	0
AJBGEP_00009	contig_1	9376	9942	-	GEGEGB_00009	1	persistent	2	0	0
AJBGEP_00010	contig_1	10092	10805	-	GEGEGB_00010	1	persistent	2	0	0
AJBGEP_00011	contig_1	10841	11245	-	GEGEGB_00011	1	persistent	2	0	0
AJBGEP_00012	contig_1	11593	13509	+	GEGEGB_00012	1	persistent	2	0	0
AJBGEP_00014	contig_1	13595	14734	+	GEGEGB_00014	1	persistent	2	0	1
AJBGEP_00015	contig_1	15014	15961	+	GEGEGB_00015	1	persistent	2	0	1
AJBGEP_00016	contig_1	16088	16432	+	LNHIMF_00016	1	persistent	2	0	0
AJBGEP_00017	contig_1	16493	17026	-	LNHIMF_00017	1	persistent	2	0	0
AJBGEP_00018	contig_1	17043	17486	-	GEGEGB_00018	1	persistent	2	0	0
AJBGEP_00019	contig_1	17867	19966	+	BEJGEH_00020	1	persistent	2	0	0
AJBGEP_00020	contig_1	20058	23054	+	LNHIMF_00020	1	persistent	2	0	0
AJBGEP_00021	contig_1	23335	24039	+	BEJGEH_00022	1	persistent	2	0	0
AJBGEP_00022	contig_1	24469	25011	+	LNHIMF_00022	1	persistent	2	0	0
AJBGEP_00023	contig_1	25112	25798	+	LNHIMF_00023	1	persistent	2	0	0
AJBGEP_00024	contig_1	25803	28424	+	LNHIMF_00024	1	persistent	2	0	0
AJBGEP_00025	contig_1	28425	29432	+	LNHIMF_00025	1	persistent	2	0	0
AJBGEP_00026	contig_1	29433	29978	+	LNHIMF_00026	1	persistent	2	0	0
AJBGEP_00027	contig_1	29994	30512	+	GEGEGB_00030	1	persistent	2	0	0
AJBGEP_00028	contig_1	30478	31209	+	LNHIMF_00028	1	persistent	2	0	0
AJBGEP_00029	contig_1	31274	32119	+	LNHIMF_00029	1	persistent	2	0	1
AJBGEP_00030	contig_1	32158	32445	+	LNHIMF_00030	1	persistent	2	1	0
AJBGEP_00031	contig_1	32545	32994	-	GEGEGB_00034	1	persistent	1	1	1
AJBGEP_00032	contig_1	33364	34368	+	AJBGEP_00032	1	shell	2	1	0
AJBGEP_00033	contig_1	34376	34816	-	HFCAGB_00034	1	shell	0	2	0
AJBGEP_00034	contig_1	35339	37057	+	BEJGEH_00035	1	shell	0	2	0
AJBGEP_00035	contig_1	37103	38665	-	GEGEGB_00038	1	shell	0	2	0
AJBGEP_00036	contig_1	38773	39534	-	GEGEGB_00039	1	shell	1	1	0
AJBGEP_00037	contig_1	40131	41624	+	LNHIMF_00037	1	persistent	0	2	2
AJBGEP_00038	contig_1	41723	42913	+	LNHIMF_00038	1	shell	1	1	0
AJBGEP_00039	contig_1	42938	44185	+	IKCLMC_03170	1	shell	1	1	0
AJBGEP_00040	contig_1	44312	46027	+	LNHIMF_00040	1	persistent	1	1	1
AJBGEP_00041	contig_1	46190	47356	+	LNHIMF_00041	1	persistent	2	0	1
AJBGEP_00042	contig_1	47424	48317	+	GEGEGB_00045	1	persistent	2	0	0
AJBGEP_00043	contig_1	48372	50411	-	LNHIMF_00043	1	persistent	2	0	0
AJBGEP_00044	contig_1	50451	51824	-	LNHIMF_00044	1	persistent	2	0	1
AJBGEP_00045	contig_1	52319	52528	+	LNHIMF_00045	1	persistent	2	0	0
AJBGEP_00046	contig_1	52872	53810	+	GEGEGB_00049	1	persistent	2	0	1
AJBGEP_00047	contig_1	53855	56689	+	LNHIMF_00047	1	persistent	2	0	0
AJBGEP_00048	contig_1	56689	57189	+	LNHIMF_00048	1	persistent	2	0	0
AJBGEP_00049	contig_1	57344	57793	+	GEGEGB_00052	1	persistent	2	0	0
AJBGEP_00050	contig_1	57796	58746	+	GEGEGB_00053	1	persistent	2	0	0
AJBGEP_00052	contig_1	58946	60148	+	AJBGEP_00052	1	persistent	2	0	0
AJBGEP_00053	contig_1	60164	61084	+	GEGEGB_00056	1	persistent	2	0	0
