gene	contig	start	stop	strand	family	nb_copy_in_genome	partition	persistent_neighbors	shell_neighbors	cloud_neighbors
ODDLKH_00004	contig_1	3623	4651	+	LNHIMF_04186	1	persistent	2	0	0
ODDLKH_00005	contig_1	4648	5610	+	GEGEGB_03676	1	persistent	2	0	0
ODDLKH_00006	contig_1	5645	6571	-	GEGEGB_03675	1	persistent	1	1	0
ODDLKH_00007	contig_2	109	537	+	GEGEGB_03667	1	persistent	2	0	0
ODDLKH_00008	contig_2	541	1245	+	GEGEGB_03666	1	persistent	2	0	0
ODDLKH_00009	contig_2	1665	2162	+	GEGEGB_03665	1	persistent	2	0	0
ODDLKH_00010	contig_2	2229	2594	+	GEGEGB_03664	1	persistent	2	0	0
ODDLKH_00012	contig_2	2912	6940	+	GEGEGB_03662	1	persistent	2	0	0
ODDLKH_00013	contig_2	7017	11240	+	GEGEGB_03661	1	persistent	2	1	1
ODDLKH_00014	contig_2	11327	11608	+	LNHIMF_04203	1	persistent	1	2	1
ODDLKH_00015	contig_2	11610	11954	-	ODDLKH_00015	1	shell	2	2	0
ODDLKH_00016	contig_2	11908	12045	-	GEGEGB_03659	1	shell	2	2	1
ODDLKH_00017	contig_2	12703	13836	-	LNHIMF_04205	1	persistent	1	2	2
ODDLKH_00018	contig_2	13833	14603	-	LNHIMF_04206	1	persistent	3	0	0
ODDLKH_00019	contig_2	14605	14805	-	ODDLKH_00019	1	persistent	2	0	0
ODDLKH_00020	contig_2	14786	15544	-	LNHIMF_04208	1	persistent	3	0	0
ODDLKH_00021	contig_2	15537	16172	-	LNHIMF_04209	1	persistent	2	0	0
ODDLKH_00022	contig_2	16172	18067	-	LNHIMF_04210	1	persistent	2	0	0
ODDLKH_00023	contig_2	18431	18919	-	LNHIMF_04211	1	persistent	2	0	0
ODDLKH_00024	contig_2	19012	19785	+	LNHIMF_04212	1	persistent	2	0	0
ODDLKH_00025	contig_2	19826	20890	+	GEGEGB_03650	1	persistent	2	0	0
ODDLKH_00026	contig_2	20900	21571	+	GEGEGB_03649	1	persistent	2	0	0
ODDLKH_00027	contig_2	21613	22203	+	GEGEGB_03648	1	persistent	2	0	0
ODDLKH_00028	contig_2	22390	22662	+	GEGEGB_03647	1	persistent	2	0	0
ODDLKH_00029	contig_2	22674	23366	+	GEGEGB_03646	1	persistent	2	0	0
ODDLKH_00030	contig_2	23408	23863	-	GEGEGB_03645	1	persistent	2	0	0
