gene	contig	start	stop	strand	family	nb_copy_in_genome	partition	persistent_neighbors	shell_neighbors	cloud_neighbors
IKCLMC_00001	contig_3	147	611	-	IKCLMC_00001	1	cloud	0	0	0
IKCLMC_00004	contig_5	43	588	+	GEGEGB_00469	2	persistent	2	0	0
IKCLMC_00005	contig_7	51	305	+	IKCLMC_00005	1	cloud	0	0	0
IKCLMC_00007	contig_8	139	525	-	GEGEGB_03027	2	persistent	2	0	0
IKCLMC_00008	contig_9	141	494	+	GEGEGB_01776	2	persistent	2	0	0
IKCLMC_00009	contig_11	258	470	-	GEGEGB_04092	3	persistent	2	0	0
IKCLMC_00010	contig_12	49	204	+	IKCLMC_00010	3	cloud	0	0	2
IKCLMC_00011	contig_13	403	645	+	LNHIMF_00690	3	shell	0	3	1
IKCLMC_00012	contig_14	427	639	-	GEGEGB_04092	3	persistent	2	0	0
IKCLMC_00013	contig_16	282	437	+	IKCLMC_00010	3	cloud	0	0	2
IKCLMC_00014	contig_17	64	747	+	IKCLMC_00014	1	cloud	0	0	0
IKCLMC_00015	contig_20	76	339	-	LNHIMF_00437	2	persistent	2	0	0
IKCLMC_00017	contig_20	621	776	-	GEGEGB_02586	2	persistent	2	1	0
IKCLMC_00018	contig_22	130	558	-	IKCLMC_02368	2	cloud	0	0	2
IKCLMC_00019	contig_22	563	880	-	IKCLMC_02367	2	cloud	0	0	2
IKCLMC_00021	contig_23	309	803	+	GEGEGB_03111	2	persistent	2	1	2
IKCLMC_00022	contig_25	17	514	+	GEGEGB_04339	3	persistent	3	0	0
IKCLMC_00023	contig_25	490	747	-	LNHIMF_03453	2	persistent	2	0	0
IKCLMC_00024	contig_26	201	767	-	GEGEGB_01257	2	persistent	2	0	0
IKCLMC_00027	contig_29	215	769	-	GEGEGB_04339	3	persistent	3	0	0
IKCLMC_00028	contig_32	227	721	+	IKCLMC_00898	3	cloud	0	0	2
IKCLMC_00030	contig_33	335	553	+	AJBGEP_01274	3	cloud	0	0	3
IKCLMC_00031	contig_33	565	1104	-	AJBGEP_01275	3	cloud	0	0	3
IKCLMC_00032	contig_35	11	328	+	LNHIMF_00819	3	shell	12	3	3
IKCLMC_00033	contig_35	499	1182	+	LNHIMF_00818	3	shell	12	5	5
IKCLMC_00034	contig_38	179	1666	+	GEGEGB_00917	1	persistent	3	0	3
IKCLMC_00035	contig_39	128	1156	+	LNHIMF_04186	1	persistent	2	0	0
IKCLMC_00036	contig_39	1153	2115	+	GEGEGB_03676	1	persistent	2	0	0
IKCLMC_00037	contig_39	2150	3076	-	GEGEGB_03675	1	persistent	1	1	0
IKCLMC_00041	contig_40	152	676	+	HFCAGB_02262	1	shell	0	3	4
IKCLMC_00043	contig_40	1151	1849	+	AJBGEP_02166	1	shell	0	2	2
IKCLMC_00044	contig_40	2192	4360	+	HFCAGB_02266	1	shell	0	2	2
IKCLMC_00045	contig_40	4417	6147	+	HFCAGB_02267	1	shell	0	2	0
IKCLMC_00046	contig_40	6357	6530	+	BEJGEH_02009	1	shell	1	2	0
IKCLMC_00047	contig_40	7052	8506	-	GEGEGB_00920	1	persistent	2	3	1
IKCLMC_00049	contig_41	745	990	-	AJBGEP_03535	3	persistent	3	1	0
IKCLMC_00050	contig_41	1040	2308	-	BEJGEH_00766	1	shell	1	1	0
IKCLMC_00051	contig_41	2588	3514	+	BEJGEH_00765	1	shell	0	2	0
IKCLMC_00052	contig_41	3515	4405	-	BEJGEH_00764	1	shell	0	2	0
IKCLMC_00053	contig_41	4535	5380	+	BEJGEH_00763	1	shell	0	2	0
IKCLMC_00054	contig_41	5395	5940	+	BEJGEH_00762	1	shell	1	1	0
IKCLMC_00055	contig_41	6034	7086	-	GEGEGB_02234	1	persistent	2	1	0
IKCLMC_00056	contig_41	7406	7792	+	GEGEGB_02235	1	persistent	2	0	0
IKCLMC_00057	contig_41	7903	8841	+	LNHIMF_00899	1	persistent	2	0	0
IKCLMC_00058	contig_41	8838	9557	-	LNHIMF_00898	1	persistent	2	0	0
IKCLMC_00059	contig_41	9582	10625	-	LNHIMF_00897	1	persistent	2	0	0
IKCLMC_00064	contig_42	152	697	+	AJBGEP_01281	4	shell	0	2	0
IKCLMC_00065	contig_42	669	2600	+	AJBGEP_01282	4	shell	0	2	0
IKCLMC_00066	contig_42	2584	2787	+	AJBGEP_01283	4	shell	0	2	0
IKCLMC_00067	contig_42	2745	4364	+	AJBGEP_01284	5	shell	0	2	0
IKCLMC_00068	contig_42	4354	5850	+	AJBGEP_01285	4	shell	0	2	0
IKCLMC_00069	contig_42	5863	6210	+	AJBGEP_01286	4	shell	0	2	0
IKCLMC_00070	contig_42	6265	7293	+	AJBGEP_01287	4	shell	0	2	1
IKCLMC_00071	contig_42	7351	7710	+	ODDLKH_01689	4	shell	0	2	1
IKCLMC_00072	contig_42	7721	8104	+	AJBGEP_01290	4	shell	0	2	0
IKCLMC_00073	contig_42	8132	8710	+	AJBGEP_01291	4	shell	0	3	1
IKCLMC_00074	contig_42	8759	9889	-	AJBGEP_01292	3	shell	0	2	0
IKCLMC_00075	contig_42	9998	10399	+	LNHIMF_00680	4	shell	0	3	2
