gene	contig	start	stop	strand	family	nb_copy_in_genome	partition	persistent_neighbors	shell_neighbors	cloud_neighbors
BEJGEH_00001	contig_1	169	255	+	GEGEGB_00001	1	persistent	2	0	0
BEJGEH_00002	contig_1	337	2799	+	GEGEGB_00002	1	persistent	2	0	0
BEJGEH_00003	contig_1	2801	3730	+	GEGEGB_00003	1	persistent	2	0	0
BEJGEH_00004	contig_1	3734	5020	+	GEGEGB_00004	1	persistent	2	0	0
BEJGEH_00005	contig_1	5113	5886	-	GEGEGB_00005	1	persistent	2	0	0
BEJGEH_00006	contig_1	5965	7395	-	GEGEGB_00006	1	persistent	2	0	0
BEJGEH_00007	contig_1	7664	8617	+	GEGEGB_00007	1	persistent	2	0	0
BEJGEH_00008	contig_1	8728	9318	+	GEGEGB_00008	1	persistent	2	0	0
BEJGEH_00009	contig_1	9375	9941	-	GEGEGB_00009	1	persistent	2	0	0
BEJGEH_00010	contig_1	10091	10804	-	GEGEGB_00010	1	persistent	2	0	0
BEJGEH_00011	contig_1	10840	11244	-	GEGEGB_00011	1	persistent	2	0	0
BEJGEH_00012	contig_1	11593	13509	+	GEGEGB_00012	1	persistent	2	0	0
BEJGEH_00014	contig_1	13595	14734	+	GEGEGB_00014	1	persistent	2	0	1
BEJGEH_00015	contig_1	14681	14821	-	BEJGEH_00015	1	cloud	2	0	0
BEJGEH_00016	contig_1	15015	15962	+	GEGEGB_00015	1	persistent	2	0	1
BEJGEH_00017	contig_1	16089	16433	+	LNHIMF_00016	1	persistent	2	0	0
BEJGEH_00018	contig_1	16494	17027	-	LNHIMF_00017	1	persistent	2	0	0
BEJGEH_00019	contig_1	17044	17487	-	GEGEGB_00018	1	persistent	2	0	0
BEJGEH_00020	contig_1	17868	19967	+	BEJGEH_00020	1	persistent	2	0	0
BEJGEH_00021	contig_1	20060	23056	+	LNHIMF_00020	1	persistent	2	0	0
BEJGEH_00022	contig_1	23337	24041	+	BEJGEH_00022	1	persistent	2	0	0
BEJGEH_00023	contig_1	24471	25013	+	LNHIMF_00022	1	persistent	2	0	0
BEJGEH_00024	contig_1	25114	25800	+	LNHIMF_00023	1	persistent	2	0	0
BEJGEH_00025	contig_1	25805	28426	+	LNHIMF_00024	1	persistent	2	0	0
BEJGEH_00026	contig_1	28427	29434	+	LNHIMF_00025	1	persistent	2	0	0
BEJGEH_00027	contig_1	29435	29980	+	LNHIMF_00026	1	persistent	2	0	0
BEJGEH_00028	contig_1	29996	30514	+	GEGEGB_00030	1	persistent	2	0	0
BEJGEH_00029	contig_1	30480	31211	+	LNHIMF_00028	1	persistent	2	0	0
BEJGEH_00030	contig_1	31276	32121	+	LNHIMF_00029	1	persistent	2	0	1
BEJGEH_00031	contig_1	32160	32447	+	LNHIMF_00030	1	persistent	2	1	0
BEJGEH_00032	contig_1	32547	32996	-	GEGEGB_00034	1	persistent	1	1	1
BEJGEH_00033	contig_1	33366	34370	+	AJBGEP_00032	1	shell	2	1	0
BEJGEH_00034	contig_1	34378	34815	-	HFCAGB_00034	1	shell	0	2	0
BEJGEH_00035	contig_1	35338	37056	+	BEJGEH_00035	1	shell	0	2	0
BEJGEH_00036	contig_1	37102	38664	-	GEGEGB_00038	1	shell	0	2	0
BEJGEH_00037	contig_1	38772	39533	-	GEGEGB_00039	1	shell	1	1	0
BEJGEH_00038	contig_1	40128	41621	+	LNHIMF_00037	1	persistent	0	2	2
BEJGEH_00039	contig_1	41720	42910	+	LNHIMF_00038	1	shell	1	1	0
BEJGEH_00040	contig_1	42935	44182	+	IKCLMC_03170	1	shell	1	1	0
BEJGEH_00041	contig_1	44309	46024	+	LNHIMF_00040	1	persistent	1	1	1
