gene	contig	start	stop	strand	family	nb_copy_in_genome	partition	persistent_neighbors	shell_neighbors	cloud_neighbors
ONMMKP_00001	contig_1	132	326	-	ONMMKP_00001	1	cloud	0	0	2
ONMMKP_00002	contig_1	598	921	+	ONMMKP_00002	1	cloud	0	0	2
ONMMKP_00003	contig_1	1170	1874	-	ONMMKP_00003	1	cloud	0	0	2
ONMMKP_00004	contig_1	1877	2011	-	ONMMKP_00004	1	cloud	0	0	2
ONMMKP_00006	contig_2	750	941	-	ONMMKP_00006	1	cloud	0	0	2
ONMMKP_00007	contig_2	973	1329	+	ONMMKP_00007	1	cloud	0	0	2
ONMMKP_00008	contig_2	2007	2525	+	ONMMKP_00008	1	cloud	0	0	2
ONMMKP_00009	contig_2	2532	2765	+	ONMMKP_00009	1	cloud	0	0	2
ONMMKP_00010	contig_2	3100	3984	-	ONMMKP_00010	1	cloud	0	0	2
ONMMKP_00011	contig_2	4020	4454	-	ONMMKP_00011	1	cloud	0	0	2
ONMMKP_00012	contig_2	4682	5494	-	ONMMKP_00012	1	cloud	0	0	2
ONMMKP_00014	contig_3	66	623	-	GEGEGB_02813	2	cloud	2	0	6
ONMMKP_00015	contig_3	653	1642	+	ONMMKP_04179	2	cloud	0	0	3
ONMMKP_00016	contig_3	1642	2229	+	ONMMKP_04180	2	cloud	0	0	4
ONMMKP_00017	contig_3	2233	2772	-	ONMMKP_04181	2	cloud	0	0	2
ONMMKP_00018	contig_3	2775	3692	-	ONMMKP_04182	2	cloud	0	0	2
ONMMKP_00019	contig_4	37	510	-	HFCAGB_02262	2	shell	0	3	4
ONMMKP_00020	contig_4	1024	1197	-	BEJGEH_02009	1	shell	1	2	0
ONMMKP_00021	contig_4	1407	3137	-	HFCAGB_02267	1	shell	0	2	0
ONMMKP_00022	contig_4	3194	5362	-	HFCAGB_02266	1	shell	0	2	2
ONMMKP_00023	contig_4	5705	6403	-	AJBGEP_02166	1	shell	0	2	2
ONMMKP_00025	contig_4	6879	7352	-	HFCAGB_02262	2	shell	0	3	4
ONMMKP_00028	contig_4	8661	9458	-	HFCAGB_02232	1	shell	2	1	4
ONMMKP_00030	contig_4	10227	10646	+	GEGEGB_00945	2	persistent	1	1	4
ONMMKP_00031	contig_4	10649	11917	+	LNHIMF_02074	2	persistent	3	1	1
ONMMKP_00032	contig_4	12372	12584	+	LNHIMF_02073	1	persistent	2	0	1
ONMMKP_00034	contig_4	13044	14222	-	LNHIMF_02071	1	persistent	2	0	0
ONMMKP_00036	contig_4	14872	15183	+	GEGEGB_00951	1	persistent	2	0	0
ONMMKP_00037	contig_4	15263	15958	+	LNHIMF_02068	1	persistent	2	0	0
ONMMKP_00038	contig_4	16032	17462	+	LNHIMF_02067	1	persistent	2	0	0
ONMMKP_00039	contig_4	17443	17913	+	GEGEGB_00954	1	persistent	2	0	0
ONMMKP_00040	contig_4	17902	18822	-	GEGEGB_00955	1	persistent	2	0	0
