gene	contig	start	stop	strand	family	nb_copy_in_genome	partition	persistent_neighbors	shell_neighbors	cloud_neighbors
OEKLIE_00001	contig_3	465	650	+	GEGEGB_02873	1	persistent	2	0	0
OEKLIE_00002	contig_4	112	738	-	GEGEGB_03684	1	persistent	2	0	0
OEKLIE_00003	contig_6	1	696	+	LNHIMF_04473	3	persistent	2	0	0
OEKLIE_00004	contig_7	430	741	-	GEGEGB_02025	3	shell	0	2	0
OEKLIE_00005	contig_8	490	768	-	LNHIMF_02780	2	persistent	2	0	0
OEKLIE_00006	contig_9	444	716	+	BEJGEH_01396	2	persistent	2	0	0
OEKLIE_00007	contig_10	143	736	-	LNHIMF_04473	3	persistent	2	0	0
OEKLIE_00009	contig_11	308	826	-	GEGEGB_02315	1	persistent	2	2	0
OEKLIE_00010	contig_12	317	535	+	HFCAGB_04865	3	cloud	0	0	3
OEKLIE_00011	contig_12	537	842	+	HFCAGB_04864	2	cloud	0	0	2
OEKLIE_00012	contig_13	287	895	-	GEGEGB_03044	2	persistent	2	0	0
OEKLIE_00013	contig_15	23	496	+	LNHIMF_03878	2	persistent	2	0	0
OEKLIE_00014	contig_15	469	894	-	GEGEGB_03900	2	persistent	2	0	0
OEKLIE_00015	contig_19	306	509	+	OEKLIE_00015	1	cloud	0	0	0
OEKLIE_00016	contig_20	263	739	+	LNHIMF_02203	3	shell	0	1	3
OEKLIE_00017	contig_20	782	1021	+	GEGEGB_02035	3	shell	0	2	3
OEKLIE_00018	contig_21	9	344	+	GEGEGB_00662	4	persistent	2	0	0
OEKLIE_00019	contig_21	341	898	+	GEGEGB_00663	4	persistent	2	0	1
OEKLIE_00020	contig_21	895	1107	+	OEKLIE_00020	1	cloud	1	0	0
OEKLIE_00021	contig_22	9	809	+	GEGEGB_00060	5	persistent	2	0	1
OEKLIE_00022	contig_23	82	639	+	OEKLIE_00022	1	cloud	0	0	0
OEKLIE_00023	contig_24	106	1215	+	OEKLIE_00023	1	cloud	0	0	2
OEKLIE_00024	contig_25	180	647	+	GEGEGB_04296	1	persistent	1	1	0
OEKLIE_00025	contig_25	644	1120	-	LNHIMF_03496	1	persistent	2	0	0
OEKLIE_00026	contig_25	1193	1387	-	GEGEGB_04294	1	persistent	1	1	0
OEKLIE_00027	contig_26	17	1060	-	GEGEGB_00664	3	persistent	3	0	0
OEKLIE_00028	contig_26	1057	1614	-	GEGEGB_00663	4	persistent	2	0	1
OEKLIE_00029	contig_27	261	755	+	OEKLIE_00029	1	cloud	1	0	1
OEKLIE_00030	contig_27	771	1481	+	OEKLIE_00030	1	cloud	0	0	3
OEKLIE_00032	contig_28	246	1658	+	GEGEGB_01324	1	persistent	2	0	0
OEKLIE_00033	contig_29	89	907	-	OEKLIE_00033	1	cloud	0	0	2
OEKLIE_00034	contig_29	904	1128	-	HFCAGB_02212	1	cloud	0	0	4
OEKLIE_00035	contig_29	1125	2282	-	OEKLIE_00035	1	cloud	0	0	2
OEKLIE_00038	contig_30	196	1842	+	LNHIMF_03895	1	persistent	2	0	0
OEKLIE_00039	contig_31	345	1205	-	OEKLIE_00039	1	cloud	0	1	1
OEKLIE_00040	contig_31	1222	1611	-	HFCAGB_02208	1	cloud	0	0	7
OEKLIE_00041	contig_31	1608	2501	-	OEKLIE_00041	1	cloud	0	0	2
OEKLIE_00042	contig_32	773	1477	-	GEGEGB_03666	1	persistent	2	0	0
OEKLIE_00043	contig_32	1481	1909	-	GEGEGB_03667	1	persistent	2	0	0
OEKLIE_00044	contig_32	2067	2612	-	GEGEGB_03668	1	persistent	1	1	0
OEKLIE_00045	contig_32	2614	2997	-	GEGEGB_03669	1	shell	1	1	0
OEKLIE_00046	contig_33	80	556	+	LNHIMF_00889	1	persistent	2	0	1
OEKLIE_00047	contig_33	591	1115	+	GEGEGB_02243	1	persistent	2	0	0
OEKLIE_00048	contig_33	1125	1913	+	GEGEGB_02242	1	persistent	2	0	0
OEKLIE_00051	contig_34	649	2208	+	LNHIMF_01900	1	persistent	2	0	0
OEKLIE_00052	contig_34	2230	3228	-	LNHIMF_01899	1	persistent	2	0	0
OEKLIE_00053	contig_35	386	1312	+	GEGEGB_03675	1	persistent	1	1	0
OEKLIE_00054	contig_35	1347	2309	-	GEGEGB_03676	1	persistent	2	0	0
OEKLIE_00055	contig_35	2306	3334	-	LNHIMF_04186	1	persistent	2	0	0
OEKLIE_00056	contig_36	40	765	-	GEGEGB_03877	1	persistent	2	0	0
OEKLIE_00057	contig_36	780	1553	-	GEGEGB_03876	1	persistent	2	0	0
OEKLIE_00058	contig_36	1640	2530	-	LNHIMF_03905	1	persistent	2	0	0
OEKLIE_00059	contig_36	2530	3489	-	GEGEGB_03874	1	persistent	2	0	0
OEKLIE_00060	contig_37	125	3988	+	GEGEGB_03662	1	persistent	2	0	0
OEKLIE_00061	contig_38	196	414	-	HFCAGB_04865	3	cloud	0	0	3
OEKLIE_00062	contig_38	1123	1611	+	OEKLIE_00062	1	cloud	0	0	2
OEKLIE_00063	contig_38	2885	3874	+	OEKLIE_00063	1	cloud	0	0	2
OEKLIE_00064	contig_39	20	436	+	GEGEGB_03907	3	persistent	3	0	0
OEKLIE_00065	contig_39	436	1092	+	GEGEGB_00658	3	persistent	2	0	0
OEKLIE_00066	contig_39	1135	1881	+	GEGEGB_00659	3	persistent	2	0	0
OEKLIE_00067	contig_39	1917	2090	+	AJBGEP_02420	3	persistent	2	0	0
OEKLIE_00068	contig_39	2087	2566	+	HFCAGB_02510	3	persistent	2	0	0
OEKLIE_00069	contig_39	2563	4494	+	GEGEGB_00662	4	persistent	2	0	0
OEKLIE_00070	contig_40	277	903	-	LNHIMF_03346	1	persistent	2	0	0
OEKLIE_00071	contig_40	991	1323	+	GEGEGB_03388	1	persistent	2	0	0
OEKLIE_00072	contig_40	1479	1955	-	GEGEGB_03389	1	persistent	2	0	0
OEKLIE_00073	contig_40	2009	2110	-	GEGEGB_03390	1	persistent	2	0	0
OEKLIE_00074	contig_40	2203	3636	+	GEGEGB_03391	1	persistent	2	0	0
OEKLIE_00075	contig_40	3768	4802	-	GEGEGB_03392	1	persistent	2	0	0
OEKLIE_00076	contig_41	19	2007	-	LNHIMF_04048	2	persistent	2	0	0
OEKLIE_00077	contig_41	2395	3303	+	GEGEGB_03824	1	persistent	2	0	0
OEKLIE_00078	contig_41	3316	3939	-	LNHIMF_04046	1	persistent	2	0	0
OEKLIE_00079	contig_41	3956	4942	-	GEGEGB_03826	1	persistent	2	0	0
OEKLIE_00080	contig_41	5019	5288	-	GEGEGB_03827	1	persistent	2	0	0
OEKLIE_00081	contig_41	5358	5942	+	LNHIMF_04043	1	persistent	2	0	0
OEKLIE_00082	contig_41	5924	6454	+	GEGEGB_03829	1	persistent	3	0	0
OEKLIE_00083	contig_42	151	702	+	GEGEGB_02088	1	persistent	2	0	0
