gene	contig	start	stop	strand	family	nb_copy_in_genome	partition	persistent_neighbors	shell_neighbors	cloud_neighbors
PAPNPA_00002	contig_3	27	929	+	LNHIMF_01632	2	persistent	4	0	0
PAPNPA_00003	contig_4	508	987	+	LNHIMF_04092	2	persistent	3	0	1
PAPNPA_00005	contig_5	308	589	+	HFCAGB_04726	2	cloud	0	2	3
PAPNPA_00006	contig_7	37	1149	-	PAPNPA_00006	1	cloud	0	0	0
PAPNPA_00007	contig_8	76	549	-	GEGEGB_03702	2	persistent	3	0	0
PAPNPA_00008	contig_9	87	791	-	GEGEGB_03666	1	persistent	2	0	0
PAPNPA_00009	contig_9	795	1223	-	GEGEGB_03667	1	persistent	2	0	0
PAPNPA_00010	contig_9	1381	1824	-	GEGEGB_03668	1	persistent	1	1	0
PAPNPA_00011	contig_10	125	205	+	GEGEGB_03670	1	shell	2	2	0
PAPNPA_00012	contig_10	390	584	+	GEGEGB_04294	1	persistent	1	1	0
PAPNPA_00013	contig_10	657	1133	+	LNHIMF_03496	1	persistent	2	0	0
PAPNPA_00014	contig_10	1130	1597	-	GEGEGB_04296	1	persistent	1	1	0
PAPNPA_00015	contig_11	169	2283	-	GEGEGB_04292	1	shell	0	2	0
PAPNPA_00016	contig_12	307	1233	+	GEGEGB_03675	1	persistent	1	1	0
PAPNPA_00017	contig_12	1268	2230	-	GEGEGB_03676	1	persistent	2	0	0
PAPNPA_00018	contig_12	2227	3126	-	LNHIMF_04186	1	persistent	2	0	0
PAPNPA_00020	contig_13	402	764	+	GEGEGB_00482	1	persistent	2	0	0
PAPNPA_00021	contig_13	787	1158	+	GEGEGB_00481	1	persistent	2	0	0
PAPNPA_00022	contig_13	1212	2627	-	GEGEGB_00480	1	persistent	2	0	0
PAPNPA_00027	contig_15	70	546	+	LNHIMF_01918	1	persistent	2	0	0
PAPNPA_00028	contig_15	515	3148	+	GEGEGB_01096	1	persistent	2	0	0
PAPNPA_00029	contig_15	3124	4665	+	LNHIMF_01920	1	persistent	2	0	0
PAPNPA_00030	contig_15	4779	5018	+	GEGEGB_01094	1	persistent	2	0	0
PAPNPA_00031	contig_15	5129	5320	+	GEGEGB_01093	1	persistent	2	0	1
