gene	contig	start	stop	strand	family	nb_copy_in_genome	partition	persistent_neighbors	shell_neighbors	cloud_neighbors
HFCAGB_00001	contig_1	169	255	+	GEGEGB_00001	1	persistent	2	0	0
HFCAGB_00002	contig_1	337	2799	+	GEGEGB_00002	1	persistent	2	0	0
HFCAGB_00003	contig_1	2801	3730	+	GEGEGB_00003	1	persistent	2	0	0
HFCAGB_00004	contig_1	3734	5020	+	GEGEGB_00004	1	persistent	2	0	0
HFCAGB_00005	contig_1	5114	5887	-	GEGEGB_00005	1	persistent	2	0	0
HFCAGB_00006	contig_1	5966	7396	-	GEGEGB_00006	1	persistent	2	0	0
HFCAGB_00007	contig_1	7665	8618	+	GEGEGB_00007	1	persistent	2	0	0
HFCAGB_00008	contig_1	8729	9319	+	GEGEGB_00008	1	persistent	2	0	0
HFCAGB_00009	contig_1	9376	9942	-	GEGEGB_00009	1	persistent	2	0	0
HFCAGB_00010	contig_1	10092	10805	-	GEGEGB_00010	1	persistent	2	0	0
HFCAGB_00011	contig_1	10841	11245	-	GEGEGB_00011	1	persistent	2	0	0
HFCAGB_00012	contig_1	11594	13510	+	GEGEGB_00012	1	persistent	2	0	0
HFCAGB_00014	contig_1	13596	14735	+	GEGEGB_00014	1	persistent	2	0	1
HFCAGB_00015	contig_1	14682	14822	-	BEJGEH_00015	1	cloud	2	0	0
HFCAGB_00016	contig_1	15016	15963	+	GEGEGB_00015	1	persistent	2	0	1
HFCAGB_00017	contig_1	16090	16434	+	LNHIMF_00016	1	persistent	2	0	0
HFCAGB_00018	contig_1	16495	17028	-	LNHIMF_00017	1	persistent	2	0	0
HFCAGB_00019	contig_1	17045	17488	-	GEGEGB_00018	1	persistent	2	0	0
HFCAGB_00020	contig_1	17869	19968	+	BEJGEH_00020	1	persistent	2	0	0
HFCAGB_00021	contig_1	20060	23056	+	LNHIMF_00020	1	persistent	2	0	0
HFCAGB_00022	contig_1	23337	24041	+	BEJGEH_00022	1	persistent	2	0	0
HFCAGB_00023	contig_1	24471	25013	+	LNHIMF_00022	1	persistent	2	0	0
HFCAGB_00024	contig_1	25114	25800	+	LNHIMF_00023	1	persistent	2	0	0
HFCAGB_00025	contig_1	25805	28426	+	LNHIMF_00024	1	persistent	2	0	0
HFCAGB_00026	contig_1	28427	29434	+	LNHIMF_00025	1	persistent	2	0	0
HFCAGB_00027	contig_1	29435	29980	+	LNHIMF_00026	1	persistent	2	0	0
HFCAGB_00028	contig_1	29996	30514	+	GEGEGB_00030	1	persistent	2	0	0
HFCAGB_00029	contig_1	30480	31211	+	LNHIMF_00028	1	persistent	2	0	0
HFCAGB_00030	contig_1	31275	32120	+	LNHIMF_00029	1	persistent	2	0	1
HFCAGB_00031	contig_1	32159	32446	+	LNHIMF_00030	1	persistent	2	1	0
HFCAGB_00032	contig_1	32546	32995	-	GEGEGB_00034	1	persistent	1	1	1
HFCAGB_00033	contig_1	33365	34369	+	AJBGEP_00032	1	shell	2	1	0
HFCAGB_00034	contig_1	34377	34817	-	HFCAGB_00034	1	shell	0	2	0
HFCAGB_00035	contig_1	35340	37058	+	BEJGEH_00035	1	shell	0	2	0
HFCAGB_00036	contig_1	37104	38666	-	GEGEGB_00038	1	shell	0	2	0
HFCAGB_00037	contig_1	38774	39535	-	GEGEGB_00039	1	shell	1	1	0
HFCAGB_00038	contig_1	40129	41622	+	LNHIMF_00037	1	persistent	0	2	2
HFCAGB_00039	contig_1	41721	42911	+	LNHIMF_00038	1	shell	1	1	0
HFCAGB_00040	contig_1	42936	44183	+	IKCLMC_03170	1	shell	1	1	0
HFCAGB_00041	contig_1	44310	46025	+	LNHIMF_00040	1	persistent	1	1	1
HFCAGB_00042	contig_1	46188	47354	+	LNHIMF_00041	1	persistent	2	0	1
HFCAGB_00043	contig_1	47422	48315	+	GEGEGB_00045	1	persistent	2	0	0
HFCAGB_00044	contig_1	48370	50409	-	LNHIMF_00043	1	persistent	2	0	0
HFCAGB_00046	contig_1	50905	51822	-	LNHIMF_00044	1	persistent	2	0	1
HFCAGB_00047	contig_1	52317	52526	+	LNHIMF_00045	1	persistent	2	0	0
HFCAGB_00048	contig_1	52870	53808	+	GEGEGB_00049	1	persistent	2	0	1
HFCAGB_00049	contig_1	53853	56687	+	LNHIMF_00047	1	persistent	2	0	0
HFCAGB_00050	contig_1	56687	57187	+	LNHIMF_00048	1	persistent	2	0	0
HFCAGB_00051	contig_1	57342	57791	+	GEGEGB_00052	1	persistent	2	0	0
HFCAGB_00052	contig_1	57794	58744	+	GEGEGB_00053	1	persistent	2	0	0
HFCAGB_00054	contig_1	59187	60146	+	AJBGEP_00052	1	persistent	2	0	0
HFCAGB_00055	contig_1	60162	61082	+	GEGEGB_00056	1	persistent	2	0	0
HFCAGB_00056	contig_1	61104	61790	-	GEGEGB_00057	1	persistent	2	0	0
HFCAGB_00057	contig_1	61792	63450	-	BEJGEH_00056	1	persistent	2	0	0
HFCAGB_00058	contig_1	63546	64847	-	LNHIMF_00056	3	persistent	4	0	0
HFCAGB_00059	contig_1	64860	66632	-	GEGEGB_00060	3	persistent	2	0	1
HFCAGB_00060	contig_1	66648	66887	-	AJBGEP_03535	3	persistent	3	1	0
HFCAGB_00061	contig_1	67046	68386	-	GEGEGB_00062	1	persistent	2	0	0
HFCAGB_00062	contig_1	68706	69674	+	GEGEGB_00063	1	persistent	2	0	0
HFCAGB_00063	contig_1	69704	69997	+	GEGEGB_00064	1	persistent	2	0	0
HFCAGB_00064	contig_1	69994	70863	+	LNHIMF_00062	1	persistent	2	0	0
HFCAGB_00065	contig_1	70874	72394	+	LNHIMF_00063	1	persistent	2	0	0
