#                                                                                     --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                 accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#         ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NC_016856.1:993557-994525|-   -            323 58708at91347         -            281  2.3e-151  500.8   0.2   1   1  2.6e-153  1.2e-150  498.4   0.2     1   280     5   316     5   317 0.93 NC_016856.1_902 # 993557 # 994525 # -1 # ID=1_902;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=3-4bp;gc_cont=0.551
NC_016856.1:671948-673513|+   -            522 58708at91347         -            281   3.1e-55  185.4   0.6   1   1   2.4e-57   1.1e-54  183.6   0.6     4   278   214   515   211   518 0.85 NC_016856.1_602 # 671948 # 673513 # 1 # ID=1_602;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.549
NC_016856.1:181720-183144|+   -            475 58708at91347         -            281   1.3e-07   29.2   3.3   1   2     5e-06    0.0023   15.2   0.1     2    36     6    40     5    53 0.86 NC_016856.1_152 # 181720 # 183144 # 1 # ID=1_152;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.542
NC_016856.1:181720-183144|+   -            475 58708at91347         -            281   1.3e-07   29.2   3.3   2   2   1.5e-05    0.0068   13.7   0.7   137   254   178   316   173   325 0.64 NC_016856.1_152 # 181720 # 183144 # 1 # ID=1_152;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.542
NC_016856.1:3782294-3783646|+ -            451 58708at91347         -            281   1.6e-07   28.9   2.3   1   2      0.89   4.2e+02   -2.0   0.2     2    42     4    44     3    49 0.82 NC_016856.1_3576 # 3782294 # 3783646 # 1 # ID=1_3576;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.552
NC_016856.1:3782294-3783646|+ -            451 58708at91347         -            281   1.6e-07   28.9   2.3   2   2   7.4e-10   3.4e-07   27.8   0.1    69   254   106   306    73   319 0.71 NC_016856.1_3576 # 3782294 # 3783646 # 1 # ID=1_3576;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.552
NC_016856.1:3512889-3514307|+ -            473 58708at91347         -            281   0.00013   19.3   0.2   1   3    0.0019      0.89    6.7   0.0     3    40   147   185   145   190 0.81 NC_016856.1_3316 # 3512889 # 3514307 # 1 # ID=1_3316;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.562
NC_016856.1:3512889-3514307|+ -            473 58708at91347         -            281   0.00013   19.3   0.2   2   3     0.099        46    1.1   0.0   134   149   287   302   281   324 0.72 NC_016856.1_3316 # 3512889 # 3514307 # 1 # ID=1_3316;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.562
NC_016856.1:3512889-3514307|+ -            473 58708at91347         -            281   0.00013   19.3   0.2   3   3   0.00095      0.44    7.7   0.0   205   278   393   470   380   472 0.70 NC_016856.1_3316 # 3512889 # 3514307 # 1 # ID=1_3316;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.562
NC_016856.1:1204583-1205701|- -            373 58708at91347         -            281    0.0022   15.3   0.1   1   1   8.3e-06    0.0039   14.5   0.1     3    31     3    31     1    44 0.86 NC_016856.1_1103 # 1204583 # 1205701 # -1 # ID=1_1103;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.559
NC_016856.1:3404508-3406526|+ -            673 58708at91347         -            281    0.0026   15.0   0.5   1   3       3.2   1.5e+03   -3.8   0.0    17    56    41    84    37   104 0.54 NC_016856.1_3209 # 3404508 # 3406526 # 1 # ID=1_3209;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.587
