#                                                                                     --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                 accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#         ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NC_011094.1:144855-146213|+   -            453 58706at91347         -            371  5.8e-164  543.3   2.0   1   1  1.3e-165  1.1e-162  539.1   2.0    12   371    25   443     1   443 0.89 NC_011094.1_121 # 144855 # 146213 # 1 # ID=1_121;partial=00;start_type=ATG;rbs_motif=GGxGG;rbs_spacer=5-10bp;gc_cont=0.564
NC_011094.1:147292-148608|+   -            439 58706at91347         -            371   2.6e-15   54.2   0.5   1   2   1.2e-10     1e-07   29.1   0.0    72   192   101   215    87   221 0.85 NC_011094.1_123 # 147292 # 148608 # 1 # ID=1_123;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.587
NC_011094.1:147292-148608|+   -            439 58706at91347         -            371   2.6e-15   54.2   0.5   2   2   6.9e-09   6.3e-06   23.3   0.1   215   293   262   343   254   351 0.83 NC_011094.1_123 # 147292 # 148608 # 1 # ID=1_123;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.587
NC_011094.1:143371-144858|+   -            496 58706at91347         -            371   2.7e-07   27.8   1.2   1   2   9.8e-06    0.0089   12.9   0.7    14   192    25   243    21   258 0.64 NC_011094.1_120 # 143371 # 144858 # 1 # ID=1_120;partial=00;start_type=GTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.590
NC_011094.1:143371-144858|+   -            496 58706at91347         -            371   2.7e-07   27.8   1.2   2   2     9e-05     0.082    9.7   0.0   213   258   299   344   294   348 0.93 NC_011094.1_120 # 143371 # 144858 # 1 # ID=1_120;partial=00;start_type=GTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.590
NC_011094.1:151035-152510|+   -            492 58706at91347         -            371   7.7e-06   23.0   0.1   1   2   0.00036      0.32    7.8   0.0    79   166   121   203    69   224 0.72 NC_011094.1_126 # 151035 # 152510 # 1 # ID=1_126;partial=00;start_type=ATG;rbs_motif=4Base/6BMM;rbs_spacer=13-15bp;gc_cont=0.565
NC_011094.1:151035-152510|+   -            492 58706at91347         -            371   7.7e-06   23.0   0.1   2   2     1e-05    0.0095   12.8   0.0   212   256   283   327   275   331 0.90 NC_011094.1_126 # 151035 # 152510 # 1 # ID=1_126;partial=00;start_type=ATG;rbs_motif=4Base/6BMM;rbs_spacer=13-15bp;gc_cont=0.565
NC_011094.1:4555617-4556990|+ -            458 58706at91347         -            371    0.0019   15.1   1.0   1   2    0.0011      0.99    6.2   0.1    79   104   105   130    92   214 0.70 NC_011094.1_4280 # 4555617 # 4556990 # 1 # ID=1_4280;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.583
NC_011094.1:4555617-4556990|+ -            458 58706at91347         -            371    0.0019   15.1   1.0   2   2    0.0012       1.1    6.0   0.1   213   257   271   315   267   318 0.87 NC_011094.1_4280 # 4555617 # 4556990 # 1 # ID=1_4280;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.583
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /Users/dizzler/Projects/School/BIOL4600-Capstone/databases/lineages/enterobacterales_odb10/hmms/58706at91347.hmm
# Target file:     /Users/dizzler/Projects/School/BIOL4600-Capstone/reports/busco-results/GCF_000020745.1_ASM2074v1_genomic.fna/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /Users/dizzler/Projects/School/BIOL4600-Capstone/reports/busco-results/GCF_000020745.1_ASM2074v1_genomic.fna/run_enterobacterales_odb10/hmmer_output/58706at91347.out --cpu 1 /Users/dizzler/Projects/School/BIOL4600-Capstone/databases/lineages/enterobacterales_odb10/hmms/58706at91347.hmm /Users/dizzler/Projects/School/BIOL4600-Capstone/reports/busco-results/GCF_000020745.1_ASM2074v1_genomic.fna/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /Users/dizzler/Projects/School/BIOL4600-Capstone
# Date:            Wed Feb 25 22:53:26 2026
# [ok]
