#                                                                                     --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                 accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#         ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NC_011094.1:3772440-3772871|- -            144 86762at91347         -            108   4.1e-37  124.8   2.2   1   1   2.7e-37   2.1e-34  116.1   2.2     1   108     1   143     1   143 0.89 NC_011094.1_3561 # 3772440 # 3772871 # -1 # ID=1_3561;partial=00;start_type=ATG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.500
NC_011094.1:3578441-3578767|- -            109 86762at91347         -            108   1.4e-05   23.3   0.0   1   2   7.6e-07   0.00058   18.1   0.0    28    70     3    45     1    64 0.88 NC_011094.1_3395 # 3578441 # 3578767 # -1 # ID=1_3395;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.541
NC_011094.1:3578441-3578767|- -            109 86762at91347         -            108   1.4e-05   23.3   0.0   2   2     0.029        22    3.4   0.0    79    99    78    98    69   102 0.89 NC_011094.1_3395 # 3578441 # 3578767 # -1 # ID=1_3395;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.541
NC_011094.1:2853476-2854003|+ -            176 86762at91347         -            108   1.7e-05   23.1   0.0   1   2   0.00018      0.14   10.5   0.0    39    65    13    38     2    42 0.78 NC_011094.1_2696 # 2853476 # 2854003 # 1 # ID=1_2696;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=3-4bp;gc_cont=0.566
NC_011094.1:2853476-2854003|+ -            176 86762at91347         -            108   1.7e-05   23.1   0.0   2   2   0.00019      0.14   10.5   0.0    85   107    84   106    76   107 0.88 NC_011094.1_2696 # 2853476 # 2854003 # 1 # ID=1_2696;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=3-4bp;gc_cont=0.566
NC_011094.1:1202062-1203114|+ -            351 86762at91347         -            108    0.0031   15.8   0.0   1   2   2.6e-05      0.02   13.2   0.0    36    69   140   173   133   206 0.84 NC_011094.1_1131 # 1202062 # 1203114 # 1 # ID=1_1131;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.507
NC_011094.1:1202062-1203114|+ -            351 86762at91347         -            108    0.0031   15.8   0.0   2   2      0.63   4.8e+02   -0.9   0.0    79    98   213   232   207   236 0.86 NC_011094.1_1131 # 1202062 # 1203114 # 1 # ID=1_1131;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.507
NC_011094.1:1753648-1753962|- -            105 86762at91347         -            108    0.0042   15.4   0.0   1   1   7.8e-06    0.0059   14.9   0.0    49    72    24    47    18    69 0.85 NC_011094.1_1671 # 1753648 # 1753962 # -1 # ID=1_1671;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.444
NC_011094.1:2675119-2675961|+ -            281 86762at91347         -            108     0.013   13.8   0.1   1   4       1.7   1.3e+03   -2.3   0.0    56    67    41    52    36    57 0.80 NC_011094.1_2546 # 2675119 # 2675961 # 1 # ID=1_2546;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.588
NC_011094.1:2675119-2675961|+ -            281 86762at91347         -            108     0.013   13.8   0.1   2   4   0.00031      0.24    9.7   0.0    79   102   108   131    99   137 0.88 NC_011094.1_2546 # 2675119 # 2675961 # 1 # ID=1_2546;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.588
NC_011094.1:2675119-2675961|+ -            281 86762at91347         -            108     0.013   13.8   0.1   3   4      0.42   3.2e+02   -0.3   0.0    44    58   167   181   151   206 0.62 NC_011094.1_2546 # 2675119 # 2675961 # 1 # ID=1_2546;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.588
NC_011094.1:2675119-2675961|+ -            281 86762at91347         -            108     0.013   13.8   0.1   4   4       2.3   1.7e+03   -2.7   0.0    72    98   244   270   234   277 0.68 NC_011094.1_2546 # 2675119 # 2675961 # 1 # ID=1_2546;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.588
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /Users/dizzler/Projects/School/BIOL4600-Capstone/databases/lineages/enterobacterales_odb10/hmms/86762at91347.hmm
# Target file:     /Users/dizzler/Projects/School/BIOL4600-Capstone/reports/busco-results/GCF_000020745.1_ASM2074v1_genomic.fna/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /Users/dizzler/Projects/School/BIOL4600-Capstone/reports/busco-results/GCF_000020745.1_ASM2074v1_genomic.fna/run_enterobacterales_odb10/hmmer_output/86762at91347.out --cpu 1 /Users/dizzler/Projects/School/BIOL4600-Capstone/databases/lineages/enterobacterales_odb10/hmms/86762at91347.hmm /Users/dizzler/Projects/School/BIOL4600-Capstone/reports/busco-results/GCF_000020745.1_ASM2074v1_genomic.fna/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /Users/dizzler/Projects/School/BIOL4600-Capstone
# Date:            Wed Feb 25 22:53:27 2026
# [ok]
