#                                                                                     --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                 accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#         ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NC_011094.1:4593043-4595898|- -            952 854at91347           -            818         0 1435.5   0.0   1   1         0         0 1434.7   0.0     1   814     1   932     1   935 0.91 NC_011094.1_4318 # 4593043 # 4595898 # -1 # ID=1_4318;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=3-4bp;gc_cont=0.569
NC_011094.1:782438-785020|-   -            861 854at91347           -            818   1.9e-39  133.4   1.3   1   5   4.6e-24   5.2e-21   72.4   0.1     1   179     1   169     1   178 0.82 NC_011094.1_754 # 782438 # 785020 # -1 # ID=1_754;partial=00;start_type=ATG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.559
NC_011094.1:782438-785020|-   -            861 854at91347           -            818   1.9e-39  133.4   1.3   2   5   0.00072      0.82    5.6   0.1   152   224   196   266   179   303 0.74 NC_011094.1_754 # 782438 # 785020 # -1 # ID=1_754;partial=00;start_type=ATG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.559
NC_011094.1:782438-785020|-   -            861 854at91347           -            818   1.9e-39  133.4   1.3   3   5   1.9e-08   2.2e-05   20.8   0.0   231   284   306   359   299   374 0.88 NC_011094.1_754 # 782438 # 785020 # -1 # ID=1_754;partial=00;start_type=ATG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.559
NC_011094.1:782438-785020|-   -            861 854at91347           -            818   1.9e-39  133.4   1.3   4   5   0.00035      0.39    6.7   0.0   384   402   416   434   412   450 0.84 NC_011094.1_754 # 782438 # 785020 # -1 # ID=1_754;partial=00;start_type=ATG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.559
NC_011094.1:782438-785020|-   -            861 854at91347           -            818   1.9e-39  133.4   1.3   5   5   8.6e-08   9.8e-05   18.6   0.0   483   700   548   776   479   809 0.64 NC_011094.1_754 # 782438 # 785020 # -1 # ID=1_754;partial=00;start_type=ATG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.559
NC_011094.1:53859-56693|+     -            945 854at91347           -            818   1.8e-38  130.1   0.0   1   4     4e-15   4.5e-12   42.8   0.0    25   187    45   206    32   283 0.91 NC_011094.1_45 # 53859 # 56693 # 1 # ID=1_45;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.549
NC_011094.1:53859-56693|+     -            945 854at91347           -            818   1.8e-38  130.1   0.0   2   4   7.7e-15   8.8e-12   41.9   0.0   236   434   308   510   304   514 0.77 NC_011094.1_45 # 53859 # 56693 # 1 # ID=1_45;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.549
NC_011094.1:53859-56693|+     -            945 854at91347           -            818   1.8e-38  130.1   0.0   3   4   3.6e-10   4.1e-07   26.5   0.1   419   529   521   623   507   661 0.79 NC_011094.1_45 # 53859 # 56693 # 1 # ID=1_45;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.549
NC_011094.1:53859-56693|+     -            945 854at91347           -            818   1.8e-38  130.1   0.0   4   4   2.5e-06    0.0029   13.7   0.1   610   698   679   778   623   782 0.83 NC_011094.1_45 # 53859 # 56693 # 1 # ID=1_45;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.549
NC_011094.1:2270204-2272237|+ -            678 854at91347           -            818   0.00044   16.4   0.2   1   3   3.8e-07   0.00044   16.4   0.2    36    79    13    56     2    82 0.84 NC_011094.1_2193 # 2270204 # 2272237 # 1 # ID=1_2193;partial=00;start_type=ATG;rbs_motif=AGxAG;rbs_spacer=11-12bp;gc_cont=0.552
