# BUSCO version is: 6.0.0 
# The lineage dataset is: enterobacterales_odb10 (Creation date: 2024-01-08, number of genomes: 212, number of BUSCOs: 440)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
312at91347	Complete	NC_004631.1	3570964	3566936	-	2313.8	1137	https://v10-1.orthodb.org/?query=312at91347	DNA-directed RNA polymerase, subunit 2, hybrid-binding domain
373at91347	Complete	NC_004631.1	3566859	3562636	-	2417.0	1187	https://v10-1.orthodb.org/?query=373at91347	DNA-directed RNA polymerase subunit beta'
854at91347	Complete	NC_004631.1	4658845	4655990	-	1434.5	814	https://v10-1.orthodb.org/?query=854at91347	Valine--tRNA ligase
1674at91347	Complete	NC_004631.1	2284615	2287197	+	1212.0	713	https://v10-1.orthodb.org/?query=1674at91347	Leucine--tRNA ligase
2121at91347	Complete	NC_004631.1	1687864	1685267	-	1324.4	705	https://v10-1.orthodb.org/?query=2121at91347	DNA topoisomerase I, type IA
2325at91347	Complete	NC_004631.1	2991085	2987540	-	1327.7	953	https://v10-1.orthodb.org/?query=2325at91347	UvrD-like DNA helicase, C-terminal
2605at91347	Complete	NC_004631.1	266421	269903	+	1683.5	957	https://v10-1.orthodb.org/?query=2605at91347	DNA-directed DNA polymerase
2659at91347	Complete	NC_004631.1	179378	182041	+	1520.8	776	https://v10-1.orthodb.org/?query=2659at91347	Pyruvate dehydrogenase E1 component
3039at91347	Complete	NC_004631.1	615067	617793	+	1335.7	764	https://v10-1.orthodb.org/?query=3039at91347	NADH-quinone oxidoreductase
3084at91347	Complete	NC_004631.1	76851	80078	+	1763.5	933	https://v10-1.orthodb.org/?query=3084at91347	Carbamoyl-phosphate synthase large chain
3734at91347	Complete	NC_004631.1	160098	162803	+	1439.4	766	https://v10-1.orthodb.org/?query=3734at91347	SecA, preprotein cross-linking domain
4210at91347	Complete	NC_004631.1	2483411	2481057	-	1323.6	683	https://v10-1.orthodb.org/?query=4210at91347	Lon protease
4269at91347	Complete	NC_004631.1	3625514	3627712	+	924.9	607	https://v10-1.orthodb.org/?query=4269at91347	Primosomal protein N'
4411at91347	Complete	NC_004631.1	670704	673340	+	1399.2	743	https://v10-1.orthodb.org/?query=4411at91347	DNA gyrase subunit A
4459at91347	Complete	NC_004631.1	107959	105605	-	928.2	634	https://v10-1.orthodb.org/?query=4459at91347	Organic solvent tolerance-like, N-terminal
4673at91347	Complete	NC_004631.1	788616	786583	-	1000.9	557	https://v10-1.orthodb.org/?query=4673at91347	Methionine--tRNA ligase
4867at91347	Complete	NC_004631.1	665652	663367	-	1323.3	662	https://v10-1.orthodb.org/?query=4867at91347	Ribonucleoside-diphosphate reductase
5022at91347	Complete	NC_004631.1	3794423	3796837	+	1231.1	610	https://v10-1.orthodb.org/?query=5022at91347	DNA gyrase subunit B
5062at91347	Complete	NC_004631.1	53852	56686	+	1252.3	783	https://v10-1.orthodb.org/?query=5062at91347	Isoleucine--tRNA ligase
5072at91347	Complete	NC_004631.1	2204562	2201761	-	1217.8	721	https://v10-1.orthodb.org/?query=5072at91347	2-oxoglutarate dehydrogenase E1 component
5392at91347	Complete	NC_004631.1	4058831	4060873	+	1052.8	608	https://v10-1.orthodb.org/?query=5392at91347	Oligopeptidase A
5537at91347	Complete	NC_004631.1	3435389	3433125	-	1079.0	614	https://v10-1.orthodb.org/?query=5537at91347	5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase
6335at91347	Complete	NC_004631.1	2491773	2493764	+	1078.4	552	https://v10-1.orthodb.org/?query=6335at91347	Cytochrome c oxidase subunit I
6493at91347	Complete	NC_004631.1	2886601	2889168	+	1273.1	687	https://v10-1.orthodb.org/?query=6493at91347	DNA mismatch repair protein MutS
6639at91347	Complete	NC_004631.1	3297594	3294916	-	1158.5	664	https://v10-1.orthodb.org/?query=6639at91347	Translation initiation factor IF-2
6839at91347	Complete	NC_004631.1	3306651	3304708	-	976.6	506	https://v10-1.orthodb.org/?query=6839at91347	Peptidase M41
6990at91347	Complete	NC_004631.1	225323	227845	+	1032.2	589	https://v10-1.orthodb.org/?query=6990at91347	Penicillin-binding protein 1B
7453at91347	Complete	NC_004631.1	2812757	2810127	-	1191.8	738	https://v10-1.orthodb.org/?query=7453at91347	Alanine--tRNA ligase
7906at91347	Complete	NC_004631.1	611397	613199	+	1067.9	503	https://v10-1.orthodb.org/?query=7906at91347	NADH-quinone oxidoreductase subunit C/D
8198at91347	Complete	NC_004631.1	3724859	3722073	-	1202.6	760	https://v10-1.orthodb.org/?query=8198at91347	DNA polymerase I
8345at91347	Complete	NC_004631.1	1280645	1282573	+	1024.9	563	https://v10-1.orthodb.org/?query=8345at91347	Threonine--tRNA ligase
8636at91347	Complete	NC_004631.1	2257670	2256003	-	828.8	470	https://v10-1.orthodb.org/?query=8636at91347	Glutamine--tRNA ligase
8822at91347	Complete	NC_004631.1	1285120	1287507	+	883.5	643	https://v10-1.orthodb.org/?query=8822at91347	Phenylalanine--tRNA ligase beta subunit
9070at91347	Complete	NC_004631.1	3544138	3545727	+	736.6	435	https://v10-1.orthodb.org/?query=9070at91347	Methylglyoxal synthase-like domain
9079at91347	Complete	NC_004631.1	282474	280756	-	792.5	487	https://v10-1.orthodb.org/?query=9079at91347	Proline--tRNA ligase
9375at91347	Complete	NC_004631.1	415601	417178	+	782.6	437	https://v10-1.orthodb.org/?query=9375at91347	GMP synthase
