#                                                                                         --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                     accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#             ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NZ_ABEL01000033.1:2192-3562|+     -            457 47034at91347         -            399  1.5e-197  654.4   0.7   1   1  4.9e-200  1.8e-197  654.1   0.7     1   394     7   443     7   454 0.92 NZ_ABEL01000033.1_4 # 2192 # 3562 # 1 # ID=16_4;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.528
NZ_ABEL01000023.1:10596-11621|+   -            342 47034at91347         -            399   1.2e-06   25.7  18.4   1   3   2.5e-08   9.2e-06   22.8  13.6   227   384   109   256   102   264 0.81 NZ_ABEL01000023.1_11 # 10596 # 11621 # 1 # ID=26_11;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=11-12bp;gc_cont=0.521
NZ_ABEL01000023.1:10596-11621|+   -            342 47034at91347         -            399   1.2e-06   25.7  18.4   2   3    0.0015      0.54    7.1   5.2   229   279   224   275   217   285 0.83 NZ_ABEL01000023.1_11 # 10596 # 11621 # 1 # ID=26_11;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=11-12bp;gc_cont=0.521
NZ_ABEL01000023.1:10596-11621|+   -            342 47034at91347         -            399   1.2e-06   25.7  18.4   3   3      0.04        15    2.4   0.2   224   260   255   292   253   296 0.82 NZ_ABEL01000023.1_11 # 10596 # 11621 # 1 # ID=26_11;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=11-12bp;gc_cont=0.521
NZ_ABEL01000032.1:466-1020|+      -            185 47034at91347         -            399   5.2e-06   23.6   4.6   1   2   1.3e-06   0.00047   17.2   5.4   248   362    15   127    12   128 0.82 NZ_ABEL01000032.1_1 # 466 # 1020 # 1 # ID=17_1;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.510
NZ_ABEL01000032.1:466-1020|+      -            185 47034at91347         -            399   5.2e-06   23.6   4.6   2   2   2.7e-06     0.001   16.1   0.8   228   279    81   132    77   181 0.85 NZ_ABEL01000032.1_1 # 466 # 1020 # 1 # ID=17_1;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.510
NZ_ABEL01000004.1:103148-103636|- -            163 47034at91347         -            399   1.2e-05   22.5   4.1   1   2     0.004       1.5    5.7   0.1   223   262    59   100    40   107 0.66 NZ_ABEL01000004.1_101 # 103148 # 103636 # -1 # ID=45_101;partial=00;start_type=ATG;rbs_motif=GGxGG;rbs_spacer=5-10bp;gc_cont=0.562
NZ_ABEL01000004.1:103148-103636|- -            163 47034at91347         -            399   1.2e-05   22.5   4.1   2   2   6.5e-07   0.00024   18.2   0.8   230   265   111   146   103   158 0.89 NZ_ABEL01000004.1_101 # 103148 # 103636 # -1 # ID=45_101;partial=00;start_type=ATG;rbs_motif=GGxGG;rbs_spacer=5-10bp;gc_cont=0.562
NZ_ABEL01000025.1:4524-5348|+     -            275 47034at91347         -            399   4.9e-05   20.4   0.4   1   1   1.8e-07   6.6e-05   20.0   0.4   310   392   133   218   103   223 0.79 NZ_ABEL01000025.1_4 # 4524 # 5348 # 1 # ID=24_4;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.537
NZ_ABEL01000009.1:19373-19849|-   -            159 47034at91347         -            399    0.0006   16.9   2.9   1   1     2e-06   0.00072   16.6   2.9   325   386    71   134    52   147 0.67 NZ_ABEL01000009.1_16 # 19373 # 19849 # -1 # ID=40_16;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.342
NZ_ABEL01000002.1:434674-435582|- -            303 47034at91347         -            399    0.0012   15.9   0.1   1   3    0.0002     0.073   10.0   0.0     3    38    12    50    10    74 0.75 NZ_ABEL01000002.1_419 # 434674 # 435582 # -1 # ID=47_419;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.495
