"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","GCF_000007545.1_ASM754v1_genomic","GCF_000020745.1_ASM2074v1_genomic","GCF_000020885.1_ASM2088v1_genomic","GCF_000020925.1_ASM2092v1_genomic","GCF_000022165.1_ASM2216v1_genomic","GCF_000170215.1_ASM17021v1_genomic","GCF_000170255.1_ASM17025v1_genomic","GCF_000171255.1_ASM17125v1_genomic","GCF_000171275.1_ASM17127v1_genomic","GCF_000171315.1_ASM17131v1_genomic","GCF_000171415.1_ASM17141v1_genomic","GCF_000171515.1_ASM17151v1_genomic","GCF_000171535.2_ASM17153v2_genomic"
"group_1001","","","13","13","1","11","5376","","","","530","539","530","GCF_000007545.1_ASM754v1_genomic_12125","GCF_000020745.1_ASM2074v1_genomic_2899","GCF_000020885.1_ASM2088v1_genomic_34897","GCF_000020925.1_ASM2092v1_genomic_39407","GCF_000022165.1_ASM2216v1_genomic_8377","GCF_000170215.1_ASM17021v1_genomic_3169","GCF_000170255.1_ASM17025v1_genomic_8285","GCF_000171255.1_ASM17125v1_genomic_17160","GCF_000171275.1_ASM17127v1_genomic_10533","GCF_000171315.1_ASM17131v1_genomic_28575","GCF_000171415.1_ASM17141v1_genomic_8357","GCF_000171515.1_ASM17151v1_genomic_28676","GCF_000171535.2_ASM17153v2_genomic_1589"
"group_1043","","","13","13","1","11","5760","","","","1025","1031","1027","GCF_000007545.1_ASM754v1_genomic_22151","GCF_000020745.1_ASM2074v1_genomic_17966","GCF_000020885.1_ASM2088v1_genomic_5215","GCF_000020925.1_ASM2092v1_genomic_19182","GCF_000022165.1_ASM2216v1_genomic_33800","GCF_000170215.1_ASM17021v1_genomic_32200","GCF_000170255.1_ASM17025v1_genomic_33508","GCF_000171255.1_ASM17125v1_genomic_8900","GCF_000171275.1_ASM17127v1_genomic_32022","GCF_000171315.1_ASM17131v1_genomic_7481","GCF_000171415.1_ASM17141v1_genomic_14096","GCF_000171515.1_ASM17151v1_genomic_10204","GCF_000171535.2_ASM17153v2_genomic_7644"
"group_1060","","","13","13","1","11","4503","","","","3953","4115","4059","GCF_000007545.1_ASM754v1_genomic_13921","GCF_000020745.1_ASM2074v1_genomic_13136","GCF_000020885.1_ASM2088v1_genomic_33297","GCF_000020925.1_ASM2092v1_genomic_17526","GCF_000022165.1_ASM2216v1_genomic_36690","GCF_000170215.1_ASM17021v1_genomic_7320","GCF_000170255.1_ASM17025v1_genomic_36373","GCF_000171255.1_ASM17125v1_genomic_31166","GCF_000171275.1_ASM17127v1_genomic_3148","GCF_000171315.1_ASM17131v1_genomic_31987","GCF_000171415.1_ASM17141v1_genomic_32538","GCF_000171515.1_ASM17151v1_genomic_707","GCF_000171535.2_ASM17153v2_genomic_1870"
"group_109","","","13","13","1","11","7881","","","","416","464","419","GCF_000007545.1_ASM754v1_genomic_18425","GCF_000020745.1_ASM2074v1_genomic_23441","GCF_000020885.1_ASM2088v1_genomic_36117","GCF_000020925.1_ASM2092v1_genomic_26350","GCF_000022165.1_ASM2216v1_genomic_22701","GCF_000170215.1_ASM17021v1_genomic_31941","GCF_000170255.1_ASM17025v1_genomic_22511","GCF_000171255.1_ASM17125v1_genomic_35882","GCF_000171275.1_ASM17127v1_genomic_26163","GCF_000171315.1_ASM17131v1_genomic_6071","GCF_000171415.1_ASM17141v1_genomic_26168","GCF_000171515.1_ASM17151v1_genomic_27035","GCF_000171535.2_ASM17153v2_genomic_15026"
"group_1102","","","13","13","1","11","2826","","","","590","590","590","GCF_000007545.1_ASM754v1_genomic_29145","GCF_000020745.1_ASM2074v1_genomic_38387","GCF_000020885.1_ASM2088v1_genomic_8897","GCF_000020925.1_ASM2092v1_genomic_7618","GCF_000022165.1_ASM2216v1_genomic_33036","GCF_000170215.1_ASM17021v1_genomic_31460","GCF_000170255.1_ASM17025v1_genomic_32748","GCF_000171255.1_ASM17125v1_genomic_2671","GCF_000171275.1_ASM17127v1_genomic_18255","GCF_000171315.1_ASM17131v1_genomic_15590","GCF_000171415.1_ASM17141v1_genomic_29412","GCF_000171515.1_ASM17151v1_genomic_33998","GCF_000171535.2_ASM17153v2_genomic_14603"
"group_1103","","","13","13","1","11","2818","","","","533","533","533","GCF_000007545.1_ASM754v1_genomic_16408","GCF_000020745.1_ASM2074v1_genomic_29842","GCF_000020885.1_ASM2088v1_genomic_30130","GCF_000020925.1_ASM2092v1_genomic_30887","GCF_000022165.1_ASM2216v1_genomic_30993","GCF_000170215.1_ASM17021v1_genomic_26130","GCF_000170255.1_ASM17025v1_genomic_30732","GCF_000171255.1_ASM17125v1_genomic_26261","GCF_000171275.1_ASM17127v1_genomic_3896","GCF_000171315.1_ASM17131v1_genomic_29739","GCF_000171415.1_ASM17141v1_genomic_30671","GCF_000171515.1_ASM17151v1_genomic_11685","GCF_000171535.2_ASM17153v2_genomic_6902"
"group_1104","","","13","13","1","11","2814","","","","692","692","692","GCF_000007545.1_ASM754v1_genomic_9304","GCF_000020745.1_ASM2074v1_genomic_28356","GCF_000020885.1_ASM2088v1_genomic_448","GCF_000020925.1_ASM2092v1_genomic_34636","GCF_000022165.1_ASM2216v1_genomic_18354","GCF_000170215.1_ASM17021v1_genomic_17540","GCF_000170255.1_ASM17025v1_genomic_18181","GCF_000171255.1_ASM17125v1_genomic_26840","GCF_000171275.1_ASM17127v1_genomic_9232","GCF_000171315.1_ASM17131v1_genomic_29168","GCF_000171415.1_ASM17141v1_genomic_28591","GCF_000171515.1_ASM17151v1_genomic_8669","GCF_000171535.2_ASM17153v2_genomic_2186"
"group_1105","","","13","13","1","11","2809","","","","1007","1007","1007","GCF_000007545.1_ASM754v1_genomic_35556","GCF_000020745.1_ASM2074v1_genomic_35625","GCF_000020885.1_ASM2088v1_genomic_33071","GCF_000020925.1_ASM2092v1_genomic_36111","GCF_000022165.1_ASM2216v1_genomic_4734","GCF_000170215.1_ASM17021v1_genomic_4497","GCF_000170255.1_ASM17025v1_genomic_4660","GCF_000171255.1_ASM17125v1_genomic_13897","GCF_000171275.1_ASM17127v1_genomic_8338","GCF_000171315.1_ASM17131v1_genomic_2537","GCF_000171415.1_ASM17141v1_genomic_1006","GCF_000171515.1_ASM17151v1_genomic_3082","GCF_000171535.2_ASM17153v2_genomic_35035"
"group_1106","","","13","13","1","11","2807","","","","545","545","545","GCF_000007545.1_ASM754v1_genomic_3703","GCF_000020745.1_ASM2074v1_genomic_13308","GCF_000020885.1_ASM2088v1_genomic_27473","GCF_000020925.1_ASM2092v1_genomic_22097","GCF_000022165.1_ASM2216v1_genomic_10879","GCF_000170215.1_ASM17021v1_genomic_10431","GCF_000170255.1_ASM17025v1_genomic_10775","GCF_000171255.1_ASM17125v1_genomic_28438","GCF_000171275.1_ASM17127v1_genomic_14696","GCF_000171315.1_ASM17131v1_genomic_36197","GCF_000171415.1_ASM17141v1_genomic_5394","GCF_000171515.1_ASM17151v1_genomic_22475","GCF_000171535.2_ASM17153v2_genomic_11213"
"group_1112","","","13","13","1","11","281","","","","263","266","263","GCF_000007545.1_ASM754v1_genomic_14207","GCF_000020745.1_ASM2074v1_genomic_14434","GCF_000020885.1_ASM2088v1_genomic_14411","GCF_000020925.1_ASM2092v1_genomic_14932","GCF_000022165.1_ASM2216v1_genomic_14734","GCF_000170215.1_ASM17021v1_genomic_14116","GCF_000170255.1_ASM17025v1_genomic_14603","GCF_000171255.1_ASM17125v1_genomic_13598","GCF_000171275.1_ASM17127v1_genomic_3250","GCF_000171315.1_ASM17131v1_genomic_14227","GCF_000171415.1_ASM17141v1_genomic_14691","GCF_000171515.1_ASM17151v1_genomic_14215","GCF_000171535.2_ASM17153v2_genomic_14607"
"group_1114","","","13","13","1","11","289","","","","686","707","687","GCF_000007545.1_ASM754v1_genomic_23499","GCF_000020745.1_ASM2074v1_genomic_2338","GCF_000020885.1_ASM2088v1_genomic_35899","GCF_000020925.1_ASM2092v1_genomic_13711","GCF_000022165.1_ASM2216v1_genomic_13490","GCF_000170215.1_ASM17021v1_genomic_12933","GCF_000170255.1_ASM17025v1_genomic_13371","GCF_000171255.1_ASM17125v1_genomic_16140","GCF_000171275.1_ASM17127v1_genomic_32624","GCF_000171315.1_ASM17131v1_genomic_16858","GCF_000171415.1_ASM17141v1_genomic_6572","GCF_000171515.1_ASM17151v1_genomic_2552","GCF_000171535.2_ASM17153v2_genomic_18789"
"group_1115","","","13","13","1","11","301","","","","821","821","821","GCF_000007545.1_ASM754v1_genomic_25942","GCF_000020745.1_ASM2074v1_genomic_170","GCF_000020885.1_ASM2088v1_genomic_27334","GCF_000020925.1_ASM2092v1_genomic_31641","GCF_000022165.1_ASM2216v1_genomic_1072","GCF_000170215.1_ASM17021v1_genomic_1056","GCF_000170255.1_ASM17025v1_genomic_1056","GCF_000171255.1_ASM17125v1_genomic_22137","GCF_000171275.1_ASM17127v1_genomic_5358","GCF_000171315.1_ASM17131v1_genomic_23956","GCF_000171415.1_ASM17141v1_genomic_24217","GCF_000171515.1_ASM17151v1_genomic_23315","GCF_000171535.2_ASM17153v2_genomic_24020"
"group_1116","","","13","13","1","11","304","","","","1148","1148","1148","GCF_000007545.1_ASM754v1_genomic_7997","GCF_000020745.1_ASM2074v1_genomic_23220","GCF_000020885.1_ASM2088v1_genomic_32420","GCF_000020925.1_ASM2092v1_genomic_7450","GCF_000022165.1_ASM2216v1_genomic_22261","GCF_000170215.1_ASM17021v1_genomic_21253","GCF_000170255.1_ASM17025v1_genomic_22083","GCF_000171255.1_ASM17125v1_genomic_1716","GCF_000171275.1_ASM17127v1_genomic_17810","GCF_000171315.1_ASM17131v1_genomic_17507","GCF_000171415.1_ASM17141v1_genomic_28225","GCF_000171515.1_ASM17151v1_genomic_27018","GCF_000171535.2_ASM17153v2_genomic_28181"
"group_1117","","","13","13","1","11","314","","","","941","941","941","GCF_000007545.1_ASM754v1_genomic_13386","GCF_000020745.1_ASM2074v1_genomic_9598","GCF_000020885.1_ASM2088v1_genomic_29729","GCF_000020925.1_ASM2092v1_genomic_7406","GCF_000022165.1_ASM2216v1_genomic_22801","GCF_000170215.1_ASM17021v1_genomic_34342","GCF_000170255.1_ASM17025v1_genomic_22613","GCF_000171255.1_ASM17125v1_genomic_20580","GCF_000171275.1_ASM17127v1_genomic_28431","GCF_000171315.1_ASM17131v1_genomic_6032","GCF_000171415.1_ASM17141v1_genomic_11505","GCF_000171515.1_ASM17151v1_genomic_34866","GCF_000171535.2_ASM17153v2_genomic_19209"
"group_1118","","","13","13","1","11","323","","","","530","530","530","GCF_000007545.1_ASM754v1_genomic_11019","GCF_000020745.1_ASM2074v1_genomic_23243","GCF_000020885.1_ASM2088v1_genomic_33505","GCF_000020925.1_ASM2092v1_genomic_15164","GCF_000022165.1_ASM2216v1_genomic_33896","GCF_000170215.1_ASM17021v1_genomic_32302","GCF_000170255.1_ASM17025v1_genomic_33602","GCF_000171255.1_ASM17125v1_genomic_25740","GCF_000171275.1_ASM17127v1_genomic_7907","GCF_000171315.1_ASM17131v1_genomic_13084","GCF_000171415.1_ASM17141v1_genomic_27555","GCF_000171515.1_ASM17151v1_genomic_38029","GCF_000171535.2_ASM17153v2_genomic_15815"
"group_1119","","","13","13","1","11","331","","","","812","935","821","GCF_000007545.1_ASM754v1_genomic_6712","GCF_000020745.1_ASM2074v1_genomic_29530","GCF_000020885.1_ASM2088v1_genomic_38178","GCF_000020925.1_ASM2092v1_genomic_38469","GCF_000022165.1_ASM2216v1_genomic_17684","GCF_000170215.1_ASM17021v1_genomic_16886","GCF_000170255.1_ASM17025v1_genomic_17512","GCF_000171255.1_ASM17125v1_genomic_11958","GCF_000171275.1_ASM17127v1_genomic_2739","GCF_000171315.1_ASM17131v1_genomic_16985","GCF_000171415.1_ASM17141v1_genomic_28081","GCF_000171515.1_ASM17151v1_genomic_38282","GCF_000171535.2_ASM17153v2_genomic_10316"
"group_1120","","","13","13","1","11","334","","","","2306","2351","2347","GCF_000007545.1_ASM754v1_genomic_1129","GCF_000020745.1_ASM2074v1_genomic_10432","GCF_000020885.1_ASM2088v1_genomic_23078","GCF_000020925.1_ASM2092v1_genomic_26324","GCF_000022165.1_ASM2216v1_genomic_3752","GCF_000170215.1_ASM17021v1_genomic_3552","GCF_000170255.1_ASM17025v1_genomic_5835","GCF_000171255.1_ASM17125v1_genomic_23193","GCF_000171275.1_ASM17127v1_genomic_13690","GCF_000171315.1_ASM17131v1_genomic_3438","GCF_000171415.1_ASM17141v1_genomic_11901","GCF_000171515.1_ASM17151v1_genomic_30310","GCF_000171535.2_ASM17153v2_genomic_35895"
"group_1121","","","13","13","1","11","339","","","","695","695","695","GCF_000007545.1_ASM754v1_genomic_21415","GCF_000020745.1_ASM2074v1_genomic_7550","GCF_000020885.1_ASM2088v1_genomic_28137","GCF_000020925.1_ASM2092v1_genomic_12641","GCF_000022165.1_ASM2216v1_genomic_37319","GCF_000170215.1_ASM17021v1_genomic_35632","GCF_000170255.1_ASM17025v1_genomic_37000","GCF_000171255.1_ASM17125v1_genomic_7300","GCF_000171275.1_ASM17127v1_genomic_36041","GCF_000171315.1_ASM17131v1_genomic_35768","GCF_000171415.1_ASM17141v1_genomic_27737","GCF_000171515.1_ASM17151v1_genomic_35994","GCF_000171535.2_ASM17153v2_genomic_23684"
"group_1122","","","13","13","1","11","348","","","","146","146","146","GCF_000007545.1_ASM754v1_genomic_32797","GCF_000020745.1_ASM2074v1_genomic_35408","GCF_000020885.1_ASM2088v1_genomic_33103","GCF_000020925.1_ASM2092v1_genomic_33948","GCF_000022165.1_ASM2216v1_genomic_6511","GCF_000170215.1_ASM17021v1_genomic_6252","GCF_000170255.1_ASM17025v1_genomic_6444","GCF_000171255.1_ASM17125v1_genomic_5898","GCF_000171275.1_ASM17127v1_genomic_32222","GCF_000171315.1_ASM17131v1_genomic_6167","GCF_000171415.1_ASM17141v1_genomic_12036","GCF_000171515.1_ASM17151v1_genomic_32923","GCF_000171535.2_ASM17153v2_genomic_33505"
"group_1123","","","13","13","1","11","353","","","","1571","1697","1590","GCF_000007545.1_ASM754v1_genomic_19889","GCF_000020745.1_ASM2074v1_genomic_28478","GCF_000020885.1_ASM2088v1_genomic_13444","GCF_000020925.1_ASM2092v1_genomic_39197","GCF_000022165.1_ASM2216v1_genomic_24319","GCF_000170215.1_ASM17021v1_genomic_23149","GCF_000170255.1_ASM17025v1_genomic_24117","GCF_000171255.1_ASM17125v1_genomic_7146","GCF_000171275.1_ASM17127v1_genomic_23695","GCF_000171315.1_ASM17131v1_genomic_23358","GCF_000171415.1_ASM17141v1_genomic_23055","GCF_000171515.1_ASM17151v1_genomic_2394","GCF_000171535.2_ASM17153v2_genomic_28370"
"group_1124","","","13","13","1","11","356","","","","494","509","495","GCF_000007545.1_ASM754v1_genomic_5024","GCF_000020745.1_ASM2074v1_genomic_8707","GCF_000020885.1_ASM2088v1_genomic_33481","GCF_000020925.1_ASM2092v1_genomic_14231","GCF_000022165.1_ASM2216v1_genomic_18435","GCF_000170215.1_ASM17021v1_genomic_17627","GCF_000170255.1_ASM17025v1_genomic_18266","GCF_000171255.1_ASM17125v1_genomic_1992","GCF_000171275.1_ASM17127v1_genomic_32565","GCF_000171315.1_ASM17131v1_genomic_17726","GCF_000171415.1_ASM17141v1_genomic_19713","GCF_000171515.1_ASM17151v1_genomic_19157","GCF_000171535.2_ASM17153v2_genomic_18294"
"group_1125","","","13","13","1","11","371","","","","863","1151","1128","GCF_000007545.1_ASM754v1_genomic_34342","GCF_000020745.1_ASM2074v1_genomic_30950","GCF_000020885.1_ASM2088v1_genomic_33410","GCF_000020925.1_ASM2092v1_genomic_1525","GCF_000022165.1_ASM2216v1_genomic_25541","GCF_000170215.1_ASM17021v1_genomic_24316","GCF_000170255.1_ASM17025v1_genomic_25329","GCF_000171255.1_ASM17125v1_genomic_24790","GCF_000171275.1_ASM17127v1_genomic_15044","GCF_000171315.1_ASM17131v1_genomic_17027","GCF_000171415.1_ASM17141v1_genomic_36819","GCF_000171515.1_ASM17151v1_genomic_26967","GCF_000171535.2_ASM17153v2_genomic_20075"
"group_1127","","","13","13","1","11","380","","","","1202","1202","1202","GCF_000007545.1_ASM754v1_genomic_35943","GCF_000020745.1_ASM2074v1_genomic_27278","GCF_000020885.1_ASM2088v1_genomic_36878","GCF_000020925.1_ASM2092v1_genomic_22215","GCF_000022165.1_ASM2216v1_genomic_20128","GCF_000170215.1_ASM17021v1_genomic_9204","GCF_000170255.1_ASM17025v1_genomic_19939","GCF_000171255.1_ASM17125v1_genomic_3007","GCF_000171275.1_ASM17127v1_genomic_8559","GCF_000171315.1_ASM17131v1_genomic_19388","GCF_000171415.1_ASM17141v1_genomic_3540","GCF_000171515.1_ASM17151v1_genomic_29742","GCF_000171535.2_ASM17153v2_genomic_1489"
"group_1128","","","13","13","1","11","386","","","","950","950","950","GCF_000007545.1_ASM754v1_genomic_30128","GCF_000020745.1_ASM2074v1_genomic_933","GCF_000020885.1_ASM2088v1_genomic_8963","GCF_000020925.1_ASM2092v1_genomic_27603","GCF_000022165.1_ASM2216v1_genomic_27752","GCF_000170215.1_ASM17021v1_genomic_12099","GCF_000170255.1_ASM17025v1_genomic_27526","GCF_000171255.1_ASM17125v1_genomic_3307","GCF_000171275.1_ASM17127v1_genomic_34665","GCF_000171315.1_ASM17131v1_genomic_22896","GCF_000171415.1_ASM17141v1_genomic_12786","GCF_000171515.1_ASM17151v1_genomic_11927","GCF_000171535.2_ASM17153v2_genomic_35553"
"group_1129","","","13","13","1","11","393","","","","176","176","176","GCF_000007545.1_ASM754v1_genomic_3168","GCF_000020745.1_ASM2074v1_genomic_30493","GCF_000020885.1_ASM2088v1_genomic_3206","GCF_000020925.1_ASM2092v1_genomic_31156","GCF_000022165.1_ASM2216v1_genomic_3340","GCF_000170215.1_ASM17021v1_genomic_3147","GCF_000170255.1_ASM17025v1_genomic_3279","GCF_000171255.1_ASM17125v1_genomic_3003","GCF_000171275.1_ASM17127v1_genomic_3093","GCF_000171315.1_ASM17131v1_genomic_3044","GCF_000171415.1_ASM17141v1_genomic_3394","GCF_000171515.1_ASM17151v1_genomic_30183","GCF_000171535.2_ASM17153v2_genomic_30700"
"group_1131","","","13","13","1","11","440","","","","854","854","854","GCF_000007545.1_ASM754v1_genomic_4495","GCF_000020745.1_ASM2074v1_genomic_1699","GCF_000020885.1_ASM2088v1_genomic_11461","GCF_000020925.1_ASM2092v1_genomic_15603","GCF_000022165.1_ASM2216v1_genomic_6928","GCF_000170215.1_ASM17021v1_genomic_6657","GCF_000170255.1_ASM17025v1_genomic_6862","GCF_000171255.1_ASM17125v1_genomic_1545","GCF_000171275.1_ASM17127v1_genomic_22743","GCF_000171315.1_ASM17131v1_genomic_32822","GCF_000171415.1_ASM17141v1_genomic_6984","GCF_000171515.1_ASM17151v1_genomic_6648","GCF_000171535.2_ASM17153v2_genomic_16709"
